Time(ms),MotorID,Phase,Direction,Position,Angle(deg)
12471,1,Flex,>>,2945,258.9
12574,1,Flex,>>,2910,258.9
12676,1,Flex,>>,2875,256.97
12778,1,Flex,>>,2840,254.15
12880,1,Flex,>>,2805,251.08
12982,1,Flex,>>,2770,248.0
13084,1,Flex,>>,2735,245.01
13187,1,Flex,>>,2700,241.93
13288,1,Flex,>>,2665,238.86
13390,1,Flex,>>,2630,235.87
13493,1,Flex,>>,2595,232.79
13595,1,Flex,>>,2560,229.8
13696,1,Flex,>>,2525,226.73
13798,1,Flex,>>,2490,223.74
13900,1,Flex,>>,2455,220.66
14003,1,Flex,>>,2420,217.58
14105,1,Flex,>>,2385,214.51
14207,1,Flex,>>,2350,211.43
14310,1,Flex,>>,2315,208.44
14412,1,Flex,>>,2280,205.36
14514,1,Flex,>>,2245,202.37
14617,1,Flex,>>,2210,199.38
14719,1,Flex,>>,2175,196.4
14821,1,Flex,>>,2140,193.32
14923,1,Flex,>>,2105,190.15
15026,1,Flex,>>,2070,187.16
15128,1,Flex,>>,2035,184.09
15230,1,Flex,>>,2000,181.19
15333,1,Flex,>>,1965,178.2
15435,1,Flex,>>,1930,175.03
15537,1,Flex,>>,1895,171.96
15640,1,Flex,>>,1860,168.88
15742,1,Flex,>>,1825,165.8
15844,1,Flex,>>,1790,162.64
15947,1,Flex,>>,1755,159.56
16050,1,Flex,>>,1720,156.66
16152,1,Flex,>>,1685,153.58
16254,1,Flex,>>,1650,150.51
16356,1,Flex,>>,1615,147.43
16459,1,Flex,>>,1580,144.35
16561,1,Flex,>>,1545,141.27
16664,1,Flex,>>,1510,138.29
16766,1,Flex,>>,1475,135.3
16868,1,Flex,>>,1440,132.4
16971,1,Flex,>>,1405,129.23
17073,1,Flex,>>,1370,126.24
17175,1,Flex,>>,1335,123.16
17278,1,Flex,>>,1300,120.09
17380,1,Flex,>>,1265,117.19
17482,1,Flex,>>,1230,114.29
17584,1,Flex,>>,1195,111.3
17687,1,Flex,>>,1160,108.22
17789,1,Flex,>>,1125,105.14
17891,1,Flex,>>,1090,102.15
17994,1,Flex,>>,1055,99.08
18096,1,Flex,>>,1020,96.09
18198,1,Flex,>>,985,93.1
18301,1,Flex,>>,950,90.2
18403,1,Flex,>>,915,87.21
18505,1,Flex,>>,880,84.22
18607,1,Flex,>>,845,81.23
18710,1,Flex,<<,845,78.15
18813,1,Flex,<<,880,77.27
18915,1,Flex,<<,915,77.36
19017,1,Flex,<<,950,79.56
19119,1,Flex,<<,985,82.64
19222,1,Flex,<<,1020,85.54
19324,1,Flex,<<,1055,88.62
19427,1,Flex,<<,1090,91.6
19529,1,Flex,<<,1125,94.77
19632,1,Flex,<<,1160,97.76
19734,1,Flex,<<,1195,100.75
19837,1,Flex,<<,1230,103.82
19940,1,Flex,<<,1265,106.99
20042,1,Flex,<<,1300,110.07
20144,1,Flex,<<,1335,113.05
20247,1,Flex,<<,1370,116.04
20349,1,Flex,<<,1405,119.12
20452,1,Flex,<<,1440,122.2
20554,1,Flex,<<,1475,125.36
20656,1,Flex,<<,1510,128.35
20759,1,Flex,<<,1545,131.43
20861,1,Flex,<<,1580,134.59
20963,1,Flex,<<,1615,137.49
21066,1,Flex,<<,1650,140.66
21168,1,Flex,<<,1685,143.65
21270,1,Flex,<<,1720,146.73
21373,1,Flex,<<,1755,149.89
21475,1,Flex,<<,1790,152.88
21577,1,Flex,<<,1825,155.96
21680,1,Flex,<<,1860,158.95
21783,1,Flex,<<,1895,162.2
21885,1,Flex,<<,1930,165.27
21988,1,Flex,<<,1965,168.35
22091,1,Flex,<<,2000,171.34
22194,1,Flex,<<,2035,174.42
22296,1,Flex,<<,2070,177.58
22398,1,Flex,<<,2105,180.66
22501,1,Flex,<<,2140,183.65
22603,1,Flex,<<,2175,186.73
22705,1,Flex,<<,2210,189.89
22808,1,Flex,<<,2245,193.05
22910,1,Flex,<<,2280,196.04
23012,1,Flex,<<,2315,199.12
23114,1,Flex,<<,2350,202.29
23216,1,Flex,<<,2385,205.36
23318,1,Flex,<<,2420,208.44
23420,1,Flex,<<,2455,211.6
23522,1,Flex,<<,2490,214.68
23624,1,Flex,<<,2525,217.76
23726,1,Flex,<<,2560,220.84
23828,1,Flex,<<,2595,224.0
23930,1,Flex,<<,2630,226.99
24033,1,Flex,<<,2665,230.15
24135,1,Flex,<<,2700,233.23
24238,1,Flex,<<,2735,236.22
24340,1,Flex,<<,2770,239.3
24442,1,Flex,<<,2805,242.46
24544,1,Flex,<<,2840,245.45
24646,1,Flex,<<,2875,248.44
24749,1,Flex,<<,2910,251.6
24850,1,Flex,<<,2945,254.68
40985,1,Flex,>>,2945,258.9
41088,1,Flex,>>,2910,258.9
41190,1,Flex,>>,2875,256.97
41292,1,Flex,>>,2840,254.15
41395,1,Flex,>>,2805,250.99
41497,1,Flex,>>,2770,248.0
41599,1,Flex,>>,2735,245.01
41701,1,Flex,>>,2700,241.85
41804,1,Flex,>>,2665,238.77
41907,1,Flex,>>,2630,235.78
42009,1,Flex,>>,2595,232.7
42112,1,Flex,>>,2560,229.63
42214,1,Flex,>>,2525,226.55
42316,1,Flex,>>,2490,223.56
42418,1,Flex,>>,2455,220.48
42521,1,Flex,>>,2420,217.41
42624,1,Flex,>>,2385,214.33
42727,1,Flex,>>,2350,211.34
42829,1,Flex,>>,2315,208.26
42931,1,Flex,>>,2280,205.27
43033,1,Flex,>>,2245,202.2
43137,1,Flex,>>,2210,199.12
43240,1,Flex,>>,2175,196.13
43342,1,Flex,>>,2140,193.05
43444,1,Flex,>>,2105,189.89
43547,1,Flex,>>,2070,186.9
43649,1,Flex,>>,2035,183.82
43751,1,Flex,>>,2000,180.84
43854,1,Flex,>>,1965,177.85
43956,1,Flex,>>,1930,174.68
44058,1,Flex,>>,1895,171.69
44161,1,Flex,>>,1860,168.7
44263,1,Flex,>>,1825,165.63
44365,1,Flex,>>,1790,162.46
44468,1,Flex,>>,1755,159.47
44570,1,Flex,>>,1720,156.48
44672,1,Flex,>>,1685,153.49
44775,1,Flex,>>,1650,150.33
44877,1,Flex,>>,1615,147.25
44979,1,Flex,>>,1580,144.26
45082,1,Flex,>>,1545,141.27
45184,1,Flex,>>,1510,138.2
45286,1,Flex,>>,1475,135.21
45389,1,Flex,>>,1440,132.22
45492,1,Flex,>>,1405,129.14
45595,1,Flex,>>,1370,126.15
45698,1,Flex,>>,1335,123.08
45801,1,Flex,>>,1300,120.0
45903,1,Flex,>>,1265,117.1
46006,1,Flex,>>,1230,114.29
46108,1,Flex,>>,1195,111.3
46211,1,Flex,>>,1160,108.31
46313,1,Flex,>>,1125,105.23
46416,1,Flex,>>,1090,102.24
46518,1,Flex,>>,1055,99.16
46621,1,Flex,>>,1020,96.26
46724,1,Flex,>>,985,93.27
46826,1,Flex,>>,950,90.46
46929,1,Flex,>>,915,87.56
47032,1,Flex,>>,880,84.57
47134,1,Flex,>>,845,81.49
47238,1,Flex,<<,845,78.51
47341,1,Flex,<<,880,77.71
47443,1,Flex,<<,915,77.71
47545,1,Flex,<<,950,79.74
47648,1,Flex,<<,985,82.64
47751,1,Flex,<<,1020,85.63
47853,1,Flex,<<,1055,88.62
47956,1,Flex,<<,1090,91.6
48059,1,Flex,<<,1125,94.77
48161,1,Flex,<<,1160,97.85
48263,1,Flex,<<,1195,100.75
48366,1,Flex,<<,1230,103.82
48469,1,Flex,<<,1265,106.99
48572,1,Flex,<<,1300,110.07
48674,1,Flex,<<,1335,113.05
48777,1,Flex,<<,1370,116.04
48879,1,Flex,<<,1405,119.12
48982,1,Flex,<<,1440,122.2
