Time(ms),MotorID,Phase,Direction,Position,Angle(deg)
12471,1,Flex,>>,2945,258.9
12484,2,Flex,>>,1240,109.01
12496,3,Flex,>>,159,13.98
12574,1,Flex,>>,2910,258.9
12586,2,Flex,>>,1180,109.01
12598,3,Flex,>>,96,13.98
12676,1,Flex,>>,2875,256.97
12687,2,Flex,>>,1120,105.76
12699,3,Flex,>>,33,10.46
12778,1,Flex,>>,2840,254.15
12790,2,Flex,>>,1060,100.92
12802,3,Flex,>>,-30,5.54
12880,1,Flex,>>,2805,251.08
12892,2,Flex,>>,1000,95.82
12904,3,Flex,>>,-93,-0.09
12982,1,Flex,>>,2770,248.0
12994,2,Flex,>>,940,90.55
13006,3,Flex,>>,-156,-5.36
13084,1,Flex,>>,2735,245.01
13096,2,Flex,>>,880,85.36
13108,3,Flex,>>,-219,-10.9
13187,1,Flex,>>,2700,241.93
13199,2,Flex,>>,820,80.18
13210,3,Flex,>>,-282,-16.44
13288,1,Flex,>>,2665,238.86
13300,2,Flex,>>,760,74.9
13313,3,Flex,>>,-345,-21.98
13390,1,Flex,>>,2630,235.87
13403,2,Flex,>>,700,69.63
13414,3,Flex,>>,-408,-27.43
13493,1,Flex,>>,2595,232.79
13505,2,Flex,>>,640,64.44
13516,3,Flex,>>,-471,-32.97
13595,1,Flex,>>,2560,229.8
13606,2,Flex,>>,580,59.25
13618,3,Flex,>>,-534,-38.51
13696,1,Flex,>>,2525,226.73
13708,2,Flex,>>,520,54.07
13720,3,Flex,>>,-597,-43.96
13798,1,Flex,>>,2490,223.74
13810,2,Flex,>>,460,48.62
13822,3,Flex,>>,-660,-49.58
13900,1,Flex,>>,2455,220.66
13913,2,Flex,>>,400,43.52
13925,3,Flex,>>,-723,-55.12
14003,1,Flex,>>,2420,217.58
14015,2,Flex,>>,340,38.33
14027,3,Flex,>>,-786,-60.57
14105,1,Flex,>>,2385,214.51
14117,2,Flex,>>,280,33.05
14129,3,Flex,>>,-849,-66.02
14207,1,Flex,>>,2350,211.43
14219,2,Flex,>>,220,27.78
14231,3,Flex,>>,-912,-71.65
14310,1,Flex,>>,2315,208.44
14322,2,Flex,>>,160,22.42
14334,3,Flex,>>,-975,-77.1
14412,1,Flex,>>,2280,205.36
14424,2,Flex,>>,100,17.23
14436,3,Flex,>>,-1038,-82.64
14514,1,Flex,>>,2245,202.37
14526,2,Flex,>>,40,12.04
14538,3,Flex,>>,-1101,-88.18
14617,1,Flex,>>,2210,199.38
14629,2,Flex,>>,-20,6.86
14641,3,Flex,>>,-1164,-93.63
14719,1,Flex,>>,2175,196.4
14731,2,Flex,>>,-80,1.49
14743,3,Flex,>>,-1227,-99.25
14821,1,Flex,>>,2140,193.32
14833,2,Flex,>>,-140,-3.69
14845,3,Flex,>>,-1290,-104.79
14923,1,Flex,>>,2105,190.15
14935,2,Flex,>>,-200,-8.88
14948,3,Flex,>>,-1353,-110.24
15026,1,Flex,>>,2070,187.16
15038,2,Flex,>>,-260,-14.15
15050,3,Flex,>>,-1416,-115.78
15128,1,Flex,>>,2035,184.09
15140,2,Flex,>>,-320,-19.34
15152,3,Flex,>>,-1479,-121.32
15230,1,Flex,>>,2000,181.19
15242,2,Flex,>>,-380,-24.62
15254,3,Flex,>>,-1542,-126.86
15333,1,Flex,>>,1965,178.2
15345,2,Flex,>>,-440,-29.89
15357,3,Flex,>>,-1605,-132.4
15435,1,Flex,>>,1930,175.03
15447,2,Flex,>>,-500,-35.25
15459,3,Flex,>>,-1668,-138.02
15537,1,Flex,>>,1895,171.96
15549,2,Flex,>>,-560,-40.35
15562,3,Flex,>>,-1731,-143.56
15640,1,Flex,>>,1860,168.88
15652,2,Flex,>>,-620,-45.63
15664,3,Flex,>>,-1794,-149.01
15742,1,Flex,>>,1825,165.8
15754,2,Flex,>>,-680,-50.81
15766,3,Flex,>>,-1857,-154.55
15844,1,Flex,>>,1790,162.64
15857,2,Flex,>>,-740,-56.09
15869,3,Flex,>>,-1920,-159.91
15947,1,Flex,>>,1755,159.56
15959,2,Flex,>>,-800,-61.27
15971,3,Flex,>>,-1983,-165.36
16050,1,Flex,>>,1720,156.66
16061,2,Flex,>>,-860,-66.37
16074,3,Flex,>>,-2046,-170.9
16152,1,Flex,>>,1685,153.58
16164,2,Flex,>>,-920,-71.56
16176,3,Flex,>>,-2109,-176.35
16254,1,Flex,>>,1650,150.51
16266,2,Flex,>>,-980,-76.75
16278,3,Flex,>>,-2172,-181.8
16356,1,Flex,>>,1615,147.43
16369,2,Flex,>>,-1040,-82.02
16381,3,Flex,>>,-2235,-187.25
16459,1,Flex,>>,1580,144.35
16471,2,Flex,>>,-1100,-87.21
16483,3,Flex,>>,-2298,-192.62
16561,1,Flex,>>,1545,141.27
16574,2,Flex,>>,-1160,-92.48
16586,3,Flex,>>,-2361,-198.07
16664,1,Flex,>>,1510,138.29
16676,2,Flex,>>,-1220,-97.76
16688,3,Flex,>>,-2424,-203.52
16766,1,Flex,>>,1475,135.3
16778,2,Flex,>>,-1280,-102.95
16790,3,Flex,>>,-2487,-209.05
16868,1,Flex,>>,1440,132.4
16880,2,Flex,>>,-1340,-108.13
16892,3,Flex,>>,-2550,-214.68
16971,1,Flex,>>,1405,129.23
16983,2,Flex,>>,-1400,-113.23
16995,3,Flex,>>,-2613,-220.13
17073,1,Flex,>>,1370,126.24
17085,2,Flex,>>,-1460,-118.59
17097,3,Flex,>>,-2676,-225.58
17175,1,Flex,>>,1335,123.16
17187,2,Flex,>>,-1520,-123.87
17199,3,Flex,>>,-2739,-231.12
17278,1,Flex,>>,1300,120.09
17289,2,Flex,>>,-1580,-129.05
17302,3,Flex,>>,-2802,-236.66
17380,1,Flex,>>,1265,117.19
17392,2,Flex,>>,-1640,-134.24
17404,3,Flex,>>,-2865,-242.02
17482,1,Flex,>>,1230,114.29
17494,2,Flex,>>,-1700,-139.43
17506,3,Flex,>>,-2928,-247.56
17584,1,Flex,>>,1195,111.3
17596,2,Flex,>>,-1760,-144.62
17608,3,Flex,>>,-2991,-253.01
17687,1,Flex,>>,1160,108.22
17699,2,Flex,>>,-1820,-149.71
17711,3,Flex,>>,-3054,-258.37
