Time(ms),MotorID,Phase,Direction,Position,Angle(deg)
12472,1,Flex,>>,2945,258.9
12484,2,Flex,>>,1237,108.75
12496,3,Flex,>>,159,13.98
12574,1,Flex,>>,2910,258.9
12587,2,Flex,>>,1177,108.75
12599,3,Flex,>>,96,13.98
12677,1,Flex,>>,2875,256.97
12689,2,Flex,>>,1117,105.49
12701,3,Flex,>>,33,10.55
12779,1,Flex,>>,2840,254.15
12791,2,Flex,>>,1057,100.48
12803,3,Flex,>>,-30,5.63
12881,1,Flex,>>,2805,251.08
12893,2,Flex,>>,997,95.3
12905,3,Flex,>>,-93,0.18
12983,1,Flex,>>,2770,248.0
12995,2,Flex,>>,937,90.02
13007,3,Flex,>>,-156,-5.19
13085,1,Flex,>>,2735,245.01
13097,2,Flex,>>,877,84.84
13109,3,Flex,>>,-219,-10.64
13187,1,Flex,>>,2700,241.93
13199,2,Flex,>>,817,79.56
13211,3,Flex,>>,-282,-16.18
13289,1,Flex,>>,2665,238.86
13302,2,Flex,>>,757,74.37
13313,3,Flex,>>,-345,-21.63
13391,1,Flex,>>,2630,235.87
13404,2,Flex,>>,697,69.1
13415,3,Flex,>>,-408,-26.99
13494,1,Flex,>>,2595,232.79
13506,2,Flex,>>,637,63.91
13518,3,Flex,>>,-471,-32.62
13596,1,Flex,>>,2560,229.8
13608,2,Flex,>>,577,58.73
13620,3,Flex,>>,-534,-38.07
13698,1,Flex,>>,2525,226.73
13710,2,Flex,>>,517,53.45
13722,3,Flex,>>,-597,-43.69
13800,1,Flex,>>,2490,223.74
13812,2,Flex,>>,457,48.09
13824,3,Flex,>>,-660,-49.14
13902,1,Flex,>>,2455,220.66
13915,2,Flex,>>,397,42.99
13927,3,Flex,>>,-723,-54.68
14004,1,Flex,>>,2420,217.58
14017,2,Flex,>>,337,37.8
14029,3,Flex,>>,-786,-60.22
14107,1,Flex,>>,2385,214.51
14119,2,Flex,>>,277,32.53
14131,3,Flex,>>,-849,-65.58
14209,1,Flex,>>,2350,211.52
14221,2,Flex,>>,217,27.25
14233,3,Flex,>>,-912,-71.3
14311,1,Flex,>>,2315,208.44
14323,2,Flex,>>,157,21.98
14335,3,Flex,>>,-975,-76.66
14413,1,Flex,>>,2280,205.36
14425,2,Flex,>>,97,16.7
14437,3,Flex,>>,-1038,-82.2
14515,1,Flex,>>,2245,202.37
14527,2,Flex,>>,37,11.52
14539,3,Flex,>>,-1101,-87.74
14617,1,Flex,>>,2210,199.47
