Time(ms),MotorID,Phase,Direction,Position,Angle(deg)
26221,4,Extend,>>,1487,130.73
26323,4,Extend,>>,1449,130.73
26425,4,Extend,>>,1411,128.79
26527,4,Extend,>>,1373,125.71
26628,4,Extend,>>,1335,122.46
26730,4,Extend,>>,1297,119.21
26833,4,Extend,>>,1259,115.87
26935,4,Extend,>>,1221,112.44
27036,4,Extend,>>,1183,109.1
27139,4,Extend,>>,1145,105.76
27241,4,Extend,>>,1107,102.42
27343,4,Extend,>>,1069,99.25
27445,4,Extend,>>,1031,95.91
27547,4,Extend,>>,993,92.4
27649,4,Extend,>>,955,89.23
27752,4,Extend,>>,917,85.98
27854,4,Extend,>>,879,82.81
27957,4,Extend,>>,841,79.56
28059,4,Extend,>>,803,76.13
28161,4,Extend,>>,765,72.88
28263,4,Extend,>>,727,69.63
28365,4,Extend,>>,689,66.29
28468,4,Extend,>>,651,63.12
28570,4,Extend,>>,613,59.87
28673,4,Extend,>>,575,56.62
28775,4,Extend,>>,537,53.54
28877,4,Extend,>>,499,50.2
28979,4,Extend,>>,461,46.95
29081,4,Extend,>>,423,43.52
29183,4,Extend,>>,385,40.18
29286,4,Extend,>>,347,36.92
29388,4,Extend,>>,309,33.58
29491,4,Extend,>>,271,30.33
29594,4,Extend,>>,233,26.99
29696,4,Extend,>>,195,23.65
29798,4,Extend,>>,157,20.31
29901,4,Extend,>>,119,16.97
30003,4,Extend,>>,81,13.54
30105,4,Extend,>>,43,10.29
30208,4,Extend,>>,5,7.03
30310,4,Extend,>>,-33,3.78
30413,4,Extend,>>,-71,0.44
30515,4,Extend,>>,-109,-2.99
30618,4,Extend,>>,-147,-6.15
30721,4,Extend,>>,-185,-9.41
30823,4,Extend,>>,-223,-12.66
30926,4,Extend,>>,-261,-16.0
31029,4,Extend,>>,-299,-19.25
31131,4,Extend,>>,-337,-22.68
31234,4,Extend,>>,-375,-26.2
31337,4,Extend,>>,-413,-29.45
31439,4,Extend,>>,-451,-33.14
31542,4,Extend,>>,-489,-37.01
31644,4,Extend,>>,-527,-40.44
31746,4,Extend,>>,-565,-43.78
