Time(ms),MotorID,Phase,Direction,Position,Angle(deg)
26238,6,Extend,>>,1094,96.18
26340,6,Extend,>>,1052,96.18
26443,6,Extend,>>,1010,94.07
26545,6,Extend,>>,968,90.64
26646,6,Extend,>>,926,86.95
26749,6,Extend,>>,884,83.43
26851,6,Extend,>>,842,79.74
26953,6,Extend,>>,800,76.13
27055,6,Extend,>>,758,72.62
27157,6,Extend,>>,716,69.01
27259,6,Extend,>>,674,65.49
27361,6,Extend,>>,632,61.71
27463,6,Extend,>>,590,58.29
27565,6,Extend,>>,548,55.12
27667,6,Extend,>>,506,51.52
27769,6,Extend,>>,464,48.09
27871,6,Extend,>>,422,44.48
27973,6,Extend,>>,380,41.05
28075,6,Extend,>>,338,37.54
28177,6,Extend,>>,296,34.02
28280,6,Extend,>>,254,30.59
28382,6,Extend,>>,212,27.08
28484,6,Extend,>>,170,23.47
28587,6,Extend,>>,128,20.22
28689,6,Extend,>>,86,16.79
28791,6,Extend,>>,44,13.45
28893,6,Extend,>>,2,10.02
28996,6,Extend,>>,-40,6.33
29098,6,Extend,>>,-82,2.73
29200,6,Extend,>>,-124,-0.79
29303,6,Extend,>>,-166,-4.31
29405,6,Extend,>>,-208,-7.56
29507,6,Extend,>>,-250,-11.25
29610,6,Extend,>>,-292,-14.86
29712,6,Extend,>>,-334,-18.46
29815,6,Extend,>>,-376,-22.33
29917,6,Extend,>>,-418,-26.02
30019,6,Extend,>>,-460,-29.89
30122,6,Extend,>>,-502,-33.76
30224,6,Extend,>>,-544,-37.36
30327,6,Extend,>>,-586,-41.14
30429,6,Extend,>>,-628,-44.57
30531,6,Extend,>>,-670,-48.26
30634,6,Extend,>>,-712,-51.69
30736,6,Extend,>>,-754,-54.95
30839,6,Extend,>>,-796,-58.46
30941,6,Extend,>>,-838,-61.63
31044,6,Extend,>>,-880,-65.05
31147,6,Extend,>>,-922,-68.66
31249,6,Extend,>>,-964,-71.82
31352,6,Extend,>>,-1006,-75.34
31454,6,Extend,>>,-1048,-79.03
31557,6,Extend,>>,-1090,-82.29
31659,6,Extend,>>,-1132,-85.89
31762,6,Extend,>>,-1174,-89.05
31865,6,Extend,>>,-1216,-92.13
31967,6,Extend,>>,-1258,-95.56
32070,6,Extend,>>,-1300,-98.73
32172,6,Extend,>>,-1342,-102.15
32275,6,Extend,>>,-1384,-105.85
32377,6,Extend,>>,-1426,-108.92
32480,6,Extend,<<,-1426,-112.26
32582,6,Extend,<<,-1384,-113.49
32685,6,Extend,<<,-1342,-113.49
32787,6,Extend,<<,-1300,-113.49
32890,6,Extend,<<,-1258,-113.32
32993,6,Extend,<<,-1216,-110.15
33095,6,Extend,<<,-1174,-106.99
33198,6,Extend,<<,-1132,-103.47
33300,6,Extend,<<,-1090,-100.22
33403,6,Extend,<<,-1048,-96.53
33506,6,Extend,<<,-1006,-92.92
33608,6,Extend,<<,-964,-89.23
33711,6,Extend,<<,-922,-85.54
33814,6,Extend,<<,-880,-82.11
33917,6,Extend,<<,-838,-78.42
34020,6,Extend,<<,-796,-74.64
34122,6,Extend,<<,-754,-71.03
34225,6,Extend,<<,-712,-67.25
34328,6,Extend,<<,-670,-63.65
34430,6,Extend,<<,-628,-59.87
34533,6,Extend,<<,-586,-56.35
34635,6,Extend,<<,-544,-52.66
34738,6,Extend,<<,-502,-48.97
34840,6,Extend,<<,-460,-45.36
34942,6,Extend,<<,-418,-41.67
35044,6,Extend,<<,-376,-37.89
35147,6,Extend,<<,-334,-34.2
35250,6,Extend,<<,-292,-30.59
35352,6,Extend,<<,-250,-26.99
35455,6,Extend,<<,-208,-23.21
35557,6,Extend,<<,-166,-19.52
35660,6,Extend,<<,-124,-15.91
35763,6,Extend,<<,-82,-12.22
35866,6,Extend,<<,-40,-8.44
35968,6,Extend,<<,2,-4.84
36070,6,Extend,<<,44,-1.14
36173,6,Extend,<<,86,2.73
36275,6,Extend,<<,128,6.33
36377,6,Extend,<<,170,9.93
36480,6,Extend,<<,212,13.8
36582,6,Extend,<<,254,17.41
36684,6,Extend,<<,296,21.1
36786,6,Extend,<<,338,24.62
36888,6,Extend,<<,380,28.31
36991,6,Extend,<<,422,32.0
37093,6,Extend,<<,464,35.69
37195,6,Extend,<<,506,39.38
37297,6,Extend,<<,548,43.08
37400,6,Extend,<<,590,46.86
37502,6,Extend,<<,632,50.55
37604,6,Extend,<<,674,54.24
37706,6,Extend,<<,716,57.85
37808,6,Extend,<<,758,61.54
37910,6,Extend,<<,800,65.23
38013,6,Extend,<<,842,68.92
38115,6,Extend,<<,884,72.62
38217,6,Extend,<<,926,76.31
38319,6,Extend,<<,968,80.0
38421,6,Extend,<<,1010,83.69
38523,6,Extend,<<,1052,87.3
38626,6,Extend,<<,1094,91.08
54770,6,Extend,>>,1090,95.82
54873,6,Extend,>>,1048,95.82
54975,6,Extend,>>,1006,93.63
55077,6,Extend,>>,964,90.02
55179,6,Extend,>>,922,86.33
55281,6,Extend,>>,880,82.64
55383,6,Extend,>>,838,78.86
55485,6,Extend,>>,796,75.16
55588,6,Extend,>>,754,71.65
55690,6,Extend,>>,712,67.96
55792,6,Extend,>>,670,64.44
55895,6,Extend,>>,628,60.75
55997,6,Extend,>>,586,57.14
56099,6,Extend,>>,544,53.71
56201,6,Extend,>>,502,50.11
56304,6,Extend,>>,460,46.59
56406,6,Extend,>>,418,43.16
56508,6,Extend,>>,376,39.74
56610,6,Extend,>>,334,36.4
56713,6,Extend,>>,292,32.97
56816,6,Extend,>>,250,29.45
56918,6,Extend,>>,208,26.02
57021,6,Extend,>>,166,22.59
57123,6,Extend,>>,124,19.34
57226,6,Extend,>>,82,15.91
57328,6,Extend,>>,40,12.66
57430,6,Extend,>>,-2,9.23
57532,6,Extend,>>,-44,5.54
57635,6,Extend,>>,-86,2.37
57737,6,Extend,>>,-128,-0.97
57839,6,Extend,>>,-170,-4.57
57942,6,Extend,>>,-212,-7.82
58045,6,Extend,>>,-254,-11.6
58148,6,Extend,>>,-296,-15.03
58250,6,Extend,>>,-338,-18.37
58352,6,Extend,>>,-380,-22.15
58455,6,Extend,>>,-422,-25.32
58558,6,Extend,>>,-464,-28.92
58660,6,Extend,>>,-506,-32.7
58762,6,Extend,>>,-548,-36.31
58865,6,Extend,>>,-590,-39.91
58967,6,Extend,>>,-632,-43.43
59070,6,Extend,>>,-674,-47.21
59173,6,Extend,>>,-716,-51.25
59276,6,Extend,>>,-758,-54.95
59379,6,Extend,>>,-800,-58.81
59481,6,Extend,>>,-842,-62.77
59584,6,Extend,>>,-884,-66.64
59687,6,Extend,>>,-926,-70.42
59790,6,Extend,>>,-968,-73.67
59893,6,Extend,>>,-1010,-77.45
59995,6,Extend,>>,-1052,-81.05
60098,6,Extend,>>,-1094,-84.66
60201,6,Extend,>>,-1136,-88.26
60303,6,Extend,>>,-1178,-91.6
60406,6,Extend,>>,-1220,-95.21
60508,6,Extend,>>,-1262,-98.64
60611,6,Extend,>>,-1304,-102.24
60714,6,Extend,>>,-1346,-106.02
60817,6,Extend,>>,-1388,-109.54
60919,6,Extend,>>,-1430,-113.23
61022,6,Extend,<<,-1430,-116.57
61125,6,Extend,<<,-1388,-117.27
61227,6,Extend,<<,-1346,-117.27
61330,6,Extend,<<,-1304,-117.19
61433,6,Extend,<<,-1262,-114.55
61536,6,Extend,<<,-1220,-111.3
61638,6,Extend,<<,-1178,-107.87
61741,6,Extend,<<,-1136,-104.35
61844,6,Extend,<<,-1094,-100.92
61947,6,Extend,<<,-1052,-97.23
62050,6,Extend,<<,-1010,-93.54
62152,6,Extend,<<,-968,-89.76
62255,6,Extend,<<,-926,-86.07
62357,6,Extend,<<,-884,-82.55
62460,6,Extend,<<,-842,-79.03
62562,6,Extend,<<,-800,-75.16
62665,6,Extend,<<,-758,-71.47
62768,6,Extend,<<,-716,-67.87
62870,6,Extend,<<,-674,-64.0
62973,6,Extend,<<,-632,-60.31
63076,6,Extend,<<,-590,-56.79
63178,6,Extend,<<,-548,-53.1
63281,6,Extend,<<,-506,-49.32
63384,6,Extend,<<,-464,-45.71
63486,6,Extend,<<,-422,-42.02
63589,6,Extend,<<,-380,-38.33
63692,6,Extend,<<,-338,-34.55
63794,6,Extend,<<,-296,-30.95
63897,6,Extend,<<,-254,-27.34
63999,6,Extend,<<,-212,-23.65
64101,6,Extend,<<,-170,-19.96
64204,6,Extend,<<,-128,-16.26
64306,6,Extend,<<,-86,-12.57
64409,6,Extend,<<,-44,-8.79
64511,6,Extend,<<,-2,-5.19
64614,6,Extend,<<,40,-1.49
64716,6,Extend,<<,82,2.37
64818,6,Extend,<<,124,5.98
64920,6,Extend,<<,166,9.67
65023,6,Extend,<<,208,13.45
65125,6,Extend,<<,250,17.14
65227,6,Extend,<<,292,20.75
65329,6,Extend,<<,334,24.35
65431,6,Extend,<<,376,28.04
65534,6,Extend,<<,418,31.74
65637,6,Extend,<<,460,35.34
65739,6,Extend,<<,502,39.03
65841,6,Extend,<<,544,42.73
65943,6,Extend,<<,586,46.42
66045,6,Extend,<<,628,50.2
66148,6,Extend,<<,670,53.89
66249,6,Extend,<<,712,57.49
66352,6,Extend,<<,754,61.19
66455,6,Extend,<<,796,64.88
66557,6,Extend,<<,838,68.57
66660,6,Extend,<<,880,72.26
66762,6,Extend,<<,922,75.96
66864,6,Extend,<<,964,79.65
66966,6,Extend,<<,1006,83.34
67068,6,Extend,<<,1048,86.95
67171,6,Extend,<<,1090,90.73
83310,6,Extend,>>,1087,95.56
83412,6,Extend,>>,1045,95.56
83515,6,Extend,>>,1003,93.27
83617,6,Extend,>>,961,89.67
83720,6,Extend,>>,919,85.98
83821,6,Extend,>>,877,82.29
83924,6,Extend,>>,835,78.59
84026,6,Extend,>>,793,74.9
84129,6,Extend,>>,751,71.38
84231,6,Extend,>>,709,67.69
84333,6,Extend,>>,667,64.18
84436,6,Extend,>>,625,60.48
84538,6,Extend,>>,583,56.88
84640,6,Extend,>>,541,53.45
84742,6,Extend,>>,499,49.93
84845,6,Extend,>>,457,46.33
84947,6,Extend,>>,415,42.81
85049,6,Extend,>>,373,39.38
85152,6,Extend,>>,331,35.96
85254,6,Extend,>>,289,32.53
85357,6,Extend,>>,247,29.01
85459,6,Extend,>>,205,25.49
85562,6,Extend,>>,163,22.33
85664,6,Extend,>>,121,18.99
85767,6,Extend,>>,79,15.38
85869,6,Extend,>>,37,11.96
85972,6,Extend,>>,-5,8.53
86074,6,Extend,>>,-47,4.84
86177,6,Extend,>>,-89,1.49
86279,6,Extend,>>,-131,-2.11
86381,6,Extend,>>,-173,-5.45
86484,6,Extend,>>,-215,-8.7
86586,6,Extend,>>,-257,-12.4
86688,6,Extend,>>,-299,-15.65
86791,6,Extend,>>,-341,-19.08
86893,6,Extend,>>,-383,-22.68
86996,6,Extend,>>,-425,-26.2
87099,6,Extend,>>,-467,-29.89
87201,6,Extend,>>,-509,-33.67
87303,6,Extend,>>,-551,-37.27
87406,6,Extend,>>,-593,-41.23
87509,6,Extend,>>,-635,-44.84
87612,6,Extend,>>,-677,-48.88
87714,6,Extend,>>,-719,-52.66
87817,6,Extend,>>,-761,-56.09
87919,6,Extend,>>,-803,-59.78
88022,6,Extend,>>,-845,-63.21
88125,6,Extend,>>,-887,-66.73
88227,6,Extend,>>,-929,-70.24
88330,6,Extend,>>,-971,-73.41
88433,6,Extend,>>,-1013,-77.19
88535,6,Extend,>>,-1055,-80.53
88638,6,Extend,>>,-1097,-84.04
88740,6,Extend,>>,-1139,-87.65
88843,6,Extend,>>,-1181,-90.73
88946,6,Extend,>>,-1223,-94.15
89048,6,Extend,>>,-1265,-97.67
89151,6,Extend,>>,-1307,-100.66
89254,6,Extend,>>,-1349,-104.62
89356,6,Extend,>>,-1391,-107.96
89459,6,Extend,>>,-1433,-111.21
89562,6,Extend,<<,-1433,-114.81
89664,6,Extend,<<,-1391,-115.87
89767,6,Extend,<<,-1349,-115.87
89870,6,Extend,<<,-1307,-115.87
