Time(ms),MotorID,Phase,Direction,Position,Angle(deg)
12471,1,Flex,>>,2945,258.9
12484,2,Flex,>>,1209,106.29
12497,3,Flex,>>,159,13.98
12575,1,Flex,>>,2910,258.9
12587,2,Flex,>>,1149,106.29
12599,3,Flex,>>,96,13.98
12677,1,Flex,>>,2875,256.97
12689,2,Flex,>>,1089,103.03
12701,3,Flex,>>,33,10.73
12779,1,Flex,>>,2840,254.24
12791,2,Flex,>>,1029,98.2
12803,3,Flex,>>,-30,5.8
12881,1,Flex,>>,2805,251.16
12894,2,Flex,>>,969,93.01
12906,3,Flex,>>,-93,0.35
12984,1,Flex,>>,2770,248.09
12996,2,Flex,>>,909,87.91
13008,3,Flex,>>,-156,-5.01
13086,1,Flex,>>,2735,245.19
13098,2,Flex,>>,849,82.64
13110,3,Flex,>>,-219,-10.37
13188,1,Flex,>>,2700,242.11
13200,2,Flex,>>,789,77.45
13213,3,Flex,>>,-282,-16.0
13291,1,Flex,>>,2665,239.03
13303,2,Flex,>>,729,72.18
13315,3,Flex,>>,-345,-21.45
13393,1,Flex,>>,2630,236.13
13405,2,Flex,>>,669,66.99
13417,3,Flex,>>,-408,-26.99
13495,1,Flex,>>,2595,233.14
13507,2,Flex,>>,609,61.71
13518,3,Flex,>>,-471,-32.53
13597,1,Flex,>>,2560,230.07
13609,2,Flex,>>,549,56.53
13621,3,Flex,>>,-534,-38.07
13699,1,Flex,>>,2525,227.08
13711,2,Flex,>>,489,51.16
13723,3,Flex,>>,-597,-43.6
13801,1,Flex,>>,2490,224.09
13813,2,Flex,>>,429,45.89
13825,3,Flex,>>,-660,-49.05
13904,1,Flex,>>,2455,221.1
13916,2,Flex,>>,369,40.79
13928,3,Flex,>>,-723,-54.59
14006,1,Flex,>>,2420,218.11
14019,2,Flex,>>,309,35.52
14031,3,Flex,>>,-786,-60.13
14109,1,Flex,>>,2385,214.95
14121,2,Flex,>>,249,30.24
14133,3,Flex,>>,-849,-65.49
14211,1,Flex,>>,2350,211.96
14223,2,Flex,>>,189,25.05
14235,3,Flex,>>,-912,-71.12
14313,1,Flex,>>,2315,208.88
14325,2,Flex,>>,129,19.69
14337,3,Flex,>>,-975,-76.57
14415,1,Flex,>>,2280,205.8
14427,2,Flex,>>,69,14.51
14439,3,Flex,>>,-1038,-82.02
14517,1,Flex,>>,2245,202.9
14529,2,Flex,>>,9,9.32
14542,3,Flex,>>,-1101,-87.47
14620,1,Flex,>>,2210,199.91
14632,2,Flex,>>,-51,3.96
14644,3,Flex,>>,-1164,-93.01
14722,1,Flex,>>,2175,197.01
14734,2,Flex,>>,-111,-1.32
14746,3,Flex,>>,-1227,-98.73
14824,1,Flex,>>,2140,193.93
14836,2,Flex,>>,-171,-6.42
14848,3,Flex,>>,-1290,-104.44
14926,1,Flex,>>,2105,190.77
14938,2,Flex,>>,-231,-11.78
14950,3,Flex,>>,-1353,-110.07
15028,1,Flex,>>,2070,187.78
15040,2,Flex,>>,-291,-16.97
15052,3,Flex,>>,-1416,-115.43
15130,1,Flex,>>,2035,184.79
15143,2,Flex,>>,-351,-22.07
15155,3,Flex,>>,-1479,-120.97
15233,1,Flex,>>,2000,181.71
15245,2,Flex,>>,-411,-27.43
15257,3,Flex,>>,-1542,-126.51
15335,1,Flex,>>,1965,178.81
