Time(ms),SensorA0,SensorA1,SensorA2
12511,390,343,551
12526,390,344,549
12540,392,343,552
12620,386,344,547
12635,387,339,543
12650,387,336,543
12730,388,342,545
12744,387,339,544
12759,386,337,541
12839,389,341,545
12855,387,338,543
12869,386,336,541
12950,388,339,551
12964,387,338,551
12979,386,335,543
13059,388,341,545
13074,384,341,541
13088,386,338,539
13169,387,339,542
13183,389,338,543
13198,383,334,542
13278,388,339,544
13293,388,340,542
13307,386,335,531
13387,389,338,545
13402,387,338,542
13416,384,338,541
13497,389,340,545
13511,386,335,542
13527,384,337,539
13607,389,339,545
13622,387,340,541
13636,383,334,539
13717,388,339,543
13732,386,338,541
13747,387,337,540
13827,390,339,546
13842,385,335,542
13858,384,335,542
13939,388,342,545
13953,384,336,542
13968,387,332,536
14048,391,338,547
14063,388,336,545
14077,386,338,543
14158,390,336,550
14172,385,338,548
14187,386,337,547
14268,392,339,551
14282,389,336,549
14297,384,333,545
14378,392,338,552
14392,391,335,550
14406,389,338,547
14487,393,341,560
14501,389,341,556
14516,391,339,554
14596,395,346,571
14611,388,347,570
14625,390,343,564
14706,395,356,575
14720,395,352,576
14735,392,348,574
14815,396,355,586
14830,394,358,584
14844,395,354,585
14925,410,363,594
14939,407,359,587
14954,408,349,588
15035,424,364,592
15049,419,356,591
15064,419,363,591
15145,417,362,592
15159,414,359,591
15174,415,359,588
15255,416,367,603
15269,414,365,596
15284,413,367,596
15364,417,373,604
15379,419,373,602
15393,415,374,603
15474,421,369,601
15488,420,375,605
15503,423,377,608
15584,430,380,613
15599,426,379,609
15613,424,376,608
15694,432,385,621
15709,432,383,616
15723,426,380,618
15804,439,388,624
15818,437,385,623
15833,441,386,616
15913,454,389,629
15928,453,398,632
15942,453,395,621
16023,458,405,636
16037,455,399,631
16052,455,401,630
16133,460,407,640
16148,460,406,638
16162,455,400,624
16243,465,409,644
16257,464,409,642
16272,459,404,640
16353,473,416,647
16368,473,417,649
16382,469,413,648
