Time(ms),SensorA0,SensorA1,SensorA2
152278,375,308,461
152292,374,307,458
152307,375,308,462
152387,372,307,462
152402,372,305,457
152416,370,305,454
152497,371,307,459
152511,367,303,456
152526,368,303,449
152606,372,306,458
152621,367,303,458
152635,368,304,457
152716,373,307,458
152730,368,306,457
152745,368,304,456
152826,370,305,459
152840,371,304,455
152854,369,304,454
152935,371,306,459
152950,369,304,457
152964,367,304,457
153045,370,306,461
153059,369,305,460
153074,367,302,459
153155,370,305,464
153170,367,304,463
153185,368,302,457
153265,371,306,465
153279,369,306,463
153294,364,303,462
153375,371,306,467
153390,367,304,463
153404,368,303,464
153485,371,305,467
153500,368,306,466
153514,365,302,465
153595,377,306,471
153609,387,304,470
153624,392,301,468
153704,413,307,474
153719,411,302,472
153733,407,301,469
153814,414,308,475
153828,408,304,470
153843,409,302,471
153924,407,305,478
153938,405,306,478
153953,403,304,472
154033,407,308,480
154048,405,304,479
154062,404,305,477
154143,433,309,488
154157,429,306,485
154172,424,306,480
154252,427,313,491
154267,424,313,492
154282,421,310,488
154363,424,317,497
154378,421,314,495
154392,423,314,491
154473,424,319,501
154488,423,319,499
154503,420,319,497
154584,430,329,506
154599,428,326,505
154613,428,327,503
154694,439,336,513
154709,437,335,512
154724,438,336,512
154805,448,349,528
154820,446,349,527
154834,447,351,525
154915,451,363,540
154930,448,361,536
154944,448,359,536
155025,455,377,553
155039,450,375,549
155054,444,379,552
155135,442,392,569
155149,437,386,560
155163,437,390,564
155244,438,411,589
155259,433,408,589
155273,431,407,587
155354,434,425,605
155368,431,426,604
155383,434,428,603
155463,434,448,629
155478,434,444,626
155492,434,444,621
155573,438,457,634
155587,434,452,631
155602,438,453,628
155683,441,465,648
155697,442,464,641
155712,437,460,638
155792,444,470,648
155807,441,467,642
155822,441,465,641
155903,452,477,653
155917,450,477,648
155932,450,475,646
156012,462,492,665
156027,458,490,659
156041,460,492,658
156122,470,508,675
156137,470,505,672
156152,466,503,666
156232,480,518,681
156247,475,514,677
156261,477,515,679
156342,487,523,693
156357,488,525,688
156371,485,520,681
156452,493,532,701
156467,493,533,695
156482,491,533,697
156562,499,542,711
156578,495,538,703
156592,495,537,705
156673,499,541,711
156688,503,540,706
156702,502,541,708
156783,511,552,721
156798,508,545,712
156812,508,545,709
156893,513,548,719
156907,510,546,718
156922,508,545,715
157002,513,548,718
157017,505,544,713
157031,506,541,707
157112,512,549,716
157126,512,545,711
157142,508,546,708
157223,513,548,712
157237,510,546,707
157252,506,539,706
157333,512,543,711
157347,506,540,704
157362,505,536,700
157442,516,547,709
157457,507,538,703
157472,505,539,706
157553,514,543,707
157567,512,544,707
157582,511,538,700
157663,521,550,710
157677,518,548,703
157692,517,548,705
157772,524,550,713
157787,518,547,705
157801,515,544,702
157882,524,549,710
157896,521,548,708
157911,519,545,702
157992,521,549,711
158006,520,548,704
158020,518,544,703
158101,528,557,715
158116,523,551,708
158131,521,548,705
158211,532,560,717
158226,525,554,709
158240,525,547,703
158321,533,564,723
158335,532,557,708
158350,525,553,706
158430,532,564,724
158445,530,557,709
158459,523,557,710
158540,530,563,718
158555,528,560,707
158569,525,559,709
158650,529,565,720
158665,524,560,710
158680,520,556,710
158760,533,568,723
158775,525,564,715
158789,525,560,711
158870,538,574,728
158884,531,565,718
158899,531,563,714
158979,541,579,731
158994,543,583,733
159008,542,581,733
159089,549,587,740
159103,557,594,751
159118,561,602,760
159199,559,599,762
159213,564,604,761
159228,562,600,760
159309,562,600,763
159324,560,597,760
159338,560,598,759
159419,563,599,763
159434,559,596,758
159448,559,596,758
159529,558,599,759
159544,555,594,757
159558,554,592,754
159639,554,592,754
159654,552,591,751
159668,551,590,749
159749,551,588,750
159764,549,586,749
159779,547,581,744
159859,546,583,746
159874,541,578,741
159888,539,575,738
159969,539,577,734
159984,540,574,731
159999,535,565,728
160079,535,567,728
160094,532,562,725
160108,529,560,722
160190,530,562,723
160205,528,561,716
160220,526,558,716
160301,522,556,713
160316,519,552,710
160330,519,550,705
160411,515,549,709
160425,511,545,704
160440,513,547,703
160521,510,545,703
160536,506,543,696
160550,503,537,696
160631,505,537,695
160645,503,533,689
160660,501,530,688
160741,502,530,687
160755,497,525,684
160770,496,522,679
160850,497,521,679
160865,494,516,674
160879,490,518,672
160960,492,513,672
160975,489,510,668
160990,484,506,665
161071,486,504,667
161085,483,503,663
161100,481,496,659
161180,483,497,663
161195,479,495,663
161209,476,495,659
161290,481,494,659
161305,479,492,658
161319,477,487,655
161400,479,490,657
161414,477,488,653
161429,478,485,651
161510,480,487,655
161525,475,484,652
161539,477,482,647
161620,476,481,652
161634,474,478,644
161649,473,476,642
161729,475,475,642
161744,471,471,639
161759,470,471,644
161839,472,469,639
161854,472,467,637
161869,468,466,631
161949,466,465,634
161964,470,466,633
161979,464,458,629
162059,470,462,630
162074,467,459,627
162088,465,459,627
162169,469,458,628
162183,468,455,624
162198,464,452,624
162278,465,451,621
162293,464,446,616
162307,464,446,614
162388,465,442,610
162403,464,441,606
162418,459,437,604
162499,464,437,601
162514,460,435,602
162528,459,432,598
162609,462,433,598
162624,460,431,597
162638,458,429,591
162719,461,429,592
162733,461,425,590
162748,458,424,588
162829,457,424,587
162843,459,422,584
162858,457,417,578
162938,459,420,581
162953,457,417,578
162967,452,415,576
163048,442,418,578
163063,439,416,576
163078,436,414,573
163159,433,418,576
163173,429,416,574
163188,426,414,572
163269,426,417,575
163283,424,414,572
163298,419,414,572
163378,423,414,574
163393,420,413,568
163408,418,409,569
163488,420,409,570
163503,420,407,565
163518,415,406,563
163598,418,405,560
163613,417,405,562
163628,414,402,557
163708,416,404,556
163723,415,402,555
163737,410,398,553
163818,415,397,549
163832,414,396,545
163847,414,393,544
163928,414,392,543
163942,411,389,541
163956,408,385,540
164038,411,389,537
164053,409,384,535
164067,410,385,534
164148,411,382,531
164163,409,382,530
164177,407,379,529
164258,411,381,530
164272,408,381,529
164287,407,382,527
164367,412,382,530
164382,408,380,528
164396,407,379,525
164477,409,381,527
164492,407,377,524
164506,406,377,525
164587,409,379,526
164602,408,377,521
164616,406,377,521
164697,409,374,522
164711,405,374,518
164726,406,373,516
164806,408,374,520
164821,407,374,517
164835,405,372,516
164916,405,374,518
164930,406,373,517
164945,403,372,514
165025,406,376,519
165040,405,373,515
165054,401,371,515
165135,406,374,519
165150,406,372,515
165164,403,374,515
165245,406,373,519
165259,404,371,516
165273,403,371,513
165354,407,373,517
165369,405,372,511
165384,402,372,513
165464,404,375,516
165479,405,371,513
165494,401,370,513
165574,404,373,516
165589,403,372,514
165603,403,375,513
166951,407,374,519
166966,408,375,519
166981,406,374,519
167063,406,372,516
167077,403,372,515
167093,402,372,514
167174,405,374,513
167188,404,370,512
167203,403,371,513
167283,403,371,512
167297,403,373,510
167312,402,370,511
167392,403,373,514
167407,403,371,512
167421,403,370,511
167502,404,373,511
167516,403,373,511
167531,403,372,509
167611,404,372,511
