Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2
152278,1,Flex,>>,2916,256.35,375,308,461
152292,2,Flex,>>,1151,101.19,374,307,458
152307,3,Flex,>>,124,10.9,375,308,462
152387,1,Flex,>>,2877,256.35,372,307,462
152402,2,Flex,>>,1087,101.19,372,305,457
152416,3,Flex,>>,58,10.9,370,305,454
152497,1,Flex,>>,2838,254.15,371,307,459
152511,2,Flex,>>,1023,97.49,367,303,456
152526,3,Flex,>>,-8,7.21,368,303,449
152606,1,Flex,>>,2799,250.9,372,306,458
152621,2,Flex,>>,959,92.04,367,303,458
152635,3,Flex,>>,-74,1.76,368,304,457
152716,1,Flex,>>,2760,247.47,373,307,458
152730,2,Flex,>>,895,86.51,368,306,457
152745,3,Flex,>>,-140,-3.96,368,304,456
152826,1,Flex,>>,2721,244.13,370,305,459
152840,2,Flex,>>,831,80.88,371,304,455
152854,3,Flex,>>,-206,-9.67,369,304,454
152935,1,Flex,>>,2682,240.7,371,306,459
152950,2,Flex,>>,767,75.34,369,304,457
152964,3,Flex,>>,-272,-15.38,367,304,457
153045,1,Flex,>>,2643,237.19,370,306,461
153059,2,Flex,>>,703,69.89,369,305,460
153074,3,Flex,>>,-338,-21.19,367,302,459
153155,1,Flex,>>,2604,233.85,370,305,464
153170,2,Flex,>>,639,64.35,367,304,463
153185,3,Flex,>>,-404,-26.9,368,302,457
153265,1,Flex,>>,2565,230.51,371,306,465
153279,2,Flex,>>,575,58.81,369,306,463
153294,3,Flex,>>,-470,-32.53,364,303,462
153375,1,Flex,>>,2526,227.16,371,306,467
153390,2,Flex,>>,511,53.27,367,304,463
153404,3,Flex,>>,-536,-38.24,368,303,464
153485,1,Flex,>>,2487,223.74,371,305,467
153500,2,Flex,>>,447,47.47,368,306,466
153514,3,Flex,>>,-602,-44.04,365,302,465
153595,1,Flex,>>,2448,220.31,377,306,471
153609,2,Flex,>>,383,42.11,387,304,470
153624,3,Flex,>>,-668,-49.76,392,301,468
153704,1,Flex,>>,2409,216.88,413,307,474
153719,2,Flex,>>,319,36.57,411,302,472
153733,3,Flex,>>,-734,-55.56,407,301,469
153814,1,Flex,>>,2370,213.45,414,308,475
153828,2,Flex,>>,255,30.86,408,304,470
153843,3,Flex,>>,-800,-61.27,409,302,471
153924,1,Flex,>>,2331,210.02,407,305,478
153938,2,Flex,>>,191,25.23,405,306,478
153953,3,Flex,>>,-866,-66.9,403,304,472
154033,1,Flex,>>,2292,206.68,407,308,480
154048,2,Flex,>>,127,19.6,405,304,479
154062,3,Flex,>>,-932,-72.7,404,305,477
154143,1,Flex,>>,2253,203.34,433,309,488
154157,2,Flex,>>,63,14.15,429,306,485
154172,3,Flex,>>,-998,-78.42,424,306,480
154252,1,Flex,>>,2214,200.0,427,313,491
154267,2,Flex,>>,-1,8.53,424,313,492
154282,3,Flex,>>,-1064,-84.22,421,310,488
154363,1,Flex,>>,2175,196.57,424,317,497
154378,2,Flex,>>,-65,2.99,421,314,495
154392,3,Flex,>>,-1130,-90.02,423,314,491
154473,1,Flex,>>,2136,193.23,424,319,501
154488,2,Flex,>>,-129,-2.55,423,319,499
154503,3,Flex,>>,-1196,-95.91,420,319,497
154584,1,Flex,>>,2097,189.89,430,329,506
154599,2,Flex,>>,-193,-8.09,428,326,505
154613,3,Flex,>>,-1262,-101.71,428,327,503
154694,1,Flex,>>,2058,186.37,439,336,513
154709,2,Flex,>>,-257,-13.71,437,335,512
154724,3,Flex,>>,-1328,-107.6,438,336,512
154805,1,Flex,>>,2019,183.03,448,349,528
154820,2,Flex,>>,-321,-19.25,446,349,527
154834,3,Flex,>>,-1394,-113.23,447,351,525
154915,1,Flex,>>,1980,179.69,451,363,540
154930,2,Flex,>>,-385,-24.97,448,361,536
154944,3,Flex,>>,-1460,-119.21,448,359,536
155025,1,Flex,>>,1941,176.26,455,377,553
155039,2,Flex,>>,-449,-30.59,450,375,549
155054,3,Flex,>>,-1526,-124.92,444,379,552
155135,1,Flex,>>,1902,172.92,442,392,569
155149,2,Flex,>>,-513,-36.31,437,386,560
155163,3,Flex,>>,-1592,-130.81,437,390,564
155244,1,Flex,>>,1863,169.49,438,411,589
155259,2,Flex,>>,-577,-41.85,433,408,589
155273,3,Flex,>>,-1658,-136.62,431,407,587
155354,1,Flex,>>,1824,166.33,434,425,605
155368,2,Flex,>>,-641,-47.56,431,426,604
155383,3,Flex,>>,-1724,-142.42,434,428,603
155463,1,Flex,>>,1785,162.9,434,448,629
155478,2,Flex,>>,-705,-53.27,434,444,626
155492,3,Flex,>>,-1790,-148.31,434,444,621
155573,1,Flex,>>,1746,159.65,438,457,634
155587,2,Flex,>>,-769,-58.99,434,452,631
155602,3,Flex,>>,-1856,-154.11,438,453,628
155683,1,Flex,>>,1707,156.4,441,465,648
155697,2,Flex,>>,-833,-64.53,442,464,641
155712,3,Flex,>>,-1922,-159.82,437,460,638
155792,1,Flex,>>,1668,152.97,444,470,648
155807,2,Flex,>>,-897,-70.07,441,467,642
155822,3,Flex,>>,-1988,-165.45,441,465,641
155903,1,Flex,>>,1629,149.54,452,477,653
