Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2
17853,3,Flex,>>,124,10.9,359,323,448
17962,3,Flex,>>,58,10.9,353,318,440
18072,3,Flex,>>,-8,7.12,354,320,443
18182,3,Flex,>>,-74,1.49,352,319,442
18292,3,Flex,>>,-140,-4.31,353,317,440
18402,3,Flex,>>,-206,-10.02,352,319,442
18511,3,Flex,>>,-272,-15.91,352,319,440
18621,3,Flex,>>,-338,-21.71,352,319,443
18730,3,Flex,>>,-404,-27.52,352,319,443
18840,3,Flex,>>,-470,-33.23,350,319,443
18951,3,Flex,>>,-536,-39.03,352,319,444
19060,3,Flex,>>,-602,-44.66,352,319,441
19170,3,Flex,>>,-668,-50.29,354,320,442
19279,3,Flex,>>,-734,-55.91,353,318,444
19389,3,Flex,>>,-800,-61.63,353,319,441
19499,3,Flex,>>,-866,-67.34,353,318,443
19609,3,Flex,>>,-932,-73.05,353,321,443
19718,3,Flex,>>,-998,-78.86,355,319,447
19828,3,Flex,>>,-1064,-84.48,354,319,449
19937,3,Flex,>>,-1130,-90.29,352,317,457
20047,3,Flex,>>,-1196,-96.09,353,318,462
20156,3,Flex,>>,-1262,-101.89,351,319,467
20266,3,Flex,>>,-1328,-107.6,354,323,470
20376,3,Flex,>>,-1394,-113.14,357,327,475
20486,3,Flex,>>,-1460,-118.95,360,328,477
20595,3,Flex,>>,-1526,-124.75,361,332,483
20705,3,Flex,>>,-1592,-130.46,372,340,494
20814,3,Flex,>>,-1658,-136.18,375,351,510
20924,3,Flex,>>,-1724,-142.07,377,355,518
21034,3,Flex,>>,-1790,-147.87,382,358,522
21144,3,Flex,>>,-1856,-153.58,383,364,531
21254,3,Flex,>>,-1922,-159.21,392,371,537
21364,3,Flex,>>,-1988,-164.92,403,373,546
21474,3,Flex,>>,-2054,-170.55,415,379,553
21584,3,Flex,>>,-2120,-176.18,425,392,563
21693,3,Flex,>>,-2186,-182.07,424,404,582
21803,3,Flex,>>,-2252,-187.78,429,412,588
21913,3,Flex,>>,-2318,-193.49,432,418,598
22022,3,Flex,>>,-2384,-199.21,435,431,607
22132,3,Flex,>>,-2450,-204.92,442,443,621
22241,3,Flex,>>,-2516,-210.73,453,449,625
22351,3,Flex,>>,-2582,-216.53,461,455,629
22461,3,Flex,>>,-2648,-222.24,463,464,637
22570,3,Flex,>>,-2714,-228.04,466,473,643
22680,3,Flex,>>,-2780,-233.85,473,486,655
22790,3,Flex,>>,-2846,-239.65,486,504,669
