Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2
32862,5,Extend,>>,205,18.02,412,301,588
32972,5,Extend,>>,161,18.02,407,300,584
33081,5,Extend,>>,117,15.47,407,299,581
33191,5,Extend,>>,73,11.69,408,299,581
33300,5,Extend,>>,29,7.91,407,300,581
33411,5,Extend,>>,-15,4.22,407,299,577
33521,5,Extend,>>,-59,0.26,406,298,575
33631,5,Extend,>>,-103,-3.6,405,299,575
33740,5,Extend,>>,-147,-7.47,404,299,571
33850,5,Extend,>>,-191,-11.34,404,298,568
33960,5,Extend,>>,-235,-15.21,403,299,566
34069,5,Extend,>>,-279,-18.81,401,299,563
34179,5,Extend,>>,-323,-22.68,402,297,557
34289,5,Extend,>>,-367,-26.55,402,298,548
34400,5,Extend,>>,-411,-30.42,401,299,538
34509,5,Extend,>>,-455,-34.2,398,299,517
34619,5,Extend,>>,-499,-38.07,399,297,501
34728,5,Extend,>>,-543,-41.93,399,298,483
34838,5,Extend,>>,-587,-45.71,400,301,458
34947,5,Extend,>>,-631,-49.58,399,299,438
35057,5,Extend,>>,-675,-53.45,399,299,422
35166,5,Extend,>>,-719,-57.23,398,299,412
35276,5,Extend,>>,-763,-61.01,395,298,405
35386,5,Extend,>>,-807,-64.88,396,299,389
35496,5,Extend,>>,-851,-68.75,393,299,385
35605,5,Extend,>>,-895,-72.62,395,301,380
35715,5,Extend,>>,-939,-76.4,394,301,373
35825,5,Extend,>>,-983,-80.26,393,300,370
35935,5,Extend,>>,-1027,-83.87,391,298,368
36045,5,Extend,>>,-1071,-87.74,393,298,367
36154,5,Extend,>>,-1115,-91.69,390,297,368
36264,5,Extend,>>,-1159,-95.56,388,295,365
36373,5,Extend,>>,-1203,-99.34,388,296,365
36483,5,Extend,>>,-1247,-102.95,386,295,366
36594,5,Extend,>>,-1291,-106.73,385,293,364
36704,5,Extend,>>,-1335,-110.59,382,290,364
36815,5,Extend,>>,-1379,-114.55,379,291,365
36924,5,Extend,>>,-1423,-118.33,380,289,365
37034,5,Extend,>>,-1467,-122.11,379,289,363
37145,5,Extend,>>,-1511,-125.89,379,288,365
37255,5,Extend,>>,-1555,-129.67,378,286,363
37365,5,Extend,>>,-1599,-133.45,376,287,363
37475,5,Extend,>>,-1643,-137.32,378,286,359
37585,5,Extend,>>,-1687,-141.1,380,282,358
37694,5,Extend,>>,-1731,-144.97,381,283,358
37805,5,Extend,>>,-1775,-148.75,387,283,358
37914,5,Extend,>>,-1819,-152.62,382,282,357
38024,5,Extend,>>,-1863,-156.4,377,282,358
38134,5,Extend,>>,-1907,-160.26,387,281,357
38243,5,Extend,>>,-1951,-163.96,379,275,359
38353,5,Extend,>>,-1995,-167.65,375,277,358
38463,5,Extend,>>,-2039,-171.43,372,278,359
38573,5,Extend,>>,-2083,-175.3,369,276,362
38683,5,Extend,>>,-2127,-179.25,364,274,362
38792,5,Extend,>>,-2171,-183.03,364,275,364
38902,5,Extend,>>,-2215,-186.64,360,272,358
39012,5,Extend,>>,-2259,-190.42,360,274,361
39122,5,Extend,>>,-2303,-194.02,358,272,363
39231,5,Extend,>>,-2347,-198.15,356,268,360
39341,5,Extend,>>,-2391,-201.93,354,272,364
39451,5,Extend,>>,-2435,-205.8,353,271,365
39560,5,Extend,<<,-2435,-209.67,356,272,364
39670,5,Extend,<<,-2391,-210.9,358,274,369
39780,5,Extend,<<,-2347,-210.11,361,275,370
39890,5,Extend,<<,-2303,-207.3,364,278,372
40000,5,Extend,<<,-2259,-203.6,366,279,371
40109,5,Extend,<<,-2215,-199.74,370,279,373
40219,5,Extend,<<,-2171,-195.96,373,278,372
40328,5,Extend,<<,-2127,-192.26,378,280,372
40438,5,Extend,<<,-2083,-188.4,380,281,370
40548,5,Extend,<<,-2039,-184.35,382,284,368
40657,5,Extend,<<,-1995,-180.48,386,284,368
40767,5,Extend,<<,-1951,-176.62,388,287,366
40877,5,Extend,<<,-1907,-172.84,389,289,366
40988,5,Extend,<<,-1863,-168.97,388,289,365
41098,5,Extend,<<,-1819,-165.1,390,292,365
41207,5,Extend,<<,-1775,-161.23,390,291,360
41317,5,Extend,<<,-1731,-157.27,390,291,363
