Time(ms),SensorA0,SensorA1,SensorA2
12471,390,303,428
12485,388,302,429
12500,389,302,427
12580,388,300,427
12595,386,299,426
12609,385,299,423
12690,385,299,425
12704,384,299,422
12719,383,298,422
12799,386,301,426
12814,385,299,426
12828,383,299,423
12909,387,301,427
12923,383,298,424
12938,384,297,422
13018,387,301,427
13033,383,299,421
13047,384,297,423
13128,387,301,427
13143,385,299,425
13158,382,298,423
13238,387,300,426
13253,383,298,427
13267,384,298,425
13348,387,301,429
13363,384,299,427
13377,383,298,426
13458,386,300,428
13472,385,299,429
13487,382,299,427
13567,385,300,433
13582,384,299,430
13596,383,298,427
13677,386,302,435
13691,383,299,434
13705,382,299,438
13786,384,300,460
13801,383,301,464
13816,383,299,467
13896,385,300,487
13911,382,298,486
13925,381,298,486
14006,384,300,493
14020,384,300,492
14035,380,298,490
14115,384,300,497
14130,383,299,494
14144,381,297,490
14225,384,300,497
14239,385,300,499
14254,379,297,496
14334,384,300,502
14349,383,300,501
14364,381,298,500
14445,386,299,504
14460,384,299,505
14474,381,299,504
14555,384,300,511
14570,382,299,510
14584,381,297,508
14665,383,300,517
14679,381,300,517
14694,381,297,512
14775,384,300,523
14789,381,299,519
14804,380,297,521
14884,383,302,526
14899,382,299,523
14914,380,297,522
14995,382,300,529
15009,382,299,528
15024,379,298,525
15104,384,300,532
15119,383,300,533
15133,379,297,532
15214,382,299,541
15229,379,299,539
15243,377,296,538
15324,381,300,551
15338,379,299,549
15353,378,297,548
15433,381,300,573
15448,379,298,572
15463,377,297,567
15543,382,299,576
15558,380,298,575
15572,378,296,570
15653,380,300,585
15667,378,299,583
15682,377,299,584
15762,380,299,593
15777,378,297,593
15791,376,298,590
15872,380,300,604
15887,378,299,603
15901,375,296,598
15982,379,301,608
15996,377,298,608
16011,375,296,601
16091,379,301,618
16106,377,299,614
16120,373,296,610
16201,378,299,625
16216,376,299,628
16230,375,297,623
16311,377,299,639
16325,376,299,640
16340,373,298,638
16420,379,299,638
16435,375,297,642
16449,374,297,638
16530,377,300,643
16545,375,299,642
16559,371,293,636
16640,375,299,650
16655,375,298,650
16669,372,295,651
16750,375,298,659
16764,375,298,650
16779,372,297,654
16859,376,300,665
16874,374,297,662
16888,373,297,659
16969,375,299,667
16984,375,298,662
16999,373,295,660
17079,374,297,666
17094,374,297,667
17109,372,295,659
17189,373,299,669
17205,374,297,666
17219,371,296,660
17300,374,298,677
17314,375,297,668
17329,371,295,665
17409,375,298,679
17424,373,297,679
17438,370,297,677
17519,373,298,699
17534,373,298,701
17549,372,294,697
17630,375,298,713
17644,371,298,709
17659,371,295,707
17739,375,299,716
17754,373,298,711
17768,369,293,708
17849,375,298,719
17863,371,297,716
17878,368,294,711
17959,375,299,718
17974,372,297,719
17988,370,293,713
18069,374,297,734
18083,373,296,729
18098,373,296,724
18179,374,297,745
18193,373,296,744
18208,373,294,736
18288,374,297,751
18303,373,295,744
18318,370,293,742
18398,376,297,762
18413,373,296,757
18428,369,293,754
18508,378,296,769
18522,375,295,766
18537,373,292,760
18618,378,297,775
18632,375,295,773
18647,374,293,767
18728,380,296,774
18743,380,295,769
18758,376,293,760
18839,379,294,774
18854,381,293,766
18869,376,290,757
18950,380,293,775
18965,378,292,773
18979,375,292,768
19060,378,293,777
19074,379,291,769
19089,372,287,763
19170,384,294,777
19185,384,295,783
19200,381,293,782
19280,382,296,787
19295,386,296,788
19309,390,300,795
19390,389,300,795
19404,390,299,793
19419,388,299,793
19500,390,300,793
19515,388,298,786
19530,387,298,789
19610,388,301,786
19625,389,299,783
19639,387,300,782
19720,390,300,781
19734,388,298,778
19749,388,299,775
19829,391,301,776
19844,388,298,772
19858,387,297,771
19939,392,300,771
19953,389,299,767
19968,387,298,764
20049,390,301,761
20064,388,300,758
20078,386,298,755
20159,388,300,753
20174,385,298,749
20189,386,298,747
20269,389,298,749
20284,386,299,748
20298,385,299,744
20379,387,301,744
20393,385,298,738
20408,383,298,739
20489,387,301,731
20504,385,299,728
20518,384,298,722
20599,387,299,723
20613,382,298,719
20628,383,297,715
20708,384,300,715
20723,382,298,710
20738,383,297,704
20818,385,300,705
20832,383,298,700
20847,382,299,697
20928,385,300,694
20942,382,298,687
20957,381,298,686
21037,386,301,684
21052,383,298,679
21066,382,299,675
21147,384,300,673
21162,382,299,669
21176,382,299,666
21257,385,301,667
21271,382,299,658
21286,381,299,657
21366,385,300,659
21381,383,297,652
21395,384,298,652
21476,385,300,654
21490,383,300,651
21505,380,297,648
21586,384,300,646
21600,382,298,645
21615,383,298,643
21695,385,300,641
21710,383,300,638
21724,382,297,635
21805,386,300,634
21820,384,299,630
21834,384,299,629
21915,385,299,629
21930,384,298,623
21944,383,296,621
22025,384,300,622
22040,384,300,618
22054,383,298,615
22135,386,299,617
22150,382,298,616
22165,382,299,616
22245,386,299,615
22260,385,299,614
22274,382,297,613
22355,386,301,612
22370,383,298,611
22384,383,299,609
22465,387,301,608
22479,384,299,605
22494,382,299,604
22575,386,300,606
22589,385,299,602
22604,382,299,600
22684,387,301,603
22699,383,299,598
22713,382,297,595
22794,386,300,600
22808,382,299,596
22823,384,297,594
22904,384,301,600
22918,383,299,595
22933,384,299,594
23013,384,302,596
23028,384,298,593
23042,382,298,592
23123,385,300,595
23137,382,298,591
23152,383,298,590
23232,385,300,592
23247,384,299,590
23262,383,298,593
23343,385,300,593
23358,384,300,591
23373,382,296,591
23454,384,301,593
23470,382,298,589
23485,384,300,588
23566,384,300,592
23580,383,299,589
23595,384,299,588
23675,385,300,592
23690,384,300,589
23704,382,298,588
23785,384,301,590
23800,382,299,590
23814,382,298,585
23895,385,299,589
23909,382,298,587
23924,381,297,585
24005,386,301,591
24019,383,298,588
24034,381,297,585
24115,384,300,588
24129,383,298,588
24144,381,298,587
24225,386,299,589
24240,383,300,588
24255,382,299,587
24335,384,301,589
24350,383,299,585
24365,381,298,586
24446,385,299,591
24461,383,299,585
24476,381,298,587
24556,383,299,589
24571,384,299,586
24585,382,298,585
24666,385,300,590
24680,382,299,585
24695,382,299,586
24775,384,301,589
24790,382,299,585
24804,382,298,584
24885,385,300,588
24899,381,298,583
24914,382,298,583
24994,382,301,589
25009,383,299,587
25024,383,300,586
25104,386,301,588
25119,382,299,586
25133,382,298,584
25214,385,301,584
25229,382,299,586
25244,381,297,586
25325,387,300,590
25339,382,298,587
25354,383,299,585
25435,385,300,589
25449,382,298,587
25463,384,298,584
25544,387,300,589
25559,384,298,586
25574,382,298,584
25654,384,300,588
25669,382,299,585
25684,383,298,583
25764,386,300,587
25779,383,299,584
25794,382,299,586
27141,386,302,589
27156,388,301,591
27170,387,302,589
27251,385,300,587
27266,383,300,586
27280,383,299,584
27361,384,300,585
27376,384,299,586
27390,382,298,584
27471,383,300,587
27486,382,300,585
27500,382,299,584
27581,385,299,585
27596,384,300,585
27610,383,298,584
27691,382,299,586
27705,383,299,584
27720,381,298,583
27800,384,299,585
27815,384,301,585
27829,384,298,581
27910,384,300,585
27925,382,299,583
27939,382,298,582
28020,383,299,582
28034,382,299,582
28049,381,298,580
28129,384,300,583
28144,382,299,581
28159,382,298,580
28239,386,299,582
28254,383,300,580
28269,383,298,576
28350,384,300,580
28365,382,299,577
28380,383,298,576
28460,384,300,579
28475,383,299,569
28490,382,298,570
28570,383,299,574
28585,384,299,574
28599,382,298,570
28680,383,300,573
28694,383,300,570
28709,381,297,568
28789,383,299,567
28804,384,299,565
28819,381,297,562
28899,385,298,561
28914,383,299,560
28929,381,299,559
29009,382,299,555
29023,382,298,553
29038,381,298,551
29119,383,299,546
29133,383,300,544
29148,381,298,539
29228,383,299,536
29243,381,298,534
29257,381,296,531
29338,382,298,517
29353,383,299,512
29367,379,297,514
29449,382,298,503
29463,379,298,499
29478,379,296,495
29558,382,299,488
29573,382,298,484
29588,380,296,479
29668,381,298,474
29683,381,298,474
29697,379,298,471
29778,381,298,465
29792,383,298,464
29807,378,296,461
29888,380,299,457
29902,380,297,455
29917,379,296,451
29997,381,298,448
30012,381,296,445
30027,378,294,439
30107,381,298,434
30122,379,296,431
30136,380,297,427
30217,381,298,418
30231,381,298,415
30246,379,297,410
30326,383,296,405
30341,380,298,404
30355,377,295,399
30436,380,299,398
30450,379,297,394
30465,380,296,392
30545,380,297,387
30560,380,296,389
30575,376,295,383
30655,381,297,386
30670,379,297,383
30685,378,296,382
30765,379,298,381
30781,380,300,381
30795,377,295,377
30876,380,297,380
30891,379,296,379
30905,377,295,377
30986,382,296,378
31000,378,297,378
31015,376,293,375
31095,380,295,375
31110,381,295,375
31125,380,297,372
31206,381,296,370
31221,381,296,371
31235,378,295,366
31316,381,297,368
31331,382,294,365
31345,382,295,363
31426,382,296,366
31440,381,295,365
31455,378,292,364
31535,382,296,366
31550,380,293,365
31565,378,291,362
31646,381,294,365
31660,381,295,366
31675,378,290,360
31756,382,294,363
31770,380,292,363
31785,378,290,363
31866,383,292,363
31880,384,291,361
31895,381,287,359
31975,382,290,362
31990,382,288,361
32005,377,286,359
32086,381,286,363
32100,381,284,360
32115,381,284,360
32196,380,282,361
32211,381,281,360
32225,379,281,360
32306,383,280,360
32320,381,280,359
32335,379,278,360
32416,380,279,361
32431,381,280,359
32445,375,276,359
32526,379,277,360
32541,377,277,359
32555,374,274,358
32636,381,277,360
32650,378,276,358
32665,377,275,356
32745,376,275,361
32760,378,274,358
32775,372,272,356
32857,376,275,361
32872,375,274,358
32886,371,272,356
32967,376,274,361
32983,373,271,358
32997,368,270,356
33078,374,274,359
33093,371,273,360
33107,367,270,357
33188,371,272,361
33202,371,273,360
33217,371,270,358
33298,375,271,358
33312,373,273,360
33327,368,269,356
33408,374,272,359
33423,369,269,360
33437,367,268,360
33518,371,271,362
33533,368,267,358
33547,365,270,360
33628,366,270,363
33643,366,270,362
33657,364,269,360
33738,367,268,360
33753,366,272,363
33769,360,267,357
33850,366,269,363
33865,365,271,366
33879,368,271,364
33960,367,271,365
33974,367,272,368
33989,370,273,371
34069,371,276,369
34084,368,273,369
34098,373,276,372
34179,373,278,371
34195,375,276,371
34210,377,276,372
34290,379,277,372
34305,376,276,371
34320,378,275,371
34400,380,274,372
34415,379,277,371
34430,379,275,372
34510,383,278,372
34525,380,277,371
34540,379,276,370
34621,382,278,370
34635,382,277,371
34650,381,276,369
34730,383,278,370
34745,381,278,367
34759,383,277,368
34840,384,278,367
34855,384,278,368
34869,384,278,367
34950,385,279,367
34965,385,279,366
34979,384,279,365
35060,385,280,365
35074,384,280,364
35089,384,279,364
35169,385,280,365
35184,385,281,364
35199,385,281,365
35279,384,281,363
35294,384,282,364
35309,384,281,363
35389,384,283,362
35405,383,281,362
35419,383,283,363
35500,385,282,363
