Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2
12471,1,Flex,>>,2916,256.35,390,303,428
12485,2,Flex,>>,1140,100.22,388,302,429
12500,3,Flex,>>,124,10.9,389,302,427
12580,1,Flex,>>,2877,256.35,388,300,427
12595,2,Flex,>>,1076,100.22,386,299,426
12609,3,Flex,>>,58,10.9,385,299,423
12690,1,Flex,>>,2838,254.15,385,299,425
12704,2,Flex,>>,1012,96.53,384,299,422
12719,3,Flex,>>,-8,7.12,383,298,422
12799,1,Flex,>>,2799,250.81,386,301,426
12814,2,Flex,>>,948,90.99,385,299,426
12828,3,Flex,>>,-74,1.58,383,299,423
12909,1,Flex,>>,2760,247.47,387,301,427
12923,2,Flex,>>,884,85.36,383,298,424
12938,3,Flex,>>,-140,-4.22,384,297,422
13018,1,Flex,>>,2721,244.04,387,301,427
13033,2,Flex,>>,820,79.74,383,299,421
13047,3,Flex,>>,-206,-9.93,384,297,423
13128,1,Flex,>>,2682,240.53,387,301,427
13143,2,Flex,>>,756,74.11,385,299,425
13158,3,Flex,>>,-272,-15.65,382,298,423
13238,1,Flex,>>,2643,237.1,387,300,426
13253,2,Flex,>>,692,68.48,383,298,427
13267,3,Flex,>>,-338,-21.27,384,298,425
13348,1,Flex,>>,2604,233.76,387,301,429
13363,2,Flex,>>,628,62.86,384,299,427
13377,3,Flex,>>,-404,-26.99,383,298,426
13458,1,Flex,>>,2565,230.33,386,300,428
13472,2,Flex,>>,564,57.32,385,299,429
13487,3,Flex,>>,-470,-32.7,382,299,427
13567,1,Flex,>>,2526,226.99,385,300,433
13582,2,Flex,>>,500,51.69,384,299,430
13596,3,Flex,>>,-536,-38.42,383,298,427
13677,1,Flex,>>,2487,223.56,386,302,435
13691,2,Flex,>>,436,45.98,383,299,434
13705,3,Flex,>>,-602,-44.22,382,299,438
13786,1,Flex,>>,2448,220.13,384,300,460
13801,2,Flex,>>,372,40.53,383,301,464
13816,3,Flex,>>,-668,-49.93,383,299,467
13896,1,Flex,>>,2409,216.7,385,300,487
13911,2,Flex,>>,308,34.9,382,298,486
13925,3,Flex,>>,-734,-55.82,381,298,486
14006,1,Flex,>>,2370,213.27,384,300,493
14020,2,Flex,>>,244,29.19,384,300,492
14035,3,Flex,>>,-800,-61.63,380,298,490
14115,1,Flex,>>,2331,209.93,384,300,497
14130,2,Flex,>>,180,23.65,383,299,494
14144,3,Flex,>>,-866,-67.25,381,297,490
14225,1,Flex,>>,2292,206.51,384,300,497
14239,2,Flex,>>,116,17.93,385,300,499
14254,3,Flex,>>,-932,-73.05,379,297,496
14334,1,Flex,>>,2253,203.08,384,300,502
14349,2,Flex,>>,52,12.4,383,300,501
14364,3,Flex,>>,-998,-78.77,381,298,500
14445,1,Flex,>>,2214,199.74,386,299,504
14460,2,Flex,>>,-12,6.77,384,299,505
14474,3,Flex,>>,-1064,-84.57,381,299,504
14555,1,Flex,>>,2175,196.31,384,300,511
14570,2,Flex,>>,-76,1.05,382,299,510
14584,3,Flex,>>,-1130,-90.2,381,297,508
14665,1,Flex,>>,2136,192.88,383,300,517
14679,2,Flex,>>,-140,-4.48,381,300,517
14694,3,Flex,>>,-1196,-96.09,381,297,512
14775,1,Flex,>>,2097,189.45,384,300,523
14789,2,Flex,>>,-204,-10.11,381,299,519
14804,3,Flex,>>,-1262,-101.89,380,297,521
14884,1,Flex,>>,2058,186.02,383,302,526
14899,2,Flex,>>,-268,-15.74,382,299,523
14914,3,Flex,>>,-1328,-107.6,380,297,522
14995,1,Flex,>>,2019,182.68,382,300,529
15009,2,Flex,>>,-332,-21.27,382,299,528
15024,3,Flex,>>,-1394,-113.23,379,298,525
15104,1,Flex,>>,1980,179.34,384,300,532
15119,2,Flex,>>,-396,-27.08,383,300,533
15133,3,Flex,>>,-1460,-119.03,379,297,532
15214,1,Flex,>>,1941,175.91,382,299,541
15229,2,Flex,>>,-460,-32.7,379,299,539
15243,3,Flex,>>,-1526,-124.75,377,296,538
15324,1,Flex,>>,1902,172.48,381,300,551
15338,2,Flex,>>,-524,-38.33,379,299,549
15353,3,Flex,>>,-1592,-130.55,378,297,548
15433,1,Flex,>>,1863,169.05,381,300,573
15448,2,Flex,>>,-588,-43.87,379,298,572
15463,3,Flex,>>,-1658,-136.35,377,297,567
15543,1,Flex,>>,1824,165.63,382,299,576
15558,2,Flex,>>,-652,-49.49,380,298,575
15572,3,Flex,>>,-1724,-142.15,378,296,570
15653,1,Flex,>>,1785,162.2,380,300,585
15667,2,Flex,>>,-716,-55.21,378,299,583
15682,3,Flex,>>,-1790,-147.87,377,299,584
15762,1,Flex,>>,1746,158.77,380,299,593
15777,2,Flex,>>,-780,-60.84,378,297,593
15791,3,Flex,>>,-1856,-153.67,376,298,590
15872,1,Flex,>>,1707,155.34,380,300,604
15887,2,Flex,>>,-844,-66.37,378,299,603
