Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2
27319,5,Extend,>>,203,17.85,398,368,603
27429,5,Extend,>>,166,17.85,396,362,601
27538,5,Extend,>>,129,15.74,394,361,600
27648,5,Extend,>>,92,12.48,393,363,602
27757,5,Extend,>>,55,9.23,395,362,601
27867,5,Extend,>>,18,6.07,396,361,599
27977,5,Extend,>>,-19,2.9,397,361,598
28086,5,Extend,>>,-56,-0.44,395,362,601
28195,5,Extend,>>,-93,-3.69,395,367,599
28305,5,Extend,>>,-130,-6.95,395,361,599
28415,5,Extend,>>,-167,-10.2,395,362,596
28525,5,Extend,>>,-204,-13.45,396,361,598
28634,5,Extend,>>,-241,-16.62,395,363,599
28744,5,Extend,>>,-278,-19.78,396,359,600
28854,5,Extend,>>,-315,-23.03,395,361,599
28963,5,Extend,>>,-352,-26.29,395,362,596
29073,5,Extend,>>,-389,-29.45,393,359,594
29183,5,Extend,>>,-426,-32.7,393,362,592
29292,5,Extend,>>,-463,-35.96,394,363,591
29402,5,Extend,>>,-500,-39.21,392,362,590
29512,5,Extend,>>,-537,-42.37,391,360,589
29621,5,Extend,>>,-574,-45.54,390,357,585
29731,5,Extend,>>,-611,-48.7,392,360,581
29841,5,Extend,>>,-648,-52.04,390,360,577
29951,5,Extend,>>,-685,-55.21,391,360,576
30061,5,Extend,>>,-722,-58.29,390,360,567
30170,5,Extend,>>,-759,-61.36,391,361,564
30280,5,Extend,>>,-796,-64.53,388,358,561
30389,5,Extend,>>,-833,-67.87,391,360,556
30499,5,Extend,>>,-870,-71.03,384,356,548
30609,5,Extend,>>,-907,-74.2,387,360,540
30718,5,Extend,>>,-944,-77.36,384,356,534
30828,5,Extend,>>,-981,-80.44,385,352,528
30937,5,Extend,>>,-1018,-83.43,381,352,517
31047,5,Extend,>>,-1055,-86.51,378,349,514
31157,5,Extend,>>,-1092,-89.76,376,346,501
31266,5,Extend,>>,-1129,-93.1,375,345,494
31376,5,Extend,>>,-1166,-96.26,368,343,489
31485,5,Extend,>>,-1203,-99.34,362,340,477
31596,5,Extend,>>,-1240,-102.42,352,335,470
31705,5,Extend,>>,-1277,-105.49,347,332,454
31815,5,Extend,>>,-1314,-108.48,338,329,451
31925,5,Extend,>>,-1351,-111.82,334,325,441
32035,5,Extend,>>,-1388,-115.16,330,324,433
32145,5,Extend,>>,-1425,-118.33,330,325,416
32255,5,Extend,>>,-1462,-121.49,328,315,406
32364,5,Extend,>>,-1499,-124.84,326,309,395
32474,5,Extend,>>,-1536,-127.91,324,306,389
32584,5,Extend,>>,-1573,-131.16,316,302,388
32694,5,Extend,>>,-1610,-134.33,317,300,380
32804,5,Extend,>>,-1647,-137.49,310,293,377
32913,5,Extend,>>,-1684,-140.75,309,288,371
33023,5,Extend,>>,-1721,-143.91,305,288,372
33133,5,Extend,>>,-1758,-147.08,309,284,369
33243,5,Extend,>>,-1795,-150.15,304,280,370
33353,5,Extend,>>,-1832,-153.49,302,276,368
33463,5,Extend,>>,-1869,-156.75,305,273,370
33573,5,Extend,>>,-1906,-160.18,303,271,368
33683,5,Extend,>>,-1943,-163.34,303,270,367
33792,5,Extend,>>,-1980,-166.51,299,267,367
33902,5,Extend,>>,-2017,-169.58,302,267,370
34012,5,Extend,<<,-2017,-172.84,308,269,372
34122,5,Extend,<<,-1980,-173.98,308,270,376
34231,5,Extend,<<,-1943,-173.98,307,271,375
34341,5,Extend,<<,-1906,-171.34,308,267,377
34451,5,Extend,<<,-1869,-168.26,311,272,376
34560,5,Extend,<<,-1832,-165.19,309,277,376
34670,5,Extend,<<,-1795,-161.93,309,274,376
34780,5,Extend,<<,-1758,-158.68,312,271,376
34890,5,Extend,<<,-1721,-155.43,311,274,374
35000,5,Extend,<<,-1684,-152.18,309,273,373
35109,5,Extend,<<,-1647,-149.01,311,273,371
35219,5,Extend,<<,-1610,-145.67,312,273,373
35330,5,Extend,<<,-1573,-142.42,313,275,371
35440,5,Extend,<<,-1536,-139.25,312,277,373
35550,5,Extend,<<,-1499,-135.91,315,277,372
35661,5,Extend,<<,-1462,-132.66,314,285,375
35771,5,Extend,<<,-1425,-129.49,315,283,373
35881,5,Extend,<<,-1388,-126.15,318,284,376
35991,5,Extend,<<,-1351,-122.99,319,289,380
36100,5,Extend,<<,-1314,-119.74,320,291,383
36210,5,Extend,<<,-1277,-116.57,319,293,386
36320,5,Extend,<<,-1240,-113.32,319,297,389
36429,5,Extend,<<,-1203,-110.07,321,301,395
36539,5,Extend,<<,-1166,-106.81,321,300,397
36650,5,Extend,<<,-1129,-103.56,322,303,398
36759,5,Extend,<<,-1092,-100.4,321,303,405
36869,5,Extend,<<,-1055,-97.05,323,307,417
36978,5,Extend,<<,-1018,-93.8,323,311,427
37088,5,Extend,<<,-981,-90.64,324,310,435
37198,5,Extend,<<,-944,-87.3,323,312,443
37307,5,Extend,<<,-907,-84.04,324,312,451
37417,5,Extend,<<,-870,-80.88,324,309,460
37527,5,Extend,<<,-833,-77.54,325,314,469
37637,5,Extend,<<,-796,-74.2,325,314,476
37747,5,Extend,<<,-759,-70.95,325,316,484
37857,5,Extend,<<,-722,-67.78,327,316,489
37966,5,Extend,<<,-685,-64.44,327,318,494
38076,5,Extend,<<,-648,-61.19,326,318,494
38185,5,Extend,<<,-611,-58.02,328,319,495
38295,5,Extend,<<,-574,-54.77,332,318,491
38405,5,Extend,<<,-537,-51.52,336,320,496
38514,5,Extend,<<,-500,-48.18,337,321,495
38625,5,Extend,<<,-463,-44.84,341,322,500
38734,5,Extend,<<,-426,-41.67,358,324,503
38844,5,Extend,<<,-389,-38.51,362,323,505
38953,5,Extend,<<,-352,-35.25,363,326,502
39062,5,Extend,<<,-315,-31.91,370,327,508
39172,5,Extend,<<,-278,-28.66,370,324,506
39282,5,Extend,<<,-241,-25.41,371,326,513
39392,5,Extend,<<,-204,-22.07,371,327,521
39501,5,Extend,<<,-167,-18.9,366,329,521
39611,5,Extend,<<,-130,-15.74,365,327,525
39721,5,Extend,<<,-93,-12.48,364,329,527
39830,5,Extend,<<,-56,-9.23,363,332,526
39940,5,Extend,<<,-19,-5.89,365,329,525
40049,5,Extend,<<,18,-2.73,366,328,525
40159,5,Extend,<<,55,0.62,364,330,523
40268,5,Extend,<<,92,3.87,363,327,526
40378,5,Extend,<<,129,7.03,365,329,521
40488,5,Extend,<<,166,10.29,363,326,523
40597,5,Extend,<<,203,13.63,375,328,523
57626,5,Extend,>>,203,17.85,398,383,597
57735,5,Extend,>>,166,17.85,398,385,592
57845,5,Extend,>>,129,15.74,395,378,591
57954,5,Extend,>>,92,12.57,395,382,593
58064,5,Extend,>>,55,9.23,396,380,591
58173,5,Extend,>>,18,6.15,396,383,592
58282,5,Extend,>>,-19,2.99,394,379,590
58392,5,Extend,>>,-56,-0.44,397,380,593
58501,5,Extend,>>,-93,-3.6,393,380,591
58611,5,Extend,>>,-130,-6.95,395,382,591
58721,5,Extend,>>,-167,-10.2,394,379,592
58831,5,Extend,>>,-204,-13.45,394,379,589
58941,5,Extend,>>,-241,-16.62,394,377,589
59050,5,Extend,>>,-278,-19.78,392,378,591
59160,5,Extend,>>,-315,-23.03,392,378,589
59270,5,Extend,>>,-352,-26.29,392,378,587
59380,5,Extend,>>,-389,-29.45,394,382,588
59489,5,Extend,>>,-426,-32.7,395,380,585
59599,5,Extend,>>,-463,-35.87,391,381,584
59708,5,Extend,>>,-500,-39.21,393,375,581
