Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2
15982,1,Flex,>>,2916,256.35,373,325,544
15997,2,Flex,>>,1151,101.19,373,323,542
16011,3,Flex,>>,124,10.9,372,324,543
16092,1,Flex,>>,2881,256.35,374,321,541
16106,2,Flex,>>,1091,101.19,370,321,537
16121,3,Flex,>>,61,10.9,368,319,535
16201,1,Flex,>>,2846,254.51,372,322,538
16216,2,Flex,>>,1031,97.85,368,316,536
16230,3,Flex,>>,-2,7.47,369,320,532
16310,1,Flex,>>,2811,251.78,369,322,537
16325,2,Flex,>>,971,92.66,369,321,535
16339,3,Flex,>>,-65,2.37,367,319,532
16420,1,Flex,>>,2776,248.7,369,321,537
16434,2,Flex,>>,911,87.65,369,318,535
16449,3,Flex,>>,-128,-3.16,367,318,532
16529,1,Flex,>>,2741,245.98,370,320,536
16544,2,Flex,>>,851,82.29,369,321,535
16558,3,Flex,>>,-191,-8.53,368,320,535
16639,1,Flex,>>,2706,242.9,371,321,540
16654,2,Flex,>>,791,77.1,367,317,532
16668,3,Flex,>>,-254,-14.15,365,321,530
16749,1,Flex,>>,2671,239.91,372,321,538
16763,2,Flex,>>,731,71.91,370,322,534
16777,3,Flex,>>,-317,-19.69,368,323,535
16858,1,Flex,>>,2636,236.84,370,319,537
16873,2,Flex,>>,671,66.73,369,319,535
16887,3,Flex,>>,-380,-25.23,368,320,535
16968,1,Flex,>>,2601,233.93,374,326,539
16982,2,Flex,>>,611,61.63,370,319,538
16997,3,Flex,>>,-443,-30.68,368,321,536
17077,1,Flex,>>,2566,230.77,370,322,541
17092,2,Flex,>>,551,56.53,371,321,536
17106,3,Flex,>>,-506,-36.22,369,318,535
17187,1,Flex,>>,2531,227.78,375,323,539
17201,2,Flex,>>,491,51.34,369,320,537
17216,3,Flex,>>,-569,-41.67,368,321,535
17296,1,Flex,>>,2496,224.88,374,323,541
17311,2,Flex,>>,431,46.07,374,319,535
17325,3,Flex,>>,-632,-47.12,369,320,536
17406,1,Flex,>>,2461,221.89,374,319,541
17420,2,Flex,>>,371,41.05,371,321,542
17435,3,Flex,>>,-695,-52.57,368,318,539
17516,1,Flex,>>,2426,218.9,374,312,545
17530,2,Flex,>>,311,35.87,370,318,541
17545,3,Flex,>>,-758,-58.11,371,321,540
17625,1,Flex,>>,2391,215.74,375,323,551
17640,2,Flex,>>,251,30.59,374,323,547
17655,3,Flex,>>,-821,-63.56,373,320,537
17735,1,Flex,>>,2356,212.75,375,325,555
17750,2,Flex,>>,191,25.41,375,326,550
17764,3,Flex,>>,-884,-69.01,369,322,546
17845,1,Flex,>>,2321,209.58,382,327,555
17859,2,Flex,>>,131,20.04,380,324,553
17874,3,Flex,>>,-947,-74.55,375,323,550
17954,1,Flex,>>,2286,206.59,384,331,560
17969,2,Flex,>>,71,14.95,380,328,561
17983,3,Flex,>>,-1010,-80.18,381,329,559
18064,1,Flex,>>,2251,203.52,394,336,568
18078,2,Flex,>>,11,9.67,394,334,565
18093,3,Flex,>>,-1073,-85.63,390,331,569
18173,1,Flex,>>,2216,200.62,392,336,576
18188,2,Flex,>>,-49,4.31,392,336,571
18202,3,Flex,>>,-1136,-91.16,389,336,573
18283,1,Flex,>>,2181,197.63,397,342,584
18298,2,Flex,>>,-109,-0.88,395,343,583
18312,3,Flex,>>,-1199,-96.7,393,339,578
18393,1,Flex,>>,2146,194.55,399,346,591
18408,2,Flex,>>,-169,-6.07,398,347,586
18422,3,Flex,>>,-1262,-102.33,396,344,588
18503,1,Flex,>>,2111,191.47,403,348,600
18517,2,Flex,>>,-229,-11.43,402,346,589
18532,3,Flex,>>,-1325,-107.78,399,342,584
18612,1,Flex,>>,2076,188.31,408,349,597
18627,2,Flex,>>,-289,-16.62,407,346,603
18641,3,Flex,>>,-1388,-113.14,409,348,597
18722,1,Flex,>>,2041,185.23,424,356,607
18737,2,Flex,>>,-349,-21.71,423,351,603
18751,3,Flex,>>,-1451,-118.77,422,355,599
18832,1,Flex,>>,2006,182.07,440,364,614
18846,2,Flex,>>,-409,-27.08,437,362,613
18861,3,Flex,>>,-1514,-124.31,436,372,617
18941,1,Flex,>>,1971,179.08,442,380,632
18956,2,Flex,>>,-469,-32.53,439,379,631
18970,3,Flex,>>,-1577,-129.85,436,378,630
19051,1,Flex,>>,1936,176.0,447,395,648
19065,2,Flex,>>,-529,-37.8,447,394,641
19080,3,Flex,>>,-1640,-135.3,448,394,648
19161,1,Flex,>>,1901,172.92,456,405,654
19175,2,Flex,>>,-589,-43.08,451,406,652
19190,3,Flex,>>,-1703,-140.84,450,402,645
19270,1,Flex,>>,1866,169.85,458,407,658
19285,2,Flex,>>,-649,-48.79,458,412,655
19299,3,Flex,>>,-1766,-146.37,455,412,655
19380,1,Flex,>>,1831,166.86,463,417,661
19394,2,Flex,>>,-709,-54.24,464,418,665
19409,3,Flex,>>,-1829,-151.74,463,419,660
19489,1,Flex,>>,1796,163.6,473,429,671
19504,2,Flex,>>,-769,-59.6,474,430,670
19518,3,Flex,>>,-1892,-157.19,469,428,666
19599,1,Flex,>>,1761,160.62,478,439,679
19613,2,Flex,>>,-829,-64.79,478,436,675
19628,3,Flex,>>,-1955,-162.73,476,435,674
19708,1,Flex,>>,1726,157.63,487,445,684
19723,2,Flex,>>,-889,-69.98,488,443,684
19737,3,Flex,>>,-2018,-168.18,482,442,680
19818,1,Flex,>>,1691,154.73,492,453,692
19832,2,Flex,>>,-949,-75.08,490,451,692
19847,3,Flex,>>,-2081,-173.63,491,444,687
19928,1,Flex,>>,1656,151.65,499,454,700
19942,2,Flex,>>,-1009,-80.35,493,452,691
19957,3,Flex,>>,-2144,-179.08,491,449,691
20037,1,Flex,>>,1621,148.57,498,456,701
20052,2,Flex,>>,-1069,-85.54,496,453,698
20067,3,Flex,>>,-2207,-184.62,492,450,693
20148,1,Flex,>>,1586,145.58,502,455,705
20162,2,Flex,>>,-1129,-90.81,499,456,703
20177,3,Flex,>>,-2270,-189.89,499,454,701
20257,1,Flex,>>,1551,142.68,506,467,716
20272,2,Flex,>>,-1189,-96.09,506,469,703
20286,3,Flex,>>,-2333,-195.34,501,458,707
20367,1,Flex,>>,1516,139.69,509,469,721
20382,2,Flex,>>,-1249,-101.36,509,465,713
20396,3,Flex,>>,-2396,-200.79,503,460,712
20477,1,Flex,>>,1481,136.79,516,472,724
20491,2,Flex,>>,-1309,-106.55,512,468,718
20506,3,Flex,>>,-2459,-206.33,512,463,710
20587,1,Flex,>>,1446,134.07,515,468,722
20601,2,Flex,>>,-1369,-111.65,511,466,719
20616,3,Flex,>>,-2522,-212.31,509,464,718
20696,1,Flex,>>,1411,131.08,518,471,727
20711,2,Flex,>>,-1429,-116.66,517,468,721
20725,3,Flex,>>,-2585,-217.85,519,474,725
20806,1,Flex,>>,1376,128.09,528,475,728
20821,2,Flex,>>,-1489,-121.76,526,477,728
20835,3,Flex,>>,-2648,-223.12,522,475,724
20916,1,Flex,>>,1341,125.1,531,481,735
20930,2,Flex,>>,-1549,-126.86,526,473,732
20945,3,Flex,>>,-2711,-228.4,523,472,728
21025,1,Flex,>>,1306,122.29,530,478,738
21040,2,Flex,>>,-1609,-131.87,525,476,738
21054,3,Flex,>>,-2774,-233.85,524,469,729
21135,1,Flex,>>,1271,119.47,529,479,736
21149,2,Flex,>>,-1669,-137.14,527,475,733
21164,3,Flex,>>,-2837,-239.21,520,474,724
21244,1,Flex,>>,1236,116.57,534,483,745
21259,2,Flex,>>,-1729,-142.07,532,481,735
21273,3,Flex,>>,-2900,-244.66,528,477,731
21354,1,Flex,>>,1201,114.02,532,474,736
21368,2,Flex,>>,-1789,-146.99,527,475,733
