Time(ms),SensorA0,SensorA1,SensorA2
18764,406,336,556
18778,407,337,555
18793,406,337,554
18874,406,335,553
18888,404,334,551
18903,402,334,548
18983,402,335,550
18998,403,334,552
19012,402,330,547
19093,403,335,551
19108,402,332,550
19122,401,328,545
19203,405,334,550
19217,404,331,550
19232,402,331,548
19313,407,332,552
19328,401,331,549
19342,401,331,547
19423,408,336,551
19437,405,333,549
19453,403,332,548
19534,406,333,550
19548,405,329,547
19563,405,330,545
19643,407,334,551
19658,407,334,549
19673,403,331,546
19753,409,334,552
19768,404,331,550
19782,407,332,546
19863,410,333,551
19877,410,331,550
19892,407,329,540
19972,413,334,552
19987,410,331,549
20001,410,330,543
20082,415,333,552
20097,415,335,549
20112,412,330,545
20192,417,335,553
20207,412,333,550
20222,413,331,546
20302,419,338,555
20317,418,340,553
20332,415,340,552
20413,421,343,561
20427,419,340,559
20442,414,336,553
20522,421,343,563
20538,420,342,563
20552,420,340,559
20633,425,342,564
20648,419,342,563
20662,421,343,563
20743,426,343,561
20757,424,342,562
20772,422,340,564
20852,429,349,572
20867,426,348,571
20882,426,344,568
20962,433,355,577
20977,430,352,575
20991,426,351,569
21072,433,360,579
21087,432,362,576
21102,430,361,575
21182,440,374,589
21197,438,372,584
21211,439,372,582
21292,446,380,593
21307,446,379,589
21321,442,379,591
21403,450,396,604
21417,449,393,599
21432,446,394,600
21512,451,404,612
21527,449,404,606
21542,446,403,607
21623,459,415,620
21637,453,411,617
21652,453,410,612
21732,470,415,624
21747,474,412,617
21762,480,415,618
21843,498,418,630
21857,501,418,627
21872,501,415,627
21953,508,431,642
21967,505,428,641
21982,499,426,637
22062,501,437,650
22077,500,437,650
22092,495,436,648
22172,498,444,660
22187,500,446,658
22201,492,442,655
22282,503,458,672
22297,502,456,666
22311,497,454,670
22392,505,467,680
22406,500,468,684
22421,500,466,679
22502,506,475,691
22516,502,472,691
22531,500,470,684
22611,507,478,693
22626,505,474,688
22641,499,470,686
22721,513,485,693
22736,513,482,685
22751,506,479,682
22831,515,497,693
22846,518,497,686
22860,511,495,687
22941,518,508,690
22956,515,503,685
22971,509,502,682
23051,517,508,689
23066,514,503,685
23080,512,503,682
23161,532,519,699
23176,530,521,699
23190,526,513,695
23271,539,521,698
23285,540,524,703
23300,535,518,701
23380,547,530,713
23395,546,529,709
23409,545,524,704
23491,556,536,718
23505,551,532,714
23520,549,531,714
23601,561,540,720
23615,555,537,717
23630,554,534,714
23711,569,544,725
23725,565,544,720
23740,564,538,711
23820,567,544,723
23835,565,543,721
23849,559,539,714
23930,576,554,730
23944,570,548,727
23959,568,546,722
24039,582,556,733
24055,576,552,730
24070,572,556,722
24150,583,562,736
24165,580,561,734
24179,575,558,731
24260,585,567,743
24274,585,560,737
24289,579,558,735
24369,587,568,747
24384,584,565,740
24398,573,558,736
24479,584,570,749
24493,582,563,742
24508,582,560,738
24589,591,572,748
24603,586,566,743
24618,576,559,737
24698,587,573,752
24713,582,567,747
24728,580,565,741
24809,587,568,753
24823,584,567,746
24838,580,565,743
24918,584,571,751
24933,582,568,752
24947,580,561,738
25028,589,573,755
25043,581,567,747
25057,579,568,743
25138,593,579,754
25152,587,574,745
25167,581,565,746
25247,593,577,756
25262,582,566,743
25277,580,565,743
25358,589,575,749
25373,584,573,748
25387,579,564,738
25468,593,582,757
25483,596,584,755
25497,593,582,757
25578,599,586,767
25593,606,592,777
25608,610,598,780
25689,613,599,783
25703,614,599,784
25718,611,597,780
25799,611,596,779
25814,605,595,778
25828,604,592,773
25909,605,594,777
25924,602,591,774
25938,599,589,769
26019,602,593,769
26033,597,586,769
26048,599,587,766
26128,596,586,769
26143,594,583,763
26158,593,581,761
26238,593,580,762
26252,590,578,759
26267,589,578,756
26348,589,577,758
26363,585,574,756
26377,583,571,753
26458,586,570,754
26472,582,566,753
26487,582,566,749
26567,582,567,753
26582,582,565,748
26596,573,558,745
26677,578,557,747
26691,575,552,741
26706,570,552,741
26787,571,548,739
26802,568,548,739
26816,566,540,731
26897,568,543,738
26911,566,539,737
26926,560,538,733
27006,564,535,734
27021,557,533,731
27036,557,531,728
27116,557,533,733
27131,556,529,729
27146,554,527,726
27226,554,529,729
27241,548,527,726
27255,546,523,723
27336,542,524,728
27350,542,520,726
27365,538,517,718
27445,540,519,722
27460,534,515,720
27474,532,512,716
27555,531,511,714
27569,527,507,711
27584,524,507,711
27665,524,507,711
27679,521,502,708
27694,518,501,702
27774,516,499,706
27789,517,494,701
27803,514,492,698
27884,514,487,696
27898,508,485,691
27913,506,478,687
27994,506,481,685
28008,505,477,681
28023,499,475,679
28103,498,472,676
28118,498,467,672
28132,494,465,669
28213,494,466,670
28228,492,465,667
28242,492,461,664
28323,490,462,664
28337,489,457,662
28352,488,457,658
28432,488,457,661
28447,485,455,659
28462,481,450,657
28542,485,456,658
28557,483,452,654
28572,480,449,651
28653,485,450,655
28667,481,448,652
28682,482,446,649
28762,480,448,652
28777,478,445,648
28791,478,443,646
28872,480,446,648
