Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2
12487,2,Flex,>>,1142,100.4,413,335,550
12596,2,Flex,>>,1078,100.4,408,337,543
12706,2,Flex,>>,1014,96.7,407,336,544
12817,2,Flex,>>,950,91.34,406,336,542
12926,2,Flex,>>,886,85.8,406,336,544
13036,2,Flex,>>,822,80.18,408,335,543
13145,2,Flex,>>,758,74.73,407,338,544
13256,2,Flex,>>,694,69.1,411,339,545
13365,2,Flex,>>,630,63.74,408,334,543
13475,2,Flex,>>,566,58.2,411,335,542
13585,2,Flex,>>,502,52.66,412,336,541
13695,2,Flex,>>,438,46.95,415,335,539
13806,2,Flex,>>,374,41.49,414,335,543
13916,2,Flex,>>,310,35.87,415,335,542
14025,2,Flex,>>,246,30.24,415,336,543
14135,2,Flex,>>,182,24.62,420,334,542
14245,2,Flex,>>,118,18.99,421,334,542
14355,2,Flex,>>,54,13.54,424,333,542
14465,2,Flex,>>,-10,8.0,454,335,543
14574,2,Flex,>>,-74,2.37,457,337,541
14685,2,Flex,>>,-138,-3.08,455,336,545
14795,2,Flex,>>,-202,-8.62,453,340,550
14904,2,Flex,>>,-266,-14.15,451,338,549
15015,2,Flex,>>,-330,-19.6,450,342,548
15125,2,Flex,>>,-394,-25.32,469,343,554
15235,2,Flex,>>,-458,-30.68,498,346,552
15345,2,Flex,>>,-522,-36.22,503,351,559
15455,2,Flex,>>,-586,-41.67,497,357,567
15565,2,Flex,>>,-650,-47.21,494,362,575
15675,2,Flex,>>,-714,-52.66,508,369,587
15785,2,Flex,>>,-778,-58.29,549,376,597
15894,2,Flex,>>,-842,-63.82,565,383,604
16004,2,Flex,>>,-906,-69.27,571,386,609
16114,2,Flex,>>,-970,-74.81,574,393,617
16224,2,Flex,>>,-1034,-80.44,572,398,621
16334,2,Flex,>>,-1098,-85.8,580,407,637
16444,2,Flex,>>,-1162,-91.43,579,416,644
16555,2,Flex,>>,-1226,-97.23,580,425,658
16665,2,Flex,>>,-1290,-103.12,578,443,673
16774,2,Flex,>>,-1354,-108.92,577,453,686
16884,2,Flex,>>,-1418,-114.37,578,454,686
16994,2,Flex,>>,-1482,-120.09,578,462,696
17104,2,Flex,>>,-1546,-125.63,580,468,696
17214,2,Flex,>>,-1610,-131.34,580,475,707
17324,2,Flex,>>,-1674,-137.05,584,481,705
17434,2,Flex,>>,-1738,-142.59,584,488,715
17544,2,Flex,>>,-1802,-148.13,582,488,718
17655,2,Flex,>>,-1866,-153.67,581,487,709
17765,2,Flex,>>,-1930,-159.12,581,508,720
17875,2,Flex,>>,-1994,-164.75,576,507,715
17985,2,Flex,>>,-2058,-170.02,575,510,718
18096,2,Flex,>>,-2122,-175.21,578,515,726
18205,2,Flex,>>,-2186,-180.66,578,514,723
18315,2,Flex,>>,-2250,-186.02,577,515,725
18426,2,Flex,>>,-2314,-191.47,579,516,727
18537,2,Flex,>>,-2378,-196.84,592,522,736
18648,2,Flex,>>,-2442,-202.2,596,525,737
18758,2,Flex,>>,-2506,-207.65,600,528,737
18868,2,Flex,>>,-2570,-212.75,598,530,735
18979,2,Flex,>>,-2634,-217.93,598,532,732
19089,2,Flex,>>,-2698,-222.86,598,535,736
19199,2,Flex,<<,-2698,-227.6,609,542,745
19309,2,Flex,<<,-2634,-228.66,619,555,764
19420,2,Flex,<<,-2570,-228.75,626,562,774
19530,2,Flex,<<,-2506,-225.58,623,558,767
19639,2,Flex,<<,-2442,-221.01,620,554,766
19750,2,Flex,<<,-2378,-215.82,620,551,761
19860,2,Flex,<<,-2314,-210.55,615,549,758
19970,2,Flex,<<,-2250,-205.1,608,543,752
20080,2,Flex,<<,-2186,-199.47,603,538,748
20190,2,Flex,<<,-2122,-193.85,599,534,744
20300,2,Flex,<<,-2058,-188.31,595,526,741
20410,2,Flex,<<,-1994,-182.59,588,519,736
20520,2,Flex,<<,-1930,-177.05,580,511,732
20630,2,Flex,<<,-1866,-171.52,574,505,726
20740,2,Flex,<<,-1802,-165.71,569,500,726
20850,2,Flex,<<,-1738,-160.18,563,495,722
20960,2,Flex,<<,-1674,-154.55,561,497,720
21069,2,Flex,<<,-1610,-148.92,557,490,716
21179,2,Flex,<<,-1546,-143.3,553,489,715
21290,2,Flex,<<,-1482,-137.67,543,480,712
21399,2,Flex,<<,-1418,-132.13,540,478,702
21510,2,Flex,<<,-1354,-126.59,535,468,695
21620,2,Flex,<<,-1290,-120.97,528,463,688
21731,2,Flex,<<,-1226,-115.16,515,455,677
21841,2,Flex,<<,-1162,-109.63,504,449,671
21951,2,Flex,<<,-1098,-104.0,498,447,661
22061,2,Flex,<<,-1034,-98.37,493,441,657
22171,2,Flex,<<,-970,-92.75,488,437,654
22281,2,Flex,<<,-906,-87.21,483,435,650
22391,2,Flex,<<,-842,-81.58,478,433,647
22501,2,Flex,<<,-778,-75.78,479,433,647
22610,2,Flex,<<,-714,-70.33,476,430,641
22720,2,Flex,<<,-650,-64.62,473,428,640
22830,2,Flex,<<,-586,-58.99,474,426,639
22940,2,Flex,<<,-522,-53.36,473,427,639
23050,2,Flex,<<,-458,-47.74,471,427,641
23161,2,Flex,<<,-394,-42.2,470,429,641
23271,2,Flex,<<,-330,-36.66,469,427,639
23381,2,Flex,<<,-266,-30.86,466,426,636
23491,2,Flex,<<,-202,-25.32,466,426,637
23600,2,Flex,<<,-138,-19.6,464,424,634
23711,2,Flex,<<,-74,-14.07,463,422,634
