Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2
12471,1,Flex,>>,2916,256.35,413,341,549
12487,2,Flex,>>,1142,100.4,413,335,550
12501,3,Flex,>>,124,10.9,412,340,550
12582,1,Flex,>>,2877,256.35,409,339,545
12596,2,Flex,>>,1078,100.4,408,337,543
12611,3,Flex,>>,58,10.9,407,337,544
12692,1,Flex,>>,2838,254.33,410,338,546
12706,2,Flex,>>,1014,96.7,407,336,544
12721,3,Flex,>>,-8,7.12,406,336,544
12802,1,Flex,>>,2799,251.16,410,339,546
12817,2,Flex,>>,950,91.34,406,336,542
12831,3,Flex,>>,-74,1.49,407,335,543
12912,1,Flex,>>,2760,247.82,409,339,546
12926,2,Flex,>>,886,85.8,406,336,544
12941,3,Flex,>>,-140,-4.22,405,334,542
13021,1,Flex,>>,2721,244.66,410,338,544
13036,2,Flex,>>,822,80.18,408,335,543
13050,3,Flex,>>,-206,-10.02,407,337,542
13131,1,Flex,>>,2682,241.32,408,337,544
13145,2,Flex,>>,758,74.73,407,338,544
13160,3,Flex,>>,-272,-15.74,406,336,540
13241,1,Flex,>>,2643,237.89,411,333,546
13256,2,Flex,>>,694,69.1,411,339,545
13270,3,Flex,>>,-338,-21.71,409,338,543
13351,1,Flex,>>,2604,234.55,410,332,544
13365,2,Flex,>>,630,63.74,408,334,543
13380,3,Flex,>>,-404,-27.34,409,334,538
13460,1,Flex,>>,2565,231.21,413,336,545
13475,2,Flex,>>,566,58.2,411,335,542
13490,3,Flex,>>,-470,-33.05,410,333,538
13570,1,Flex,>>,2526,227.96,416,338,545
13585,2,Flex,>>,502,52.66,412,336,541
13599,3,Flex,>>,-536,-38.86,412,335,538
13680,1,Flex,>>,2487,224.7,414,337,544
13695,2,Flex,>>,438,46.95,415,335,539
13710,3,Flex,>>,-602,-44.48,411,334,542
13791,1,Flex,>>,2448,221.45,413,337,544
13806,2,Flex,>>,374,41.49,414,335,543
13820,3,Flex,>>,-668,-50.2,412,334,540
13901,1,Flex,>>,2409,218.02,415,337,544
13916,2,Flex,>>,310,35.87,415,335,542
13930,3,Flex,>>,-734,-55.74,413,334,542
14011,1,Flex,>>,2370,214.68,419,339,546
14025,2,Flex,>>,246,30.24,415,336,543
14040,3,Flex,>>,-800,-61.54,417,333,540
14121,1,Flex,>>,2331,211.34,419,337,544
14135,2,Flex,>>,182,24.62,420,334,542
14150,3,Flex,>>,-866,-67.25,419,336,540
14230,1,Flex,>>,2292,207.82,425,338,544
14245,2,Flex,>>,118,18.99,421,334,542
14259,3,Flex,>>,-932,-73.14,420,333,540
14340,1,Flex,>>,2253,204.57,425,340,543
14355,2,Flex,>>,54,13.54,424,333,542
14369,3,Flex,>>,-998,-78.95,421,335,539
14450,1,Flex,>>,2214,201.14,453,335,543
14465,2,Flex,>>,-10,8.0,454,335,543
14479,3,Flex,>>,-1064,-84.57,456,335,543
14560,1,Flex,>>,2175,197.63,459,340,547
14574,2,Flex,>>,-74,2.37,457,337,541
14589,3,Flex,>>,-1130,-90.29,453,336,543
14669,1,Flex,>>,2136,194.29,456,339,548
14685,2,Flex,>>,-138,-3.08,455,336,545
14700,3,Flex,>>,-1196,-96.18,453,335,541
14780,1,Flex,>>,2097,190.86,454,340,551
14795,2,Flex,>>,-202,-8.62,453,340,550
14809,3,Flex,>>,-1262,-101.89,449,336,547
14890,1,Flex,>>,2058,187.52,452,341,554
14904,2,Flex,>>,-266,-14.15,451,338,549
14919,3,Flex,>>,-1328,-107.69,449,341,550
15000,1,Flex,>>,2019,184.09,454,344,554
15015,2,Flex,>>,-330,-19.6,450,342,548
15030,3,Flex,>>,-1394,-113.32,452,344,551
15111,1,Flex,>>,1980,180.75,468,345,556
15125,2,Flex,>>,-394,-25.32,469,343,554
15140,3,Flex,>>,-1460,-119.12,474,343,548
15221,1,Flex,>>,1941,177.23,497,347,555
15235,2,Flex,>>,-458,-30.68,498,346,552
15250,3,Flex,>>,-1526,-124.84,494,345,551
15330,1,Flex,>>,1902,173.63,501,351,562
15345,2,Flex,>>,-522,-36.22,503,351,559
15360,3,Flex,>>,-1592,-130.64,499,350,559
15440,1,Flex,>>,1863,170.2,501,358,572
