Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABC_smooth,∠BCD_smooth,θ_total,angle_smooth,dmotor,L_cm,cycle,L_rel_cm
32733,5,Extend,>>,117,15.47,443,400,548,42.71912627944606,24.897495413099406,67.61662169254546,17.169999999999998,-0.8500000000000014,0.29967303256742633,0,0.0
32842,5,Extend,>>,73,11.69,444,398,548,41.23697430327348,24.34387627677782,65.5808505800513,15.8,-1.3699999999999974,0.27576202181510406,0,-0.02391101075232227
32952,5,Extend,>>,29,7.91,446,401,548,40.54159472133964,23.842330414056,64.38392513539564,14.222,-1.5780000000000012,0.24822072621863353,0,-0.0514523063487928
33062,5,Extend,>>,-15,4.22,444,401,548,39.60083690760586,23.244586430258398,62.84542333786426,11.462,-2.76,0.20004963886359003,0,-0.0996233937038363
33171,5,Extend,>>,-59,0.26,443,400,548,38.06300654314788,22.592724203633654,60.65573074678153,7.909999999999999,-3.5520000000000005,0.13805554383275145,0,-0.16161748873467488
33280,5,Extend,>>,-103,-3.52,442,399,547,36.62678224037567,21.527762683343003,58.154544923718674,4.112,-3.797999999999999,0.07176793884200683,0,-0.2279050937254195
33390,5,Extend,>>,-147,-7.47,444,399,545,36.12993182709306,20.88587464366216,57.01580647075522,0.2800000000000001,-3.832,0.004886921905584124,0,-0.29478611066184224
33499,5,Extend,>>,-191,-11.34,443,401,544,35.199174569497735,20.11142938679599,55.310603956293726,-3.5700000000000003,-3.8500000000000005,-0.06230825429619757,0,-0.3619812868636239
33609,5,Extend,>>,-235,-15.21,445,400,543,34.001099377079505,19.14450462868216,53.14560400576167,-7.456,-3.886,-0.13013174902869723,0,-0.42980478159612356
33718,5,Extend,>>,-279,-18.9,442,399,543,33.39191501382263,18.542844008457084,51.93475902227972,-11.288,-3.832,-0.19701276596511993,0,-0.49668579853254624
33828,5,Extend,>>,-323,-22.77,441,399,541,33.0158559350251,17.709580651348688,50.72543658637379,-15.138,-3.8499999999999996,-0.26420794216690163,0,-0.563880974734328
33937,5,Extend,>>,-367,-26.64,441,397,537,32.27020699145621,17.263622001989127,49.53382899344534,-18.972,-3.8340000000000014,-0.3311238656883642,0,-0.6307968982557906
34047,5,Extend,>>,-411,-30.42,442,399,535,31.16956178572033,16.484199709534106,47.653761495254436,-22.788,-3.815999999999999,-0.3977256299444678,0,-0.6973986625118942
34156,5,Extend,>>,-455,-34.29,439,398,534,30.32530437939501,15.619226765033371,45.94453114442838,-26.604000000000003,-3.8160000000000025,-0.4643273942005715,0,-0.7640004267679978
34266,5,Extend,>>,-499,-38.15,438,396,531,28.928947956452227,14.76482666043672,43.693774616888945,-30.454,-3.849999999999998,-0.5315225704023532,0,-0.8311956029697796
34375,5,Extend,>>,-543,-42.02,439,396,528,27.4960546000632,13.43068161460194,40.92673621466514,-34.303999999999995,-3.8499999999999943,-0.5987177466041347,0,-0.8983907791715611
34485,5,Extend,>>,-587,-45.89,437,396,525,25.59458080990001,12.206259619783657,37.80084042968367,-38.154,-3.8500000000000085,-0.6659129228059165,0,-0.9655859553733428
