Time(ms),MotorID,angle_smooth,dmotor,cycle,L_cm,L_rel_cm,SensorA1
32733,5,17.169999999999998,-0.8500000000000014,0,0.29967303256742633,0.0,400
32842,5,15.8,-1.3699999999999974,0,0.27576202181510406,-0.02391101075232227,398
32952,5,14.222,-1.5780000000000012,0,0.24822072621863353,-0.0514523063487928,401
33062,5,11.462,-2.76,0,0.20004963886359003,-0.0996233937038363,401
33171,5,7.909999999999999,-3.5520000000000005,0,0.13805554383275145,-0.16161748873467488,400
33280,5,4.112,-3.797999999999999,0,0.07176793884200683,-0.2279050937254195,399
33390,5,0.2800000000000001,-3.832,0,0.004886921905584124,-0.29478611066184224,399
33499,5,-3.5700000000000003,-3.8500000000000005,0,-0.06230825429619757,-0.3619812868636239,401
33609,5,-7.456,-3.886,0,-0.13013174902869723,-0.42980478159612356,400
33718,5,-11.288,-3.832,0,-0.19701276596511993,-0.49668579853254624,399
33828,5,-15.138,-3.8499999999999996,0,-0.26420794216690163,-0.563880974734328,399
33937,5,-18.972,-3.8340000000000014,0,-0.3311238656883642,-0.6307968982557906,397
34047,5,-22.788,-3.815999999999999,0,-0.3977256299444678,-0.6973986625118942,399
34156,5,-26.604000000000003,-3.8160000000000025,0,-0.4643273942005715,-0.7640004267679978,398
34266,5,-30.454,-3.849999999999998,0,-0.5315225704023532,-0.8311956029697796,396
34375,5,-34.303999999999995,-3.8499999999999943,0,-0.5987177466041347,-0.8983907791715611,396
34485,5,-38.154,-3.8500000000000085,0,-0.6659129228059165,-0.9655859553733428,396
34595,5,-42.022,-3.867999999999995,0,-0.7334222582730572,-1.0330952908404836,394
34704,5,-45.89,-3.868000000000002,0,-0.8009315937401978,-1.1006046263076241,394
34814,5,-49.706,-3.8160000000000025,0,-0.8675333579963015,-1.1672063905637278,394
34923,5,-53.504,-3.7979999999999947,0,-0.9338209629870461,-1.2334939955544724,390
35032,5,-57.284000000000006,-3.7800000000000082,0,-0.9997944087124319,-1.2994674412798581,388
35142,5,-61.08200000000001,-3.798000000000002,0,-1.0660820137031766,-1.365755046270603,386
35252,5,-64.84400000000001,-3.7620000000000005,0,-1.1317413001632033,-1.4314143327306297,384
35361,5,-68.642,-3.7979999999999876,0,-1.1980289051539477,-1.497701937721374,379
35471,5,-72.458,-3.8160000000000025,0,-1.2646306694100513,-1.5643037019774777,377
35581,5,-76.256,-3.798000000000002,0,-1.330918274400796,-1.6305913069682223,370
35690,5,-80.018,-3.7620000000000005,0,-1.3965775608608226,-1.696250593428249,365
