Time(ms),MotorID,angle_smooth,dmotor,cycle,L_cm,L_rel_cm,SensorA1
18057,2,99.87,-1.2299999999999898,0,1.743060323966737,0.0,319
18167,2,97.87,-2.0,0,1.7081537389268504,-0.03490658503988664,321
18277,2,95.562,-2.308000000000007,0,1.6678715397908213,-0.07518878417591579,319
18387,2,91.46600000000001,-4.095999999999989,0,1.5963828536291336,-0.14667747033760348,319
18497,2,86.244,-5.222000000000008,0,1.5052417600899897,-0.23781856387674738,324
18606,2,80.67,-5.573999999999998,0,1.4079571075838258,-0.3351032163829113,320
18716,2,75.06,-5.609999999999999,0,1.3100441365469437,-0.4330161874197933,319
18825,2,69.46799999999999,-5.592000000000013,0,1.2124453247754208,-0.5306149991913163,321
18935,2,63.89399999999999,-5.573999999999998,0,1.1151606722692569,-0.6278996516974802,318
19046,2,58.302,-5.591999999999992,0,1.0175618604977341,-0.7254984634690029,320
19155,2,52.727999999999994,-5.574000000000005,0,0.92027720799157,-0.8227831159751671,320
19265,2,47.19,-5.537999999999997,0,0.823620874016124,-0.919439449950613,318
19374,2,41.634,-5.555999999999997,0,0.7266503807753192,-1.0164099431914178,320
19484,2,36.078,-5.555999999999997,0,0.6296798875345143,-1.1133804364322226,322
19594,2,30.540000000000003,-5.538,0,0.5330235535590683,-1.2100367704076689,315
19704,2,25.02,-5.520000000000003,0,0.4366813788489812,-1.3063789451177559,320
19813,2,19.464000000000002,-5.555999999999997,0,0.33971088560817636,-1.4033494383585607,317
19923,2,13.892000000000001,-5.572000000000001,0,0.2424611396870523,-1.5005991842796846,318
20032,2,8.336000000000002,-5.555999999999999,0,0.14549064644624735,-1.5975696775204897,319
20142,2,2.798,-5.538000000000002,0,0.04883431247080134,-1.6942260114959358,320
20252,2,-2.794,-5.5920000000000005,0,-0.04876449930072157,-1.7918248232674585,323
20361,2,-8.331999999999999,-5.5379999999999985,0,-0.14542083327616753,-1.8884811572429046,326
20471,2,-13.888,-5.556000000000001,0,-0.24239132651697248,-1.9854516504837094,328
20581,2,-19.428,-5.540000000000001,0,-0.3390825670774584,-2.0821428910441955,332
20690,2,-24.966,-5.538,0,-0.43573890105290436,-2.1787992250196413,340
20800,2,-30.522000000000002,-5.556000000000001,0,-0.5327093942937093,-2.275769718260446,351
20909,2,-36.096,-5.5739999999999945,0,-0.6299940467998731,-2.37305437076661,355
21019,2,-41.636,-5.540000000000006,0,-0.7266852873603591,-2.469745611327096,361
21129,2,-47.19199999999999,-5.55599999999999,0,-0.8236557806011638,-2.566716104567901,367
21240,2,-52.732000000000006,-5.540000000000013,0,-0.92034702116165,-2.663407345128387,373
21350,2,-58.23599999999999,-5.503999999999984,0,-1.0164099431914175,-2.7594702671581546,375
21459,2,-63.722,-5.486000000000011,0,-1.1121587059558267,-2.855219029922564,380
21569,2,-69.24199999999999,-5.519999999999989,0,-1.2085008806659134,-2.9515612046326503,390
21679,2,-74.79799999999999,-5.555999999999997,0,-1.3054713739067183,-3.0485316978734556,407
21788,2,-80.40599999999999,-5.608000000000004,0,-1.4033494383585605,-3.1464097623252973,415
21898,2,-86.05,-5.6440000000000055,0,-1.5018558213411206,-3.2449161453078577,418
