Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABC_smooth,∠BCD_smooth,θ_total,L_est_cm,theta_from_R(compose),phase_used
17823,1,Flex,>>,2916,256.35,356,323,446,33.259819070110865,11.093935621035827,44.35375469114669,-1.4068215740700443,71.95199998357319,Flex
17838,2,Flex,>>,1150,101.1,358,323,449,33.259819070110865,11.093935621035827,44.35375469114669,-1.4068215740700443,71.95199998357319,Flex
17853,3,Flex,>>,124,10.9,359,323,448,33.430442494322826,11.189422123745182,44.61986461806801,-1.4068215740700443,71.95199998357319,Flex
17933,1,Flex,>>,2877,256.35,355,322,447,33.59924633517182,11.509771481128157,45.109017816299975,-1.3817990456882696,71.57718532586705,Flex
17948,2,Flex,>>,1086,101.1,356,320,446,33.643710611213095,11.803244773459314,45.44695538467241,-1.3315249007820682,70.81040664284555,Flex
17962,3,Flex,>>,58,10.9,353,318,440,33.643710611213095,11.803244773459314,45.44695538467241,-1.2809453050189976,70.02048368400034,Flex
18043,1,Flex,>>,2838,254.15,356,324,446,34.51583270582648,12.315156335378465,46.830989041204944,-1.4317677397376014,72.321153622302,Flex
18057,2,Flex,>>,1022,97.41,354,319,442,34.51583270582648,12.315156335378465,46.830989041204944,-1.3062732842576414,70.4183591452209,Flex
18072,3,Flex,>>,-8,7.12,354,320,443,34.51583270582648,12.315156335378465,46.830989041204944,-1.3315249007820682,70.81040664284555,Flex
18152,1,Flex,>>,2799,250.9,357,323,446,36.13283615903615,12.676109710423123,48.80894586945928,-1.4068215740700443,71.95199998357319,Flex
18167,2,Flex,>>,958,91.87,354,321,443,36.13283615903615,12.676109710423123,48.80894586945928,-1.3567001545922777,71.19666810321134,Flex
18182,3,Flex,>>,-74,1.49,352,319,442,36.71693322880283,12.888266674110929,49.60519990291376,-1.3062732842576414,70.4183591452209,Flex
18262,1,Flex,>>,2760,247.47,357,323,446,37.87238444823967,13.004859997905443,50.87724444614511,-1.4068215740700443,71.95199998357319,Flex
18277,2,Flex,>>,894,86.33,356,319,444,38.38566388973885,13.153631262198523,51.539295151937374,-1.3062732842576414,70.4183591452209,Flex
18292,3,Flex,>>,-140,-4.31,353,317,440,38.38566388973885,13.153631262198523,51.539295151937374,-1.2555409630661363,69.61673820605853,Flex
18373,1,Flex,>>,2721,244.13,355,322,446,39.24553407704491,13.251373997998236,52.496908075043144,-1.3817990456882696,71.57718532586705,Flex
18387,2,Flex,>>,830,80.62,354,319,443,39.552019262928354,13.374807788609669,52.92682705153803,-1.3062732842576414,70.4183591452209,Flex
18402,3,Flex,>>,-206,-10.02,352,319,442,39.552019262928354,13.374807788609669,52.92682705153803,-1.3062732842576414,70.4183591452209,Flex
18482,1,Flex,>>,2682,240.62,356,321,447,40.56748209425501,13.733499088043478,54.30098118229849,-1.3567001545922777,71.19666810321134,Flex
18497,2,Flex,>>,766,74.99,355,324,443,40.56748209425501,13.733499088043478,54.30098118229849,-1.4317677397376014,72.321153622302,Flex
18511,3,Flex,>>,-272,-15.91,352,319,440,40.99389639160353,13.798054988226475,54.79195137983,-1.3062732842576414,70.4183591452209,Flex
18592,1,Flex,>>,2643,237.27,357,322,445,41.908758783184624,13.900989893939922,55.809748677124546,-1.3817990456882696,71.57718532586705,Flex
18606,2,Flex,>>,702,69.54,354,320,444,41.908758783184624,13.900989893939922,55.809748677124546,-1.3315249007820682,70.81040664284555,Flex
18621,3,Flex,>>,-338,-21.71,352,319,443,42.10776663456048,14.261356528750795,56.36912316331127,-1.3062732842576414,70.4183591452209,Flex
18701,1,Flex,>>,2604,233.85,356,322,445,42.48838102474862,14.956343023164656,57.444724047913276,-1.3817990456882696,71.57718532586705,Flex
18716,2,Flex,>>,638,63.82,354,319,443,42.69566158515062,15.299148384652584,57.9948099698032,-1.3062732842576414,70.4183591452209,Flex
18730,3,Flex,>>,-404,-27.52,352,319,443,42.69566158515062,15.299148384652584,57.9948099698032,-1.3062732842576414,70.4183591452209,Flex
18811,1,Flex,>>,2565,230.51,356,322,446,43.25643976212609,16.09789098039859,59.35433074252468,-1.3817990456882696,71.57718532586705,Flex
