Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABC_smooth,∠BCD_smooth,θ_total,angle_smooth,dmotor,cycle
18057,2,Flex,>>,1022,97.41,354,319,442,34.51583270582648,12.315156335378465,46.830989041204944,99.87,-1.2299999999999898,0
18167,2,Flex,>>,958,91.87,354,321,443,36.13283615903615,12.676109710423123,48.80894586945928,97.87,-2.0,0
18277,2,Flex,>>,894,86.33,356,319,444,38.38566388973885,13.153631262198523,51.539295151937374,95.562,-2.308000000000007,0
18387,2,Flex,>>,830,80.62,354,319,443,39.552019262928354,13.374807788609669,52.92682705153803,91.46600000000001,-4.095999999999989,0
18497,2,Flex,>>,766,74.99,355,324,443,40.56748209425501,13.733499088043478,54.30098118229849,86.244,-5.222000000000008,0
18606,2,Flex,>>,702,69.54,354,320,444,41.908758783184624,13.900989893939922,55.809748677124546,80.67,-5.573999999999998,0
18716,2,Flex,>>,638,63.82,354,319,443,42.69566158515062,15.299148384652584,57.9948099698032,75.06,-5.609999999999999,0
18825,2,Flex,>>,574,58.37,355,321,442,43.25643976212609,16.09789098039859,59.35433074252468,69.46799999999999,-5.592000000000013,0
18935,2,Flex,>>,510,52.75,353,318,443,44.32756282295256,16.794035513894883,61.12159833684744,63.89399999999999,-5.573999999999998,0
19046,2,Flex,>>,446,47.03,354,320,445,47.16025016666045,17.74568466553411,64.90593483219456,58.302,-5.591999999999992,0
19155,2,Flex,>>,382,41.67,354,320,442,48.910813473208336,18.360606913224828,67.27142038643316,52.727999999999994,-5.574000000000005,0
19265,2,Flex,>>,318,36.13,353,318,445,50.05979745467403,18.88172219502949,68.94151964970352,47.19,-5.537999999999997,0
19374,2,Flex,>>,254,30.59,353,320,444,51.576629755896505,19.37959248563109,70.9562222415276,41.634,-5.555999999999997,0
19484,2,Flex,>>,190,24.97,356,322,446,53.96354145268944,20.923175309398367,74.88671676208781,36.078,-5.555999999999997,0
19594,2,Flex,>>,126,19.34,354,315,442,55.47247468928214,21.616938232606543,77.08941292188868,30.540000000000003,-5.538,0
19704,2,Flex,>>,62,14.07,355,320,449,56.27289696211015,22.255844207524103,78.52874116963426,25.02,-5.520000000000003,0
