Time(ms),MotorID,SensorA1,θ_total,cycle
32733,5,400,67.61662169254546,0
32842,5,398,65.5808505800513,0
32952,5,401,64.38392513539564,0
33062,5,401,62.84542333786426,0
33171,5,400,60.65573074678153,0
33280,5,399,58.154544923718674,0
33390,5,399,57.01580647075522,0
33499,5,401,55.310603956293726,0
33609,5,400,53.14560400576167,0
33718,5,399,51.93475902227972,0
33828,5,399,50.72543658637379,0
33937,5,397,49.53382899344534,0
34047,5,399,47.653761495254436,0
34156,5,398,45.94453114442838,0
34266,5,396,43.693774616888945,0
34375,5,396,40.92673621466514,0
34485,5,396,37.80084042968367,0
34595,5,394,36.19869669566606,0
34704,5,394,34.27909570356289,0
34814,5,394,31.253908179667153,0
34923,5,390,29.14754123202675,0
35032,5,388,26.681307717476898,0
35142,5,386,23.218790246623442,0
35252,5,384,21.268095947173784,0
35361,5,379,20.092507949273145,0
35471,5,377,18.431933794710826,0
35581,5,370,14.775302033332633,0
35690,5,365,11.746426110740547,0
35800,5,356,9.076236017113905,0
35909,5,352,5.948906986072204,0
36019,5,345,3.857791492391205,0
36129,5,341,2.2539044240776507,0
36238,5,341,0.48051161732116143,0
36348,5,334,-1.6368908982063561,0
36458,5,332,-2.772237611715404,0
36569,5,330,-3.7446282010791747,0
36678,5,326,-4.614995110146976,0
36788,5,321,-5.037681275451954,0
36899,5,312,-5.391304867122116,0
37009,5,311,-5.546961905899831,0
37119,5,306,-5.5245862149342315,0
37229,5,299,-5.2270570395111555,0
37339,5,298,-4.807927340382811,0
37449,5,293,-4.168966423598963,0
37558,5,290,-3.5241944592708325,0
37668,5,287,-2.5599121205806976,0
37779,5,282,-0.6042032127197974,0
37888,5,280,1.3131017171299861,0
37998,5,278,2.7067942637233653,0
38108,5,275,3.714183187882808,0
38218,5,273,5.596179847521116,0
38328,5,270,7.01160792650998,0
38438,5,270,8.512458058256266,0
38548,5,270,10.321935195552019,0
38657,5,267,11.379599427700143,0
38767,5,266,12.687539604403325,0
38877,5,264,15.054507741412477,0
38987,5,265,16.77030405236901,0
39097,5,262,18.875850837519568,0
39207,5,268,21.8765870445669,0
39317,5,269,24.996869373101802,0
39427,5,271,26.408726924600597,0
39536,5,272,27.6338773617014,0
63258,5,409,71.65824452055139,1
63369,5,409,71.40940685916632,1
63479,5,410,70.78996165653481,1
63591,5,409,69.86306114846707,1
63702,5,410,68.22999414127811,1
63812,5,409,65.45526492839988,1
63924,5,410,63.866321487240704,1
64036,5,409,62.14261876732493,1
64147,5,408,59.14422084428725,1
64258,5,408,56.57358300167975,1
64369,5,409,54.60746176877011,1
64481,5,408,52.195074734832744,1
64593,5,407,50.435979482387516,1
64705,5,404,48.36644213532239,1
64815,5,407,45.29987230394037,1
64926,5,406,43.48774574724138,1
65037,5,404,40.85168115913736,1
65149,5,401,37.34942817993573,1
65260,5,397,34.34433823904827,1
65372,5,398,30.512920027382364,1
65483,5,396,25.913799707351984,1
65595,5,396,22.563273495710845,1
65707,5,394,19.369907565306764,1
65819,5,393,16.49944693205154,1
65931,5,396,13.95884092679413,1
66043,5,393,10.506642638951611,1
66155,5,390,8.238178456437437,1
66266,5,386,6.409920206804024,1
66376,5,376,4.032320199304889,1
66487,5,369,2.07013044211323,1
66596,5,365,0.47595553308231686,1
66706,5,360,-1.0381308437001302,1
66816,5,348,-2.9528257745650017,1
66926,5,342,-3.980739435542939,1
67038,5,336,-5.01853377695614,1
67150,5,333,-5.829123081895245,1
67262,5,330,-5.99326930309504,1
67373,5,324,-6.161682775215706,1
67484,5,320,-6.45799016520855,1
67595,5,312,-6.023504656650307,1
67707,5,308,-5.084644770699748,1
67819,5,301,-4.106170564315502,1
67930,5,291,-3.124321414367775,1
68043,5,285,-1.220159899704793,1
68154,5,284,0.033002883871307453,1
68265,5,278,1.542057961142591,1
68377,5,275,3.555165854224481,1
68487,5,274,4.598877430567588,1
68598,5,271,5.97946433031579,1
68709,5,270,7.900885444426121,1
68821,5,270,9.393118651560956,1
68933,5,268,10.805003041348256,1
69043,5,267,12.32875090108277,1
69154,5,267,13.484203200918591,1
69266,5,264,14.656659636619562,1
69377,5,266,15.78499193795151,1
69488,5,265,16.286180376550234,1
69599,5,266,17.15155739711615,1
69711,5,271,18.703288392064685,1
69822,5,273,19.50991495942225,1
69933,5,272,20.45753196811622,1
93900,5,396,65.54798465230658,2
94010,5,397,63.19769948673434,2
94119,5,395,61.36542433061892,2
94229,5,397,59.32968284065428,2
94338,5,394,57.60697482854005,2
94449,5,396,55.18614347757198,2
94558,5,394,53.69102630144761,2
94668,5,395,52.05296210279971,2
94777,5,397,49.34128343946966,2
94887,5,397,47.62857920668927,2
94997,5,391,45.818239306148314,2
95107,5,394,43.46565226330209,2
95216,5,394,40.1616701879619,2
95326,5,393,37.0288815785309,2
95435,5,393,33.951897915232564,2
95545,5,395,29.36638188117987,2
95655,5,391,25.256052767988017,2
95764,5,393,21.89131987719349,2
95875,5,390,18.78389696896287,2
95985,5,392,14.923309460040512,2
96095,5,387,12.712072975110686,2
96204,5,389,10.72138490279096,2
96314,5,385,8.86978307032735,2
96423,5,379,7.774131364141334,2
96533,5,374,6.256810598014402,2
96644,5,367,4.601035178047535,2
96754,5,358,3.6254246071193257,2
96864,5,354,2.4952055101456327,2
96974,5,346,1.5993051490829637,2
97083,5,341,0.6173929472211366,2
97193,5,338,-0.14043910430807793,2
97303,5,336,-0.9821010332448296,2
97413,5,330,-2.256531089312367,2
97524,5,327,-3.216743212534987,2
97633,5,318,-4.175935151926667,2
97744,5,316,-4.76700675581071,2
97855,5,307,-5.227584238746064,2
97965,5,303,-5.473875282271585,2
98077,5,296,-5.732907294331335,2
98188,5,288,-4.975196426690534,2
98299,5,281,-4.456776100732033,2
98410,5,282,-4.238159032141537,2
98522,5,279,-3.2633019943803916,2
98633,5,276,-2.5320956298873774,2
98745,5,274,-1.5642705331805933,2
98856,5,272,-0.7462002555427021,2
98967,5,273,0.21938355277228894,2
99079,5,272,1.5426364704124338,2
99191,5,270,2.2502012444588546,2
99302,5,271,3.119499976846675,2
99413,5,268,4.702948558489522,2
99524,5,267,5.792996969381493,2
99636,5,268,6.6401226558140145,2
99747,5,265,8.53317930185862,2
99859,5,265,10.427991354790523,2
99971,5,264,12.028973960176979,2
100082,5,265,13.500275770052005,2
100193,5,266,14.632661088254684,2
100304,5,268,16.524236756504674,2
100415,5,272,19.92112700639709,2
100526,5,273,22.16389822586053,2
124409,5,367,58.295018594712026,3
124519,5,367,57.35961098443764,3
124629,5,368,56.06075184141777,3
124739,5,366,54.55709908785529,3
124848,5,368,52.80860415853643,3
124958,5,367,51.31436627470195,3
125067,5,366,49.73330981755257,3
125177,5,369,47.196988111963975,3
125286,5,368,45.549346797508434,3
125396,5,368,43.889589773054745,3
125505,5,366,42.202344191173665,3
125615,5,367,38.926157714644,3
125725,5,365,36.074395837738585,3
125834,5,364,33.98330120855952,3
125944,5,365,30.339808558838566,3
126053,5,363,26.3790278429084,3
126163,5,363,22.909214506800048,3
126272,5,362,20.736729039195414,3
126382,5,363,18.663709203108098,3
126491,5,362,17.052590434216313,3
126601,5,359,15.219765130239905,3
126711,5,356,12.895823371724664,3
126821,5,355,11.179865321346623,3
126931,5,353,9.48683265895799,3
127040,5,351,7.661353508414757,3
127150,5,347,5.229704481315446,3
127259,5,343,3.178974670535804,3
127369,5,339,1.3863526609226566,3
127479,5,334,-0.36663540415969065,3
127589,5,332,-1.6345263364753015,3
127698,5,326,-2.6585896498531367,3
127808,5,324,-3.439862500218072,3
127918,5,319,-4.933084852572995,3
128028,5,317,-5.939708917303341,3
128138,5,312,-6.413714130365037,3
128247,5,304,-7.116429960355355,3
128357,5,298,-7.612960519475396,3
128467,5,296,-7.6150928913122105,3
128577,5,290,-7.59435297556775,3
128687,5,288,-7.546054899977741,3
128796,5,283,-6.935696102767105,3
128906,5,281,-5.851383144344717,3
129016,5,282,-4.47704814879491,3
129125,5,279,-3.571987623939716,3
129235,5,275,-2.660803013828681,3
129345,5,275,-1.044964375138834,3
129455,5,273,0.28495859184125294,3
129566,5,273,1.1418871324069615,3
129676,5,268,2.6352855865297724,3
129786,5,269,4.019593204163597,3
129896,5,267,5.473913349341064,3
130006,5,267,6.6502157272990665,3
130117,5,265,9.007186731804577,3
130226,5,266,12.635004900110246,3
130336,5,263,15.67326961322275,3
130446,5,265,18.616901890432473,3
130555,5,265,20.50765843953228,3
130665,5,264,21.869509474346597,3
130775,5,268,22.931925409873383,3
130884,5,271,24.679834726499994,3
130994,5,274,26.1119572027063,3
154729,5,389,66.4801054354384,4
154838,5,389,65.85247834213448,4
154948,5,391,64.39477135034466,4
155057,5,390,62.924492318285324,4
155167,5,389,61.41277148691482,4
155277,5,390,59.06287281285538,4
155387,5,389,56.633884062361446,4
155497,5,387,54.653164318898014,4
155607,5,389,53.10689912725954,4
155717,5,388,49.651813995158705,4
155826,5,387,46.897522352456434,4
155936,5,389,43.70347786079539,4
156046,5,387,38.535892938780414,4
156155,5,388,35.464872225551936,4
156265,5,388,33.43821865623833,4
156375,5,386,31.225489316903136,4
156485,5,382,26.750416822575858,4
156596,5,382,22.8179119164615,4
156706,5,380,18.6985571330603,4
156817,5,380,15.07394177266191,4
156927,5,380,13.140120761001933,4
157036,5,377,10.861258917549208,4
157146,5,377,7.984114171445302,4
157256,5,374,5.8931150143913005,4
157365,5,371,4.267004444297048,4
157475,5,371,2.924873149639467,4
157584,5,365,1.2480267005981454,4
157694,5,363,0.2296255339635509,4
157804,5,355,-0.5230533632709902,4
157913,5,353,-1.3950327844135175,4
158023,5,340,-2.205746758888531,4
158134,5,338,-3.036729160400725,4
158243,5,333,-3.9541672491954696,4
158353,5,331,-4.932863951535987,4
158463,5,315,-5.608119305802543,4
158572,5,312,-6.104828792687163,4
158682,5,304,-6.861164975285959,4
158793,5,299,-7.113535866026821,4
158903,5,298,-7.03144696117481,4
159013,5,294,-6.365334181023945,4
159123,5,286,-5.685388973661746,4
159233,5,283,-4.835193657420722,4
159343,5,278,-3.3942702801471225,4
159453,5,276,-2.350213636326662,4
159563,5,273,-1.2676495110797648,4
159674,5,271,-0.23871656318833345,4
159784,5,271,1.3271235954435197,4
159894,5,270,2.961226865515421,4
160004,5,268,4.615203931575726,4
160114,5,269,6.595743787699215,4
160223,5,266,8.206792414489097,4
160334,5,267,9.861941464069336,4
160444,5,267,12.931090355322857,4
160555,5,264,15.677116859771294,4
160665,5,264,17.888071347541572,4
160775,5,264,19.310940129063525,4
160885,5,262,20.97602807571713,4
160995,5,265,22.349885773399297,4
161105,5,270,23.47960007076584,4
161216,5,273,25.320617365177256,4
161326,5,273,26.55493858715348,4
185092,5,389,67.69980615678695,5
185203,5,387,67.4240450002631,5
185313,5,390,66.5986303878167,5
185424,5,391,65.2752122847289,5
185534,5,389,64.10877949175529,5
185644,5,388,62.47237391015659,5
185753,5,387,60.6197666677991,5
185863,5,388,58.81508423665635,5
185973,5,387,57.5607105000365,5
186083,5,388,55.60724494762917,5
186193,5,386,53.979244475821446,5
186303,5,388,52.359942626426694,5
186413,5,387,49.647461943481844,5
186524,5,388,47.04726248003698,5
186635,5,384,43.57549654067669,5
186744,5,386,37.03461503759728,5
186855,5,386,32.07253730864575,5
186965,5,385,27.737476032043176,5
187074,5,383,23.917521973250004,5
187184,5,384,20.002704595827204,5
187294,5,384,17.327687319757615,5
187404,5,382,14.897967151818452,5
187514,5,380,12.12185939894108,5
187625,5,379,10.267637645902862,5
187734,5,377,8.864268448831943,5
187844,5,376,6.4379582718129935,5
187954,5,371,4.915084020357666,5
188065,5,368,3.7395410137177834,5
188175,5,367,2.3980842646940843,5
188285,5,360,0.658798394203794,5
188395,5,353,-0.33405499752895107,5
188505,5,351,-1.1467777732727282,5
188616,5,349,-2.4839648842185262,5
188728,5,344,-3.7544651879518716,5
188839,5,340,-5.065498229830326,5
188951,5,337,-6.088584856151425,5
189062,5,331,-6.47024729159291,5
189174,5,317,-6.640709764879797,5
189286,5,308,-6.633137652076582,5
189396,5,299,-6.859420074587717,5
189509,5,288,-6.50069746405656,5
189621,5,283,-5.682369706384817,5
189733,5,280,-4.914585019615407,5
189845,5,276,-3.7929057572001286,5
189956,5,275,-2.6636612672934783,5
190070,5,274,-1.827362097464684,5
190182,5,271,-0.8487001809456758,5
190296,5,273,0.5933565790617856,5
190407,5,270,2.0406670090050945,5
190519,5,270,3.822567910286357,5
190632,5,270,5.346138058238099,5
190745,5,270,7.847313469303281,5
190856,5,268,9.522983787622502,5
190968,5,267,11.271059719901121,5
191081,5,264,14.312188104442965,5
191193,5,265,16.844082390335203,5
191304,5,261,18.808422881887633,5
191416,5,267,20.458063091272678,5
191528,5,269,21.85813674504979,5
191640,5,272,23.490304722049466,5
191752,5,273,25.10766587535612,5
215824,5,377,64.07714279459614,6
215935,5,374,63.42131121829067,6
216047,5,373,62.458876701782074,6
216158,5,375,61.5895661723162,6
216269,5,374,60.79591560580032,6
216380,5,375,60.12113768211258,6
216491,5,374,58.81810657517684,6
216601,5,376,57.130729202727494,6
216713,5,374,55.42936087922385,6
216824,5,374,54.059996679204986,6
216936,5,375,52.80258890183313,6
217047,5,374,50.675299603042845,6
217158,5,374,48.5067522976742,6
217269,5,374,46.76522472704348,6
217379,5,373,44.213280509606236,6
217490,5,372,41.297873146387126,6
217601,5,374,37.86162622006907,6
217712,5,371,33.658324634286245,6
217823,5,372,30.622002683565796,6
217935,5,371,28.036558743140176,6
218046,5,373,24.513453253161575,6
218158,5,370,21.421670618044992,6
218269,5,367,19.302274683277258,6
218379,5,366,16.03963706408389,6
218491,5,363,13.114862370954153,6
218602,5,364,10.561531144227805,6
218713,5,360,7.617220005068187,6
218824,5,357,5.4832470890452925,6
218934,5,356,3.794694913702724,6
219046,5,350,1.9822719463210698,6
219157,5,347,0.4932179461216033,6
219268,5,344,-1.0590295582443219,6
219380,5,342,-2.9869858655995802,6
219491,5,337,-4.57577447053289,6
219601,5,334,-5.422747747179429,6
219713,5,327,-6.0278858982054695,6
219825,5,328,-6.472391390338257,6
219936,5,319,-6.660702941965953,6
220048,5,312,-6.919285447064279,6
220159,5,305,-6.864533027613641,6
220270,5,299,-6.4548249267433935,6
220381,5,294,-5.546869143582999,6
220493,5,289,-4.5519097994167295,6
220604,5,286,-3.3666241118248355,6
220715,5,282,-1.90349587354797,6
220827,5,280,-1.0647742678736773,6
220938,5,276,0.3394517428338033,6
221049,5,274,3.1456477926258466,6
221160,5,271,4.706860702685574,6
221271,5,268,6.884720458051598,6
221382,5,269,9.846955455871521,6
221493,5,269,11.237893590189545,6
221606,5,266,12.800351864971153,6
221717,5,266,15.322793345188646,6
221828,5,267,17.545548290183138,6
221939,5,265,20.008518676457335,6
222050,5,263,22.62180451130108,6
222162,5,265,23.89346358325721,6
222273,5,269,25.33954708286472,6
222384,5,273,26.684964883288124,6
222496,5,276,27.42341451025695,6
