Time(ms),MotorID,SensorA1,θ_total,cycle
18057,2,319,46.830989041204944,0
18167,2,321,48.80894586945928,0
18277,2,319,51.539295151937374,0
18387,2,319,52.92682705153803,0
18497,2,324,54.30098118229849,0
18606,2,320,55.809748677124546,0
18716,2,319,57.9948099698032,0
18825,2,321,59.35433074252468,0
18935,2,318,61.12159833684744,0
19046,2,320,64.90593483219456,0
19155,2,320,67.27142038643316,0
19265,2,318,68.94151964970352,0
19374,2,320,70.9562222415276,0
19484,2,322,74.88671676208781,0
19594,2,315,77.08941292188868,0
19704,2,320,78.52874116963426,0
19813,2,317,81.07232989598572,0
19923,2,318,83.60029441585611,0
20032,2,319,86.30393443075477,0
20142,2,320,89.88727086929813,0
20252,2,323,92.47004809656416,0
20361,2,326,94.46639454565062,0
20471,2,328,95.86893050238837,0
20581,2,332,97.77670202853332,0
20690,2,340,99.20878046050868,0
20800,2,351,100.60394032573488,0
20909,2,355,102.50014659024876,0
21019,2,361,103.49065315948745,0
21129,2,367,103.94162677181302,0
21240,2,373,104.42582607344454,0
21350,2,375,105.626948578634,0
21459,2,380,106.26258757914366,0
21569,2,390,106.73418476159527,0
21679,2,407,108.09411231311691,0
21788,2,415,108.8476482206635,0
21898,2,418,109.17568707760483,0
22008,2,434,109.6276688385297,0
22117,2,447,109.6448893064656,0
22227,2,453,109.60057006187475,0
22336,2,457,109.6289474718503,0
22446,2,464,108.9736187551373,0
22556,2,479,108.62843866484799,0
22666,2,490,107.90178674138684,0
22776,2,505,106.09683257778724,0
22885,2,513,105.07867949672807,0
22996,2,518,103.84147474853489,0
23106,2,522,102.42460559387905,0
23216,2,531,100.55325822538919,0
23327,2,535,99.28909175545654,0
23436,2,538,98.11496473174186,0
23546,2,547,96.28952002497195,0
23656,2,549,94.98754596549941,0
23766,2,544,93.06833834148712,0
23875,2,545,90.82293063485042,0
23985,2,546,89.11345282978215,0
24095,2,547,88.14842447288363,0
24204,2,548,86.66561999345724,0
24314,2,550,85.22728033902824,0
24425,2,549,84.21712654958353,0
24535,2,558,83.16728466216925,0
24645,2,568,82.74302079322634,0
24755,2,578,82.21220074362657,0
24866,2,576,81.49319433941636,0
48607,2,315,41.7446561162531,1
48717,2,314,43.92890644196024,1
48826,2,312,45.39643446926888,1
48936,2,314,47.19673322829805,1
49046,2,314,49.86401689486266,1
49155,2,314,51.50523013045142,1
49265,2,312,53.54754773066961,1
49375,2,314,55.967804342064596,1
49484,2,313,59.448727005815435,1
49594,2,313,63.13950312777057,1
49704,2,313,66.40566895312611,1
49813,2,314,68.34250831756967,1
49922,2,313,70.14163380666429,1
50032,2,317,72.80463513961783,1
50141,2,313,74.95946289308519,1
50251,2,313,77.06238114153467,1
50361,2,316,79.33023460137339,1
50471,2,311,81.87890587383313,1
50581,2,313,84.96451197722222,1
50690,2,314,87.12842574842097,1
50800,2,313,89.36603794727966,1
50910,2,318,92.12068549966222,1
51019,2,325,93.7738156850434,1
51129,2,324,95.09357928119591,1
51239,2,330,96.08978865532687,1
51349,2,335,97.84114999168142,1
51458,2,340,99.62216353956055,1
51568,2,347,101.2711010731278,1
51677,2,353,103.18839715115806,1
51787,2,357,104.28590308417301,1
51897,2,364,105.2259977979813,1
52006,2,370,105.93305749450451,1
52116,2,387,106.74891352171687,1
52226,2,404,107.5427552250394,1
52335,2,407,108.20550722451965,1
52445,2,413,108.79642100842288,1
52556,2,424,108.75758880921592,1
52666,2,437,108.25635043650846,1
52776,2,437,107.80116578420126,1
52885,2,450,107.63014684774069,1
52995,2,459,107.32403863753666,1
53104,2,470,105.85943424057336,1
53214,2,476,102.98358368602831,1
53323,2,491,101.40974969010338,1
53433,2,497,100.067977880196,1
53543,2,502,98.30753055467807,1
53652,2,503,97.07404365903871,1
53762,2,508,95.8779059212706,1
53872,2,517,94.60015752897641,1
53981,2,522,93.09309768216505,1
54091,2,531,92.01777748202313,1
54200,2,538,90.79991599337609,1
54310,2,539,89.28950527878084,1
54420,2,544,88.29928211495361,1
54529,2,544,87.42263724721967,1
54639,2,548,86.37503715041512,1
54748,2,546,85.00946995589129,1
54858,2,559,84.44708904495192,1
54967,2,569,83.98528968545183,1
55077,2,577,83.49431453408698,1
55186,2,567,82.94669641691371,1
79087,2,326,44.27777901455751,2
79198,2,327,44.54847037424607,2
79309,2,327,45.56731842823991,2
79420,2,328,46.586976647852936,2
79531,2,327,47.49627541342784,2
79642,2,327,48.22364352806699,2
79754,2,330,48.98542229085717,2
79865,2,327,50.90536985468498,2
79976,2,326,54.354275119146564,2
80087,2,328,57.140956517652555,2
80198,2,329,60.408012819398735,2
80309,2,326,64.74306355340998,2
80420,2,326,67.77905859049959,2
80532,2,325,71.07823889714126,2
80643,2,329,75.00927547306011,2
80754,2,326,77.68682556461131,2
80865,2,324,80.4113752262231,2
80977,2,326,83.63483110748436,2
81087,2,327,85.86493094264364,2
81198,2,326,88.16746049828467,2
81309,2,325,91.15263598701452,2
81421,2,327,93.74381204863491,2
81532,2,327,96.1590448421802,2
81641,2,329,98.32125863627013,2
81752,2,329,101.08666599968457,2
81863,2,329,102.60519615436681,2
81974,2,332,103.87980910901601,2
82085,2,335,105.12714842697336,2
82197,2,334,105.73041996036181,2
82308,2,338,106.46067833498743,2
82419,2,344,107.74120849832121,2
82531,2,357,108.38198851053295,2
82641,2,365,108.75509720999065,2
82752,2,378,109.2701672808611,2
82863,2,391,109.67101372251031,2
82974,2,403,109.96018813647028,2
83083,2,421,109.97778997246027,2
83195,2,425,109.95281083594502,2
83305,2,442,109.68625587858097,2
83417,2,454,109.52384221508564,2
83530,2,462,109.34846449742517,2
83641,2,475,108.45798844886136,2
83752,2,480,106.05131056412652,2
83862,2,488,104.08560013938434,2
83972,2,505,102.47887810107277,2
84083,2,513,100.22036073007679,2
84193,2,516,98.56239685292394,2
84304,2,532,97.0532529147197,2
84415,2,533,95.35663935855874,2
84527,2,539,94.47788989124113,2
84637,2,544,93.24653259083564,2
84748,2,544,91.460450257704,2
84859,2,546,89.9075833725509,2
84971,2,552,88.71961103027343,2
85082,2,549,87.28655952416449,2
85193,2,551,85.94559813758511,2
85305,2,547,84.75025244126073,2
85416,2,560,83.34358127223595,2
85527,2,568,82.18765432063924,2
85638,2,576,81.00449366704797,2
85749,2,572,79.50103794732699,2
109685,2,324,42.421680761274494,3
109794,2,327,43.07204459503798,3
109905,2,323,43.84890347479916,3
110017,2,325,45.178249003559145,3
110128,2,325,46.443819086570116,3
110239,2,323,47.73225840979447,3
110350,2,322,49.18056585445845,3
110462,2,322,50.22854948259323,3
110573,2,324,51.256626815620805,3
110684,2,323,53.42651004420654,3
110796,2,323,55.32514484974958,3
110907,2,322,57.830873829343254,3
111019,2,324,62.41109203219707,3
111129,2,322,65.92779999455504,3
111240,2,323,69.52991770211878,3
111351,2,324,73.15662601045466,3
111463,2,322,75.44193038410938,3
111574,2,322,78.3175763636326,3
111685,2,322,81.9520365628293,3
111797,2,323,85.1931310450517,3
111908,2,325,88.40079991010589,3
112019,2,322,92.06212479371433,3
112130,2,323,94.69669842063851,3
112241,2,325,97.47921848708111,3
112353,2,327,100.44230772113842,3
112613,2,333,104.0413213399919,3
112722,2,336,104.76109397434713,3
112832,2,342,105.74107957162346,3
112942,2,344,106.69415901767799,3
113052,2,344,107.43856317876664,3
113161,2,350,108.44038753289715,3
113271,2,356,109.32853569126799,3
113380,2,365,110.13417265016517,3
113490,2,381,110.88500576230601,3
113600,2,392,111.28459847179508,3
113711,2,402,110.98238867140117,3
113821,2,420,110.86788550391984,3
113931,2,429,109.70545725790511,3
114041,2,440,108.29376147989224,3
114150,2,446,107.0875211088428,3
114260,2,463,105.87549717067925,3
114370,2,476,104.3534421565427,3
114479,2,486,102.68964701586589,3
114589,2,490,101.9204892928963,3
114698,2,504,100.50835922433633,3
114808,2,517,98.74648623318606,3
114918,2,522,96.89984062304069,3
115028,2,530,95.76426117674966,3
115137,2,538,94.1815125538265,3
115247,2,538,91.99051528274276,3
115357,2,544,90.69601198114489,3
115466,2,544,88.98931887070884,3
115576,2,545,86.43237954947713,3
115686,2,543,84.87854296728256,3
115796,2,551,83.85194099628526,3
115906,2,551,83.03105295160874,3
116015,2,564,82.08050192876334,3
116125,2,573,80.75848900004374,3
116234,2,582,78.92197974943048,3
116344,2,573,76.67232759957636,3
140069,2,314,40.23581269206899,4
140180,2,316,41.58884562733216,4
140290,2,317,43.14199607139868,4
140399,2,315,45.02904078217988,4
140509,2,317,47.698856624506455,4
140618,2,317,49.50294177044785,4
140728,2,318,51.67223446559659,4
140837,2,318,53.76678439464443,4
140947,2,315,56.44666238616158,4
141057,2,316,58.9443842954916,4
141166,2,317,61.377034985559206,4
141277,2,317,64.48296998929487,4
141387,2,317,67.00526179047284,4
141497,2,317,69.60986783794618,4
141606,2,316,72.59211645941637,4
141716,2,317,76.63326399371016,4
141825,2,316,79.2168204356496,4
141935,2,317,82.24038812159242,4
142044,2,316,86.75888490898299,4
142154,2,314,89.18214526544799,4
142264,2,316,90.74768765893143,4
142373,2,318,92.28281531536516,4
142483,2,316,94.40659203866397,4
142593,2,319,95.55763263449293,4
142702,2,320,96.5398563084685,4
142812,2,323,98.05192606163934,4
142922,2,330,98.91803920618426,4
143032,2,339,99.98365769563365,4
143142,2,343,101.73311427096252,4
143252,2,349,102.75598938226842,4
143362,2,357,103.25345958233265,4
143471,2,363,104.084144449445,4
143581,2,369,105.45900726508108,4
143691,2,379,106.15709705199399,4
143802,2,389,106.87405365345231,4
143911,2,396,107.31662205919554,4
144021,2,407,107.17090635468833,4
144131,2,420,106.59555640660581,4
144242,2,434,105.3592256918345,4
144352,2,445,104.24854738509565,4
144461,2,461,103.37390853677293,4
144571,2,472,102.3615637883513,4
144680,2,484,101.06859139245137,4
144790,2,490,100.25369853051075,4
144900,2,496,99.14890659944996,4
145009,2,497,97.52674534865658,4
145119,2,502,95.91735753427382,4
145229,2,509,94.41418834502912,4
145338,2,512,93.28610620042204,4
145448,2,513,91.78851329501758,4
145558,2,517,90.36901213520264,4
145668,2,524,88.59833367854336,4
145777,2,528,86.34008689952692,4
145887,2,532,84.8677739974139,4
145997,2,530,83.54086635244636,4
146106,2,536,82.29499343621384,4
146217,2,537,80.95042304378093,4
146327,2,545,79.90902669705615,4
146437,2,555,78.33423903807156,4
146546,2,560,77.00264990664112,4
146656,2,553,76.51677158593768,4
170407,2,317,40.0446466814502,5
170517,2,314,40.667278445206016,5
170626,2,314,41.69429997678611,5
170736,2,316,43.31717958462748,5
170846,2,316,46.394780837411865,5
170955,2,316,48.9168424305605,5
171065,2,316,50.88104904293312,5
171174,2,314,53.112737091926824,5
171284,2,315,56.67806903997541,5
171393,2,317,59.75496172935085,5
171503,2,313,62.97929390382033,5
171613,2,314,67.59146422394065,5
171723,2,312,70.82762071023167,5
171834,2,316,73.68390003824241,5
171943,2,316,77.17309441481787,5
172053,2,316,79.76382742543433,5
172163,2,316,82.53978544106816,5
172273,2,312,85.0937446287605,5
172382,2,313,87.51766440070966,5
172492,2,314,89.16258795875268,5
172602,2,315,90.83608705985401,5
172711,2,312,92.93004553311357,5
172821,2,316,94.40334375971582,5
172930,2,317,95.93862113674382,5
173041,2,319,97.89622161689064,5
173150,2,320,99.60320083973508,5
173260,2,329,100.3371618495951,5
173370,2,333,101.35008034333535,5
173480,2,342,102.98291908140624,5
173590,2,346,104.29247002431332,5
173699,2,354,105.72529358430293,5
173809,2,361,107.3901299031271,5
173919,2,375,108.42571493718559,5
174028,2,384,109.31697877591377,5
174139,2,400,109.98957874460237,5
174248,2,412,110.48415179584993,5
174358,2,425,110.46972947292632,5
174468,2,434,110.07326475963555,5
174577,2,444,109.63677363350875,5
174687,2,455,109.03395875019163,5
174798,2,468,107.8788815623324,5
174908,2,472,106.48426223244525,5
175017,2,482,104.27452627358674,5
175127,2,488,102.70467917241044,5
175237,2,492,100.98512703100558,5
175347,2,495,98.95848188887999,5
175456,2,502,97.94685098126513,5
175566,2,509,96.59477633027501,5
175676,2,514,94.5626022917521,5
175786,2,517,93.27293609488669,5
175896,2,522,92.03786436058144,5
176005,2,527,90.63162122234398,5
176116,2,534,88.2707603407647,5
176226,2,540,86.22429626930915,5
176336,2,543,84.63101258842516,5
176446,2,548,82.81395824743555,5
176556,2,547,81.11995511998664,5
176665,2,560,79.9301413745815,5
176775,2,567,78.85059452697246,5
176885,2,570,77.87559347010969,5
176995,2,567,77.01183924129697,5
200950,2,314,39.44054592437788,6
201061,2,313,40.03825805737384,6
201173,2,316,41.04982320284479,6
201285,2,313,42.985328851910765,6
201396,2,314,44.81078321054632,6
201507,2,315,46.69469296965613,6
201619,2,315,48.994015857757745,6
201730,2,313,51.039108874947686,6
201843,2,308,54.177568839702595,6
201955,2,314,56.22524563894271,6
202067,2,314,58.46238655568577,6
202178,2,313,62.15304352694696,6
202289,2,314,65.17359371526939,6
202400,2,312,67.7143947821933,6
202511,2,312,70.56108435927126,6
202623,2,313,73.25763067597738,6
202734,2,315,75.71475801531574,6
202847,2,313,77.95260430906552,6
202959,2,314,80.40839608162554,6
203071,2,314,83.0172416221593,6
203182,2,314,86.42735633095363,6
203294,2,313,88.70744913688034,6
203405,2,314,90.12021391509607,6
203515,2,316,92.78181478585851,6
203625,2,320,94.75422148662923,6
203737,2,323,96.1017891227772,6
203849,2,326,97.90006546590956,6
203960,2,334,99.24426308854183,6
204071,2,339,101.04138517377584,6
204182,2,345,102.90639986725515,6
204294,2,350,103.79504969220704,6
204406,2,359,104.7374734339629,6
204517,2,365,106.13393693217208,6
204628,2,371,107.33133507759905,6
204740,2,382,108.32431924696232,6
204853,2,394,109.19902116435077,6
