Time(ms),MotorID,Angle(deg),angle_smooth,delta_motor,cycle,L_cm,L_rel_cm,θ_total,∠ABC_smooth,∠BCD_smooth
33096,6,91.25,93.07000000000001,-0.9099999999999966,0,1.6243779348311227,0.0,31.227027395348713,23.8306171712953,7.396410224053412
33205,6,87.3,91.6275,-1.4425000000000097,0,1.5992015603711043,-0.025176374460018414,31.715077096292738,24.069450547676205,7.645626548616534
33315,6,83.25,89.952,-1.6754999999999995,0,1.5699585687539392,-0.05441936607718345,32.05822985252191,24.316620194416146,7.741609658105766
33425,6,79.12,86.97999999999999,-2.9720000000000084,0,1.5180873833846678,-0.10629055144645494,32.31130453228697,24.473841656426856,7.837462875860108
33535,6,75.08,83.2,-3.779999999999987,0,1.4521139376592822,-0.1722639971718405,32.29994210540967,24.478347839414543,7.821594265995131
33645,6,71.12,79.174,-4.025999999999996,0,1.3818469819739907,-0.242530952857132,32.26730801638831,24.214301822199264,8.053006194189045
33755,6,67.16,75.146,-4.028000000000006,0,1.311545119703659,-0.31283281512746375,32.19697055032151,24.0673507999108,8.12961975041071
33864,6,63.12,71.12,-4.025999999999996,0,1.2412781640183672,-0.3830997708127555,32.289330997354554,24.35429515452441,7.935035842830141
33974,6,59.08,67.112,-4.00800000000001,0,1.1713253675984343,-0.4530525672326884,32.50668852857969,24.54633384692298,7.960354681656708
34084,6,55.21,63.13800000000001,-3.9739999999999824,0,1.10196598312418,-0.5224119517069428,32.62682202123393,24.460356461484476,8.16646555974945
34194,6,51.08,59.129999999999995,-4.008000000000017,0,1.032013186704247,-0.5923647481268757,32.60168618591469,24.54475978826276,8.056926397651926
34304,6,47.03,55.104,-4.025999999999996,0,0.9617462310189553,-0.6626317038121674,32.379579566546624,24.438276667880583,7.941302898666042
34414,6,42.99,51.077999999999996,-4.026000000000003,0,0.8914792753336636,-0.7328986594974591,32.3208727070497,24.309401322409983,8.011471384639723
34524,6,38.95,47.05200000000001,-4.025999999999989,0,0.821212319648372,-0.8031656151827506,32.36749640021047,24.240154581088145,8.127341819122321
34634,6,34.81,42.972,-4.080000000000005,0,0.7500028861670033,-0.8743750486641194,32.33181601296057,24.377114872179654,7.954701140780916
34743,6,30.59,38.87400000000001,-4.097999999999992,0,0.6784792934202758,-0.9458986414108469,32.327700240173534,24.60820991168049,7.7194903284930465
34853,6,26.37,34.742000000000004,-4.132000000000005,0,0.60636228872787,-1.0180156461032528,32.440087228808764,24.600223569404516,7.839863659404245
34962,6,22.07,30.558000000000003,-4.184000000000001,0,0.5333377128244273,-1.0910402220066953,32.68846688740751,24.491510804850638,8.196956082556868
35071,6,17.85,26.338,-4.220000000000002,0,0.45968481839026654,-1.1646931164408563,32.88348441512734,24.4765999827982,8.406884432329145
35181,6,13.63,22.101999999999997,-4.236000000000004,0,0.38575267127578666,-1.238625263555336,33.00740660852067,24.693365769156777,8.31404083936389
35291,6,9.49,17.882,-4.219999999999995,0,0.31209977684162604,-1.3122781579894967,32.919060858479924,24.67705713619085,8.242003722289073
35401,6,5.27,13.662,-4.220000000000001,0,0.2384468824074653,-1.3859310524236574,32.890664715966466,24.5595144056421,8.331150310324361
