Time(ms),MotorID,Angle(deg),angle_smooth,delta_motor,cycle,L_cm,L_rel_cm,θ_total,∠ABC_smooth,∠BCD_smooth
12719,3,7.12,9.64,-1.2599999999999998,0,0.1682497398922534,0.0,16.105206287972628,13.01056257530695,3.094643712665678
12828,3,1.58,7.625,-2.0150000000000006,0,0.13308135546456762,-0.03516838442768577,16.277396903256484,13.226806297901774,3.0505906053547114
12938,3,-4.22,5.256,-2.3689999999999998,0,0.09173450548482197,-0.07651523440743142,16.129631279071347,13.189761963064882,2.939869316006467
13047,3,-9.93,1.0900000000000003,-4.166,0,0.0190240888467382,-0.1492256510455152,15.893281263428058,12.917368602510138,2.97591266091792
13158,3,-15.65,-4.220000000000001,-5.3100000000000005,0,-0.07365289443416072,-0.24190263432641412,15.884521911447571,12.81131264986594,3.0732092615816304
13267,3,-21.27,-9.898,-5.677999999999999,0,-0.17275268936239874,-0.34100242925465213,15.997965359486974,12.9520458253117,3.045919534175274
13377,3,-26.99,-15.612,-5.714,0,-0.27248080282135473,-0.4407305427136081,15.862222827931538,13.0081819664274,2.8540408615041373
13487,3,-32.7,-21.308,-5.696,0,-0.3718947570149517,-0.5401444969072051,15.818239815950166,12.887597375589287,2.9306424403608795
13596,3,-38.42,-27.006,-5.698,0,-0.47134361779358863,-0.639593357685842,15.849498829858463,12.96116058785482,2.8883382420036425
13705,3,-44.22,-32.72,-5.713999999999999,0,-0.5710717312525446,-0.739321471144798,15.981552687466927,12.844468637699,3.137084049767927
13816,3,-49.93,-38.452,-5.731999999999999,0,-0.6711140039768596,-0.839363743869113,15.709480656943002,12.62902567975432,3.080454977188682
13925,3,-55.82,-44.218,-5.766000000000005,0,-0.7717496886468527,-0.939999428539106,15.766666715883167,12.801737038540931,2.964929677342236
14035,3,-61.63,-50.004,-5.785999999999994,0,-0.8727344391672445,-1.0409841790594978,16.073455576687486,12.706703809069497,3.366751767617989
14144,3,-67.25,-55.769999999999996,-5.765999999999998,0,-0.9733701238372375,-1.141619863729491,16.271492921864674,12.86546410942842,3.406028812436253
14254,3,-73.05,-61.536,-5.766000000000005,0,-1.0740058085072306,-1.242255548399484,16.204267402837395,12.872421408780076,3.3318459940573204
14364,3,-78.77,-67.304,-5.768000000000001,0,-1.1746763997622636,-1.342926139654517,16.011785084222645,12.778547954791163,3.233237129431483
14474,3,-84.57,-73.054,-5.75,0,-1.2750328317519375,-1.4432825716441908,15.820112370248193,12.647752352770134,3.1723600174780584
14584,3,-90.2,-78.768,-5.713999999999999,0,-1.3747609452108935,-1.5430106851031469,16.19937304400779,12.968882313191662,3.2304907308161264
14694,3,-96.09,-84.536,-5.768000000000001,0,-1.4754315364659265,-1.6436812763581798,16.325765465300506,12.904190402325892,3.4215750629746164
14804,3,-101.89,-90.304,-5.768000000000001,0,-1.5761021277209595,-1.7443518676132128,16.224771535211804,12.868026308095544,3.3567452271162592
14914,3,-107.6,-96.07000000000001,-5.766000000000005,0,-1.6767378123909524,-1.8449875522832058,16.149091029035937,12.887037619679845,3.262053409356091
15024,3,-113.23,-101.80199999999999,-5.731999999999985,0,-1.7767800851152673,-1.9450298250075206,16.16368271805726,12.72591375369387,3.43776896436339
15133,3,-119.03,-107.56799999999998,-5.765999999999991,0,-1.87741576978526,-2.0456655096775136,16.358471664838287,12.898537543350232,3.459934121488057
15243,3,-124.75,-113.3,-5.7320000000000135,0,-1.9774580425095754,-2.145707782401829,16.282358817646603,13.040478316363808,3.2418805012827936
15353,3,-130.55,-119.03200000000001,-5.7320000000000135,0,-2.0775003152338907,-2.2457500551261442,15.977578263710502,12.617593462681596,3.3599848010289057
15463,3,-136.35,-124.782,-5.749999999999986,0,-2.177856747223564,-2.3461064871158177,16.14191492860893,12.572113077485744,3.5698018511231857
15572,3,-142.15,-130.56599999999997,-5.783999999999978,0,-2.278806591158916,-2.4470563310511695,16.275314965149253,12.89225464616163,3.3830603189876234
15682,3,-147.87,-136.334,-5.768000000000029,0,-2.3794771824139493,-2.547726922306203,16.18509867336986,12.751454651221025,3.4336440221488376
15791,3,-153.67,-142.118,-5.783999999999992,0,-2.480427026349301,-2.6486767662415547,16.23953813591066,12.588420308574314,3.651117827336347
15901,3,-159.38,-147.884,-5.765999999999991,0,-2.581062711019294,-2.7493124509115474,16.207323625185364,12.627742870997771,3.5795807541875933
16011,3,-165.1,-153.63400000000001,-5.750000000000028,0,-2.6814191430089687,-2.8496688829012222,16.23649487538636,12.755829755829124,3.4806651195572345
16120,3,-170.81,-159.36599999999999,-5.731999999999971,0,-2.781461415733283,-2.9497111556255367,16.276130323151904,12.801242211125215,3.474888112026688
16230,3,-176.44,-165.08,-5.714000000000027,0,-2.8811895291922394,-3.049439269084493,16.13104995924471,12.825647317585574,3.3054026416591364
16340,3,-182.24,-170.794,-5.713999999999999,0,-2.980917642651195,-3.1491673825434487,15.997725056925528,12.780554741635653,3.217170315289875
16449,3,-187.78,-176.474,-5.679999999999978,0,-3.080052344164473,-3.2483020840567267,16.06286773217019,12.765776105033783,3.297091627136407
16559,3,-193.41,-182.136,-5.662000000000006,0,-3.178872886412392,-3.3471226263046456,16.21122254701603,12.658888338273382,3.552334208742648
16669,3,-198.95,-187.76399999999998,-5.627999999999986,0,-3.2771000167146327,-3.4453497566068862,16.15470793310017,12.563451018319432,3.591256914780736
16779,3,-204.66,-193.408,-5.6440000000000055,0,-3.3756063996971926,-3.543856139589446,15.992495806772814,12.767090135566372,3.2254056712064423
16888,3,-210.46,-199.052,-5.6440000000000055,0,-3.474112782679753,-3.6423625225720064,16.067177651582547,12.871943216695712,3.1952344348868364
16999,3,-216.35,-204.766,-5.713999999999999,0,-3.5738408961387087,-3.7420906360309623,16.003124459062427,12.63309197644163,3.370032482620797
17109,3,-221.98,-210.48000000000002,-5.714000000000027,0,-3.673569009597665,-3.8418187494899185,15.942976164190272,12.835359457303204,3.107616706887068
17219,3,-227.52,-216.19400000000002,-5.713999999999999,0,-3.7732971230566212,-3.941546862948875,16.067071620637616,12.73605978068679,3.331011839950825
17329,3,-233.05,-221.87199999999999,-5.677999999999969,0,-3.8723969179848585,-4.040646657877112,16.371588140351168,12.734835186670807,3.63675295368036
