Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABC_smooth,∠BCD_smooth,θ_total,angle_smooth,dmotor,L_cm,cycle,L_rel_cm
12719,3,Flex,>>,-8,7.12,383,298,422,13.01056257530695,3.094643712665678,16.105206287972628,9.64,-1.2599999999999998,0.1682497398922534,0,0.0
12828,3,Flex,>>,-74,1.58,383,299,423,13.226806297901774,3.0505906053547114,16.277396903256484,7.625,-2.0150000000000006,0.13308135546456762,0,-0.03516838442768577
12938,3,Flex,>>,-140,-4.22,384,297,422,13.189761963064882,2.939869316006467,16.129631279071347,5.256,-2.3689999999999998,0.09173450548482197,0,-0.07651523440743142
13047,3,Flex,>>,-206,-9.93,384,297,423,12.917368602510138,2.97591266091792,15.893281263428058,1.0900000000000003,-4.166,0.0190240888467382,0,-0.1492256510455152
13158,3,Flex,>>,-272,-15.65,382,298,423,12.81131264986594,3.0732092615816304,15.884521911447571,-4.220000000000001,-5.3100000000000005,-0.07365289443416072,0,-0.24190263432641412
13267,3,Flex,>>,-338,-21.27,384,298,425,12.9520458253117,3.045919534175274,15.997965359486974,-9.898,-5.677999999999999,-0.17275268936239874,0,-0.34100242925465213
13377,3,Flex,>>,-404,-26.99,383,298,426,13.0081819664274,2.8540408615041373,15.862222827931538,-15.612,-5.714,-0.27248080282135473,0,-0.4407305427136081
13487,3,Flex,>>,-470,-32.7,382,299,427,12.887597375589287,2.9306424403608795,15.818239815950166,-21.308,-5.696,-0.3718947570149517,0,-0.5401444969072051
13596,3,Flex,>>,-536,-38.42,383,298,427,12.96116058785482,2.8883382420036425,15.849498829858463,-27.006,-5.698,-0.47134361779358863,0,-0.639593357685842
13705,3,Flex,>>,-602,-44.22,382,299,438,12.844468637699,3.137084049767927,15.981552687466927,-32.72,-5.713999999999999,-0.5710717312525446,0,-0.739321471144798
13816,3,Flex,>>,-668,-49.93,383,299,467,12.62902567975432,3.080454977188682,15.709480656943002,-38.452,-5.731999999999999,-0.6711140039768596,0,-0.839363743869113
13925,3,Flex,>>,-734,-55.82,381,298,486,12.801737038540931,2.964929677342236,15.766666715883167,-44.218,-5.766000000000005,-0.7717496886468527,0,-0.939999428539106
14035,3,Flex,>>,-800,-61.63,380,298,490,12.706703809069497,3.366751767617989,16.073455576687486,-50.004,-5.785999999999994,-0.8727344391672445,0,-1.0409841790594978
14144,3,Flex,>>,-866,-67.25,381,297,490,12.86546410942842,3.406028812436253,16.271492921864674,-55.769999999999996,-5.765999999999998,-0.9733701238372375,0,-1.141619863729491
14254,3,Flex,>>,-932,-73.05,379,297,496,12.872421408780076,3.3318459940573204,16.204267402837395,-61.536,-5.766000000000005,-1.0740058085072306,0,-1.242255548399484
14364,3,Flex,>>,-998,-78.77,381,298,500,12.778547954791163,3.233237129431483,16.011785084222645,-67.304,-5.768000000000001,-1.1746763997622636,0,-1.342926139654517
