Time(ms),MotorID,angle_smooth,dmotor,cycle,L_cm,L_rel_cm,SensorA2
32747,6,92.89333333333333,-0.9066666666666663,0,1.6212945198192659,0.0,547
32857,6,91.4075,-1.485833333333332,0,1.5953618360167168,-0.025932683802549095,546
32967,6,89.672,-1.7355000000000018,0,1.5650716468483552,-0.056222872970910664,548
33076,6,86.596,-3.0759999999999934,0,1.5113853190570097,-0.10990920076225619,546
33186,6,82.67600000000002,-3.9199999999999875,0,1.4429684123788322,-0.17832610744043365,544
33295,6,78.49,-4.186000000000021,0,1.369908929890349,-0.2513855899289168,546
33404,6,74.304,-4.185999999999993,0,1.2968494474018666,-0.3244450724173993,545
33514,6,70.1,-4.204000000000008,0,1.2234758056480248,-0.39781871417124104,541
33624,6,65.932,-4.167999999999992,0,1.1507304824249014,-0.4705640373943645,543
33733,6,61.818,-4.114000000000004,0,1.0789276369978547,-0.5423668828214112,540
33842,6,57.67,-4.147999999999996,0,1.0065313796251298,-0.614763140194136,540
33952,6,53.538,-4.132000000000005,0,0.9344143749327241,-0.6868801448865418,537
34062,6,49.459999999999994,-4.078000000000003,0,0.8632398480363953,-0.7580546717828706,537
34171,6,45.416000000000004,-4.04399999999999,0,0.7926587330857447,-0.8286357867335211,530
34280,6,41.388,-4.028000000000006,0,0.7223568708154131,-0.8989376490038528,527
34390,6,37.396,-3.9919999999999973,0,0.6526833270757995,-0.9686111927434664,522
34500,6,33.406,-3.990000000000002,0,0.5830446899212257,-1.03824982989804,521
34609,6,29.468,-3.937999999999999,0,0.514313623977689,-1.106980895841577,514
34719,6,25.494,-3.974,0,0.4449542395034344,-1.1763402803158316,510
34828,6,21.522,-3.9720000000000013,0,0.37562976161421957,-1.2456647582050464,510
34938,6,17.514,-4.007999999999999,0,0.3056769651942869,-1.3156175546249789,496
35047,6,13.504,-4.01,0,0.23568926218931424,-1.3856052576299516,492
35157,6,9.442,-4.061999999999999,0,0.1647939879733046,-1.4565005318459612,485
35266,6,5.434,-4.008,0,0.09484119155337187,-1.526453328265894,480
35376,6,1.4060000000000001,-4.0280000000000005,0,0.024539329283040277,-1.5967551905362256,470
35485,6,-2.586,-3.992,0,-0.04513421445657336,-1.6664287342758393,460
35595,6,-6.593999999999999,-4.007999999999999,0,-0.11508701087650608,-1.736381530695772,446
35705,6,-10.604,-4.01,0,-0.1850747138814787,-1.8063692337007446,433
35814,6,-14.684000000000001,-4.080000000000002,0,-0.2562841473628474,-1.8775786671821133,420
35924,6,-18.779999999999998,-4.0959999999999965,0,-0.32777283352453507,-1.949067353343801,413
36034,6,-22.894,-4.114000000000001,0,-0.3995756789515818,-2.0208701987708477,405
36143,6,-26.974,-4.080000000000002,0,-0.47078511243295046,-2.0920796322522164,398
36253,6,-31.088,-4.114000000000001,0,-0.5425879578599971,-2.163882477679263,392
36363,6,-35.148,-4.060000000000002,0,-0.6134483254909671,-2.234742845310233,391
36473,6,-39.226,-4.077999999999996,0,-0.6846228523872957,-2.3059173722065616,387
36583,6,-43.322,-4.096000000000004,0,-0.7561115385489835,-2.3774060583682495,384
36693,6,-47.4,-4.077999999999996,0,-0.8272860654453121,-2.448580585264578,380
36804,6,-51.46,-4.060000000000002,0,-0.898146433076282,-2.5194409528955477,377
36914,6,-55.504,-4.043999999999997,0,-0.9687275480269326,-2.5900220678461983,374
37023,6,-59.602,-4.097999999999999,0,-1.0402511407736603,-2.6615456605929264,368
37133,6,-63.629999999999995,-4.027999999999999,0,-1.1105530030439918,-2.7318475228632577,370
37244,6,-67.728,-4.097999999999999,0,-1.1820765957907193,-2.803371115609985,367
37353,6,-71.826,-4.097999999999999,0,-1.253600188537447,-2.874894708356713,369
37463,6,-75.94000000000001,-4.1140000000000185,0,-1.325403033964494,-2.9466975537837596,367
37573,6,-80.00200000000001,-4.061999999999998,0,-1.3962983081805036,-3.0175928279997697,367
37683,6,-84.08000000000001,-4.078000000000003,0,-1.4674728350768325,-3.088767354896098,368
37793,6,-88.08800000000001,-4.007999999999996,0,-1.5374256314967651,-3.158720151316031,370
37903,6,-92.062,-3.9739999999999895,0,-1.6067850159710195,-3.228079535790285,367
38013,6,-96.124,-4.061999999999998,0,-1.6776802901870294,-3.298974810006295,370
38122,6,-100.16799999999999,-4.043999999999997,0,-1.74826140513768,-3.369555924956946,367
38232,6,-104.26599999999999,-4.097999999999999,0,-1.8197849978844074,-3.441079517703673,367
38343,6,-108.398,-4.132000000000005,0,-1.8919020025768132,-3.513196522396079,370
38452,6,-112.546,-4.14800000000001,0,-1.9642982599495382,-3.5855927797688043,367
38562,6,-116.626,-4.079999999999998,0,-2.035507693430907,-3.656802213250173,366
38672,6,-120.63400000000001,-4.00800000000001,0,-2.10546048985084,-3.7267550096701054,364
38782,6,-124.624,-3.9899999999999807,0,-2.175099127005413,-3.7963936468246793,363
38891,6,-128.58,-3.9560000000000173,0,-2.244144352214309,-3.8654388720335753,364
39002,6,-132.536,-3.955999999999989,0,-2.3131895774232047,-3.9344840972424704,362
39112,6,-136.474,-3.937999999999988,0,-2.3819206433667413,-4.003215163186007,361
39222,6,-140.394,-3.920000000000016,0,-2.450337550044919,-4.071632069864185,370
39331,6,-143.76999999999998,-3.3759999999999764,0,-2.5092598655922473,-4.130554385411513,375
39441,6,-146.37199999999999,-2.602000000000004,0,-2.55467333272914,-4.175967852548406,376
39551,6,-148.166,-1.7940000000000111,0,-2.5859845395099184,-4.207279059329184,377
39661,6,-148.552,-0.3859999999999957,0,-2.5927215104226162,-4.214016030241882,376
63273,6,89.618,-1.0900000000000034,1,1.564129169052278,0.0,567
63383,6,86.542,-3.0759999999999934,1,1.5104428412609328,-0.0536863277913453,567
63495,6,82.604,-3.9380000000000024,1,1.441711775317396,-0.12241739373488203,570
63606,6,78.436,-4.167999999999992,1,1.3689664520942724,-0.1951627169580057,568
63717,6,74.268,-4.168000000000006,1,1.2962211288711487,-0.26790804018112935,566
63828,6,70.08200000000001,-4.185999999999993,1,1.2231616463826662,-0.34096752266961183,567
63940,6,65.914,-4.168000000000006,1,1.1504163231595423,-0.4137128458927357,566
64051,6,61.834,-4.079999999999998,1,1.0792068896781737,-0.48492227937410437,564
64162,6,57.702,-4.132000000000005,1,1.007089884985768,-0.5570392840665102,560
64273,6,53.60600000000001,-4.095999999999989,1,0.9356011988240804,-0.6285279702281976,562
64385,6,49.562,-4.044000000000011,1,0.8650200838734295,-0.6991090851788485,559
64497,6,45.553999999999995,-4.008000000000003,1,0.7950672874534968,-0.7690618815987813,558
64608,6,41.54600000000001,-4.0079999999999885,1,0.7251144910335643,-0.8390146780187138,552
64719,6,37.574,-3.9720000000000084,1,0.6557900131443494,-0.9083391559079287,549
64830,6,33.582,-3.9919999999999973,1,0.5861164694047357,-0.9780126996475423,547
64941,6,29.625999999999998,-3.956000000000003,1,0.51707124419584,-1.047057924856438,542
65053,6,25.669999999999998,-3.9559999999999995,1,0.4480260189869444,-1.1161031500653338,538
65164,6,21.696,-3.9739999999999966,1,0.3786666345126898,-1.1854625345395884,530
65275,6,17.722,-3.974,1,0.3093072500384351,-1.254821919013843,527
65387,6,13.714000000000002,-4.007999999999999,1,0.23935445361850238,-1.3247747154337757,527
