Time(ms),MotorID,angle_smooth,dmotor,cycle,L_cm,L_rel_cm,SensorA2
18072,3,9.64,-1.2599999999999998,0,0.1682497398922534,0.0,443
18182,3,7.6025,-2.0375000000000005,0,0.1326886563828689,-0.0355610835093845,442
18292,3,5.220000000000001,-2.3824999999999994,0,0.09110618695410401,-0.07714355293814938,440
18402,3,1.0360000000000003,-4.184,0,0.018081611050661257,-0.15016812884159214,442
18511,3,-4.326,-5.362,0,-0.07550294344127469,-0.24375268333352806,440
18621,3,-10.092,-5.766000000000001,0,-0.17613862811126774,-0.34438836800352113,443
18730,3,-15.894,-5.802,0,-0.27740263131197873,-0.4456523712042321,443
18840,3,-21.678,-5.784000000000001,0,-0.3783524752473308,-0.5466022151395842,443
18951,3,-27.48,-5.802,0,-0.4796164784480418,-0.6478662183402952,444
19060,3,-33.230000000000004,-5.7500000000000036,0,-0.5799729104377158,-0.7482226503299692,441
19170,3,-38.946,-5.715999999999994,0,-0.6797359304817115,-0.847985670373965,442
19279,3,-44.623999999999995,-5.677999999999997,0,-0.7788357254099495,-0.947085465302203,444
19389,3,-50.303999999999995,-5.68,0,-0.8779704269232275,-1.046220166815481,441
19499,3,-55.965999999999994,-5.661999999999999,0,-0.9767909691711464,-1.1450407090633998,443
19609,3,-61.644000000000005,-5.6780000000000115,0,-1.0758907640993847,-1.244140503991638,443
19718,3,-67.35799999999999,-5.713999999999984,0,-1.1756188775583403,-1.3438686174505936,447
19828,3,-73.072,-5.714000000000013,0,-1.2753469910172965,-1.4435967309095499,449
19937,3,-78.804,-5.731999999999999,0,-1.3753892637416114,-1.5436390036338647,457
20047,3,-84.554,-5.75,0,-1.4757456957312853,-1.6439954356235387,462
20156,3,-90.322,-5.768000000000001,0,-1.5764162869863183,-1.7446660268785716,467
20266,3,-96.07000000000001,-5.748000000000005,0,-1.6767378123909524,-1.8449875522832058,470
20376,3,-101.80199999999999,-5.731999999999985,0,-1.7767800851152673,-1.9450298250075206,475
20486,3,-107.53399999999999,-5.731999999999999,0,-1.8768223578395822,-2.0450720977318357,477
20595,3,-113.266,-5.7320000000000135,0,-1.9768646305638975,-2.145114370456151,483
20705,3,-118.98000000000002,-5.714000000000013,0,-2.0765927440228538,-2.2448424839151073,494
20814,3,-124.696,-5.71599999999998,0,-2.176355764066849,-2.3446055039591025,510
20924,3,-130.48200000000003,-5.78600000000003,0,-2.2773405145872414,-2.445590254479495,518
21034,3,-136.266,-5.783999999999963,0,-2.3782903585225927,-2.5465400984148463,522
21144,3,-142.03199999999998,-5.765999999999991,0,-2.478926043192586,-2.6471757830848395,531
21254,3,-147.782,-5.750000000000028,0,-2.5792824751822603,-2.747532215074514,537
21364,3,-153.53,-5.7479999999999905,0,-2.679604000586894,-2.8478537404791475,546
21474,3,-159.226,-5.695999999999998,0,-2.779017954780491,-2.9472676946727447,553
21584,3,-164.88799999999998,-5.661999999999978,0,-2.8778384970284097,-3.046088236920663,563
21693,3,-170.586,-5.698000000000036,0,-2.977287357807047,-3.1455370976993007,582
21803,3,-176.3,-5.713999999999999,0,-3.0770154712660034,-3.245265211158257,588
21913,3,-182.014,-5.713999999999999,0,-3.176743584724959,-3.3449933246172128,598
22022,3,-187.746,-5.731999999999999,0,-3.276785857449274,-3.4450355973415276,607
22132,3,-193.494,-5.7479999999999905,0,-3.377107382853908,-3.5453571227461618,621
22241,3,-199.226,-5.731999999999999,0,-3.477149655578223,-3.6453993954704766,625
22351,3,-204.97600000000003,-5.750000000000028,0,-3.5775060875678975,-3.745755827460151,629
22461,3,-210.72600000000003,-5.75,0,-3.6778625195575714,-3.846112259449825,637
22570,3,-216.49200000000002,-5.765999999999991,0,-3.778498204227564,-3.9467479441198177,643
22680,3,-222.27799999999996,-5.7859999999999445,0,-3.8794829547479552,-4.047732694640208,655
22790,3,-228.06199999999998,-5.78400000000002,0,-3.9804327986833075,-4.148682538575561,669
22900,3,-233.82800000000003,-5.766000000000048,0,-4.0810684833533015,-4.249318223245555,738
23011,3,-239.596,-5.767999999999972,0,-4.181739074608334,-4.349988814500588,713
23121,3,-245.36400000000003,-5.768000000000029,0,-4.2824096658633675,-4.450659405755621,688
23231,3,-251.096,-5.731999999999971,0,-4.382451938587682,-4.5507016784799355,704
23341,3,-256.758,-5.661999999999978,0,-4.4812724808356,-4.649522220727854,732
23451,3,-262.40199999999993,-5.643999999999949,0,-4.579778863818159,-4.748028603710413,703
23561,3,-268.02799999999996,-5.626000000000033,0,-4.677971087535361,-4.846220827427614,719
23671,3,-273.58399999999995,-5.555999999999983,0,-4.774941580776166,-4.9431913206684195,712
23780,3,-279.12199999999996,-5.538000000000011,0,-4.871597914751612,-5.039847654643865,709
23890,3,-284.678,-5.55600000000004,0,-4.968568407992417,-5.136818147884671,709
23999,3,-290.27,-5.5919999999999845,0,-5.0661672197639405,-5.234416959656194,706
24109,3,-295.79,-5.520000000000039,0,-5.162509394474028,-5.330759134366281,762
24219,3,-301.294,-5.503999999999962,0,-5.258572316503795,-5.426822056396048,709
24329,3,-306.832,-5.538000000000011,0,-5.3552286504792415,-5.523478390371495,717
24440,3,-312.316,-5.4839999999999804,0,-5.45094250665861,-5.619192246550863,703
24550,3,-317.732,-5.416000000000054,0,-5.545469538946624,-5.7137192788388775,729
24659,3,-322.392,-4.659999999999968,0,-5.626801882089559,-5.795051621981813,744
24769,3,-325.978,-3.5860000000000127,0,-5.689389389066076,-5.857639128958329,748
24880,3,-327.63,-1.6519999999999868,0,-5.718222228309021,-5.886471968201275,743
48622,3,5.220000000000001,-1.5300000000000011,1,0.09110618695410401,0.0,456
48731,3,1.0360000000000007,-4.184,1,0.018081611050661268,-0.07302457590344275,456
48840,3,-4.325999999999999,-5.361999999999999,1,-0.07550294344127467,-0.16660913039537867,455
48951,3,-10.057999999999998,-5.731999999999999,1,-0.17554521616558963,-0.26665140311969365,454
49060,3,-15.824000000000002,-5.766000000000004,1,-0.2761809008355827,-0.3672870877896867,456
49170,3,-21.538,-5.713999999999999,1,-0.3759090142945387,-0.4670152012486427,454
49280,3,-27.27,-5.731999999999999,1,-0.47595128701885364,-0.5670574739729577,454
49389,3,-32.968,-5.698000000000004,1,-0.5754001477974906,-0.6665063347515946,453
49499,3,-38.7,-5.731999999999999,1,-0.6754424205218056,-0.7665486074759096,452
49608,3,-44.414,-5.713999999999999,1,-0.7751705339807615,-0.8662767209348655,453
49718,3,-50.198,-5.783999999999999,1,-0.8761203779161135,-0.9672265648702175,454
49827,3,-55.965999999999994,-5.767999999999994,1,-0.9767909691711464,-1.0678971561252504,452
49937,3,-61.75,-5.784000000000006,1,-1.0777408131064985,-1.1688470000606026,453
50046,3,-67.51599999999999,-5.765999999999991,1,-1.1783764977764914,-1.2694826847305956,452
50156,3,-73.28399999999999,-5.768000000000001,1,-1.2790470890315244,-1.3701532759856285,454
50266,3,-79.016,-5.7320000000000135,1,-1.3790893617558395,-1.4701955487099436,454
50376,3,-84.764,-5.7479999999999905,1,-1.4794108871604734,-1.5705170741145775,457
50486,3,-90.514,-5.75,1,-1.5797673191501473,-1.6708735061042514,458
50595,3,-96.264,-5.75,1,-1.6801237511398213,-1.7712299380939254,461
50705,3,-101.978,-5.713999999999999,1,-1.7798518645987773,-1.8709580515528814,463
50814,3,-107.71,-5.731999999999999,1,-1.8798941373230922,-1.9710003242771963,466
50924,3,-113.426,-5.716000000000008,1,-1.9796571573670882,-2.0707633443211924,473
51034,3,-119.14000000000001,-5.714000000000013,1,-2.0793852708260445,-2.1704914577801486,481
51144,3,-124.854,-5.713999999999984,1,-2.1791133842850003,-2.2702195712391045,491
51253,3,-130.62,-5.766000000000005,1,-2.2797490689549935,-2.3708552559090976,494
51363,3,-136.37,-5.75,1,-2.3801055009446674,-2.4712116878987715,505
51473,3,-142.136,-5.765999999999991,1,-2.48074118561466,-2.5718473725687643,513
51582,3,-147.884,-5.7479999999999905,1,-2.581062711019294,-2.672168897973398,524
51692,3,-153.634,-5.75,1,-2.681419143008968,-2.7725253299630723,533
51802,3,-159.35,-5.716000000000008,1,-2.781182163052964,-2.872288350007068,546
51911,3,-165.064,-5.713999999999999,1,-2.88091027651192,-2.972016463466024,553
52021,3,-170.778,-5.713999999999999,1,-2.980638389970876,-3.07174457692498,565
52131,3,-176.476,-5.6980000000000075,1,-3.080087250749513,-3.171193437703617,585
52240,3,-182.19,-5.713999999999999,1,-3.1798153642084688,-3.270921551162573,603
52350,3,-187.92,-5.72999999999999,1,-3.279822730347744,-3.370928917301848,602
52460,3,-193.63400000000001,-5.714000000000027,1,-3.3795508438067,-3.4706570307608042,606
52571,3,-199.348,-5.713999999999999,1,-3.4792789572656564,-3.5703851442197605,619
52681,3,-205.11399999999998,-5.765999999999963,1,-3.5799146419356487,-3.671020828889753,628
52790,3,-210.846,-5.732000000000028,1,-3.679956914659964,-3.771063101614068,633
52900,3,-216.57800000000003,-5.732000000000028,1,-3.7799991873842798,-3.871105374338384,641
53009,3,-222.346,-5.767999999999972,1,-3.880669778639312,-3.971775965593416,653
53119,3,-228.11399999999998,-5.767999999999972,1,-3.9813403698943444,-4.0724465568484485,669
53228,3,-233.86399999999998,-5.75,1,-4.081696801884019,-4.172802988838122,679
53338,3,-239.648,-5.78400000000002,1,-4.1826466458193705,-4.273752832773474,686
53447,3,-245.416,-5.768000000000001,1,-4.283317237074404,-4.374423424028508,694
53557,3,-251.18200000000002,-5.7660000000000196,1,-4.383952921744397,-4.475059108698501,702
53667,3,-256.914,-5.731999999999971,1,-4.4839951944687115,-4.575101381422815,713
53776,3,-262.628,-5.713999999999999,1,-4.583723307927667,-4.674829494881771,733
53886,3,-268.28999999999996,-5.661999999999978,1,-4.682543850175586,-4.7736500371296895,724
53996,3,-273.934,-5.644000000000062,1,-4.7810502331581475,-4.872156420112251,766
54105,3,-279.56,-5.625999999999976,1,-4.879242456875348,-4.9703486438294515,733
54215,3,-285.204,-5.6440000000000055,1,-4.977748839857908,-5.068855026812011,780
54324,3,-290.848,-5.6440000000000055,1,-5.076255222840468,-5.167361409794571,739
54434,3,-296.456,-5.608000000000004,1,-5.17413328729231,-5.265239474246414,762
54544,3,-302.012,-5.555999999999983,1,-5.271103780533115,-5.362209967487218,751
54653,3,-307.534,-5.521999999999991,1,-5.367480861828241,-5.458587048782345,747
54763,3,-313.036,-5.5020000000000095,1,-5.46350887727297,-5.5546150642270735,749
54872,3,-318.452,-5.415999999999997,1,-5.558035909560982,-5.649142096515086,766
54982,3,-323.09399999999994,-4.641999999999939,1,-5.639054093438558,-5.730160280392662,789
55091,3,-326.68,-3.5860000000000696,1,-5.701641600415076,-5.79274778736918,785
