Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABC_smooth,∠BCD_smooth,θ_total,L_est_cm,theta_from_R(compose),phase_used
12471,1,Flex,>>,2916,256.35,390,303,428,13.215789595705404,2.8892018781658413,16.104991473871245,-0.6195897425040539,25.607569144559974,Flex
12485,2,Flex,>>,1140,100.22,388,302,429,13.19057092146311,2.941645567864544,16.132216489327654,-0.640175063666649,25.563545967501362,Flex
12500,3,Flex,>>,124,10.9,389,302,427,13.19057092146311,2.941645567864544,16.132216489327654,-0.5989662860354183,25.652350472533442,Flex
12580,1,Flex,>>,2877,256.35,388,300,427,12.950234221700711,3.0536828140267254,16.003917035727437,-0.5989662860354183,25.652350472533442,Flex
12595,2,Flex,>>,1076,100.22,386,299,426,12.950234221700711,3.0536828140267254,16.003917035727437,-0.5783046942607426,25.6978937082218,Flex
12609,3,Flex,>>,58,10.9,385,299,423,12.950234221700711,3.0536828140267254,16.003917035727437,-0.5160911071004739,25.83913253377842,Flex
12690,1,Flex,>>,2838,254.15,385,299,425,12.978996210796527,3.0844642645183304,16.06346047531486,-0.5576049671800267,25.744202615371883,Flex
12704,2,Flex,>>,1012,96.53,384,299,422,12.978996210796527,3.0844642645183304,16.06346047531486,-0.4952769741016372,25.887761107262456,Flex
12719,3,Flex,>>,-8,7.12,383,298,422,13.01056257530695,3.094643712665678,16.105206287972628,-0.4952769741016372,25.887761107262456,Flex
12799,1,Flex,>>,2799,250.81,386,301,426,13.21185290898639,3.1186349303651086,16.3304878393515,-0.5783046942607426,25.6978937082218,Flex
12814,2,Flex,>>,948,90.99,385,299,426,13.226806297901774,3.0505906053547114,16.277396903256484,-0.5783046942607426,25.6978937082218,Flex
12828,3,Flex,>>,-74,1.58,383,299,423,13.226806297901774,3.0505906053547114,16.277396903256484,-0.5160911071004739,25.83913253377842,Flex
12909,1,Flex,>>,2760,247.47,387,301,427,13.22883173050406,2.9169506318631493,16.14578236236721,-0.5989662860354183,25.652350472533442,Flex
12923,2,Flex,>>,884,85.36,383,298,424,13.189761963064882,2.939869316006467,16.129631279071347,-0.5368671047932705,25.79128096467729,Flex
12938,3,Flex,>>,-140,-4.22,384,297,422,13.189761963064882,2.939869316006467,16.129631279071347,-0.4952769741016372,25.887761107262456,Flex
13018,1,Flex,>>,2721,244.04,387,301,427,13.00842098549478,2.958769680006223,15.967190665501004,-0.5989662860354183,25.652350472533442,Flex
13033,2,Flex,>>,820,79.74,383,299,421,13.00842098549478,2.958769680006223,15.967190665501004,-0.47442470579676016,25.937170476663354,Flex
13047,3,Flex,>>,-206,-9.93,384,297,423,12.917368602510138,2.97591266091792,15.893281263428058,-0.5160911071004739,25.83913253377842,Flex
13128,1,Flex,>>,2682,240.53,387,301,427,12.803372283666173,3.084983799735722,15.888356083401895,-0.5989662860354183,25.652350472533442,Flex
13143,2,Flex,>>,756,74.11,385,299,425,12.81131264986594,3.0732092615816304,15.884521911447571,-0.5576049671800267,25.744202615371883,Flex
13158,3,Flex,>>,-272,-15.65,382,298,423,12.81131264986594,3.0732092615816304,15.884521911447571,-0.5160911071004739,25.83913253377842,Flex
13238,1,Flex,>>,2643,237.1,387,300,426,12.90078749365288,3.0923641513639875,15.993151645016868,-0.5783046942607426,25.6978937082218,Flex
13253,2,Flex,>>,692,68.48,383,298,427,12.9520458253117,3.045919534175274,15.997965359486974,-0.5989662860354183,25.652350472533442,Flex
