Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABC_smooth,∠BCD_smooth,θ_total,angle_smooth,dmotor,cycle
27390,6,Extend,>>,960,90.11,382,298,584,36.48888440948524,26.35825418522079,62.847138594706024,91.93,-0.9099999999999966,0
27500,6,Extend,>>,912,85.98,382,299,584,36.42033961205775,26.18979656445264,62.610136176510395,90.4425,-1.4875000000000114,0
27610,6,Extend,>>,864,81.76,383,298,584,36.738135510946805,25.73849258603816,62.47662809698497,88.706,-1.7364999999999924,0
27720,6,Extend,>>,816,77.63,381,298,583,36.69973477201448,25.50937163297334,62.20910640498782,85.66400000000002,-3.0419999999999874,0
27829,6,Extend,>>,768,73.41,384,298,581,36.3120845950903,25.706295086817747,62.018379681908044,81.77799999999999,-3.886000000000024,0
27939,6,Extend,>>,720,69.27,382,298,582,36.23387395349012,25.836040238043896,62.06991419153401,77.60999999999999,-4.168000000000006,0
28049,6,Extend,>>,672,65.23,381,298,580,36.31985954199119,25.64849677585032,61.96835631784151,73.46,-4.1499999999999915,0
28159,6,Extend,>>,624,61.1,382,298,580,36.30355674707577,25.55157322413462,61.85512997121039,69.328,-4.131999999999991,0
28269,6,Extend,>>,576,56.97,383,298,576,36.27671759746026,25.536544718268026,61.81326231572829,65.196,-4.132000000000005,0
28380,6,Extend,>>,528,53.1,383,298,576,35.88568775287071,25.749493453734445,61.635181206605154,61.134,-4.061999999999998,0
28490,6,Extend,>>,480,48.97,382,298,570,35.89888718626518,25.538448308761254,61.43733549502643,57.074,-4.060000000000002,0
28599,6,Extend,>>,432,45.01,382,298,570,36.001535003807895,25.53707065672473,61.538605660532625,53.029999999999994,-4.044000000000004,0
28709,6,Extend,>>,384,41.05,381,297,568,36.17601501322572,25.606182694367348,61.78219770759307,49.019999999999996,-4.009999999999998,0
28819,6,Extend,>>,336,37.1,381,297,562,36.40250353665392,25.552619460716915,61.955122997370836,45.046,-3.9739999999999966,0
28929,6,Extend,>>,288,33.14,381,299,559,36.150125450510046,25.691140046822674,61.84126549733272,41.053999999999995,-3.9920000000000044,0
29038,6,Extend,>>,240,29.1,381,298,551,36.2209066024296,25.487778496890314,61.708685099319915,37.08,-3.9739999999999966,0
29148,6,Extend,>>,192,25.05,381,298,539,36.25177622165852,25.52122384102399,61.773000062682506,33.088,-3.9919999999999973,0
29257,6,Extend,>>,144,21.1,381,296,531,36.339383470370976,25.477541417721483,61.81692488809246,29.098000000000003,-3.9899999999999984,0
29367,6,Extend,>>,96,16.97,379,297,514,36.32004907215529,25.29467363174903,61.61472270390432,25.072,-4.026000000000003,0
29478,6,Extend,>>,48,12.92,379,296,495,36.510317885971645,25.211081277535072,61.72139916350672,21.028,-4.0440000000000005,0
29588,6,Extend,>>,0,8.62,380,296,479,36.6286717745288,25.04447489803236,61.67314667256116,16.932,-4.096,0
29697,6,Extend,>>,-48,4.48,379,298,471,36.261089184319054,25.271929000141355,61.53301818446041,12.818000000000001,-4.113999999999997,0
29807,6,Extend,>>,-96,0.53,378,296,461,36.18935543596613,25.31681866872483,61.506174104690956,8.704,-4.114000000000001,0
29917,6,Extend,>>,-144,-3.6,379,296,451,36.26510657830278,25.032098703650988,61.297205281953765,4.59,-4.114000000000001,0
30027,6,Extend,>>,-192,-7.47,378,294,439,36.1587062547149,25.2200440599023,61.3787503146172,0.5119999999999999,-4.078,0
