Time(ms),MotorID,SensorA2,θ_total,cycle
27390,6,584,62.847138594706024,0
27500,6,584,62.610136176510395,0
27610,6,584,62.47662809698497,0
27720,6,583,62.20910640498782,0
27829,6,581,62.018379681908044,0
27939,6,582,62.06991419153401,0
28049,6,580,61.96835631784151,0
28159,6,580,61.85512997121039,0
28269,6,576,61.81326231572829,0
28380,6,576,61.635181206605154,0
28490,6,570,61.43733549502643,0
28599,6,570,61.538605660532625,0
28709,6,568,61.78219770759307,0
28819,6,562,61.955122997370836,0
28929,6,559,61.84126549733272,0
29038,6,551,61.708685099319915,0
29148,6,539,61.773000062682506,0
29257,6,531,61.81692488809246,0
29367,6,514,61.61472270390432,0
29478,6,495,61.72139916350672,0
29588,6,479,61.67314667256116,0
29697,6,471,61.53301818446041,0
29807,6,461,61.506174104690956,0
29917,6,451,61.297205281953765,0
30027,6,439,61.3787503146172,0
30136,6,427,61.334815396893895,0
30246,6,410,61.24321297959539,0
30355,6,399,61.35791473728308,0
30465,6,392,61.38428679066329,0
30575,6,383,61.325620783535136,0
30685,6,382,61.0640473415468,0
30795,6,377,61.151263106276424,0
30905,6,377,61.24917152203857,0
31015,6,375,61.17246021065574,0
31125,6,372,61.32101702031021,0
31235,6,366,61.34043269424896,0
31345,6,363,61.1414546813176,0
31455,6,364,60.911274011881105,0
31565,6,362,60.86478056527059,0
31675,6,360,61.052108287134445,0
31785,6,363,61.137772560648905,0
31895,6,359,61.19230002472962,0
32005,6,359,61.142848230670566,0
32115,6,360,61.155205596955554,0
32225,6,360,60.988520438312776,0
32335,6,360,60.68631133172305,0
32445,6,359,60.29261977448701,0
32555,6,358,59.86815452354026,0
32665,6,356,59.543942833138075,0
32775,6,356,59.2510195938184,0
32886,6,356,57.71730488340839,0
32997,6,356,56.13936884687453,0
33107,6,357,54.282879768604275,0
33217,6,358,50.91227847039784,0
33327,6,356,47.525735245412214,0
33437,6,360,43.760762911942294,0
33547,6,360,39.38677463718703,0
33657,6,360,36.659743538218834,0
33769,6,357,33.877309869773924,0
33879,6,364,31.102443687987126,0
33989,6,371,28.574694516425744,0
34098,6,372,24.535912413245203,0
34210,6,372,19.157170015745336,0
34320,6,371,15.541713955345775,0
57950,6,574,60.43045509473103,1
58059,6,571,60.34558278330579,1
58170,6,572,60.23517910781756,1
58279,6,573,59.852827530713434,1
58389,6,570,60.064025253664184,1
58498,6,570,60.07043217210321,1
58608,6,571,59.94359414271326,1
58718,6,568,60.13505000593658,1
58827,6,564,60.059185305948716,1
58938,6,561,59.91995242921018,1
59048,6,559,59.73963922566813,1
59157,6,556,59.569565670911466,1
59267,6,553,59.75712425964324,1
59376,6,552,59.76323225269353,1
59486,6,549,59.723722971768375,1
59595,6,538,59.6905632122186,1
59705,6,530,59.50337480574605,1
59815,6,516,59.48312185836382,1
59924,6,500,59.496814386724516,1
60034,6,480,59.49735341931637,1
60144,6,464,59.34688064696557,1
60253,6,458,59.41068944535239,1
60363,6,445,59.48472671309578,1
60473,6,440,59.50026642562411,1
60583,6,429,59.49337106445765,1
60694,6,416,59.482240918535396,1
60804,6,402,59.51835461487845,1
60914,6,396,59.614839934175095,1
61024,6,391,59.60386153908141,1
61135,6,386,59.49305663816472,1
61245,6,381,59.536300170404076,1
61355,6,375,59.491928261701105,1
61464,6,379,59.42512704622534,1
61574,6,373,59.45911383982664,1
61685,6,369,59.43811658879753,1
61796,6,371,59.61456873439022,1
61906,6,368,59.5254438133533,1
62016,6,369,59.29010335965203,1
62126,6,363,59.36780417823362,1
62235,6,364,59.18791750200845,1
62345,6,362,59.086359850569195,1
62455,6,363,59.17767031106544,1
62566,6,361,59.117127186216855,1
62676,6,359,58.94438011686917,1
62786,6,358,58.87105519207003,1
62896,6,357,58.905663250539455,1
63007,6,357,58.346773477230506,1
63116,6,360,57.59149626443488,1
63226,6,356,57.09301900220237,1
63337,6,359,56.40053070141669,1
63447,6,359,55.047099533910675,1
63556,6,356,53.74587446017672,1
63666,6,360,51.92177489462471,1
63777,6,358,48.599779149276685,1
