Time(ms),MotorID,SensorA2,θ_total,cycle
12719,3,422,16.105206287972628,0
12828,3,423,16.277396903256484,0
12938,3,422,16.129631279071347,0
13047,3,423,15.893281263428058,0
13158,3,423,15.884521911447571,0
13267,3,425,15.997965359486974,0
13377,3,426,15.862222827931538,0
13487,3,427,15.818239815950166,0
13596,3,427,15.849498829858463,0
13705,3,438,15.981552687466927,0
13816,3,467,15.709480656943002,0
13925,3,486,15.766666715883167,0
14035,3,490,16.073455576687486,0
14144,3,490,16.271492921864674,0
14254,3,496,16.204267402837395,0
14364,3,500,16.011785084222645,0
14474,3,504,15.820112370248193,0
14584,3,508,16.19937304400779,0
14694,3,512,16.325765465300506,0
14804,3,521,16.224771535211804,0
14914,3,522,16.149091029035937,0
15024,3,525,16.16368271805726,0
15133,3,532,16.358471664838287,0
15243,3,538,16.282358817646603,0
15353,3,548,15.977578263710502,0
15463,3,567,16.14191492860893,0
15572,3,570,16.275314965149253,0
15682,3,584,16.18509867336986,0
15791,3,590,16.23953813591066,0
15901,3,598,16.207323625185364,0
16011,3,601,16.23649487538636,0
16120,3,610,16.276130323151904,0
16230,3,623,16.13104995924471,0
16340,3,638,15.997725056925528,0
16449,3,638,16.06286773217019,0
16559,3,636,16.21122254701603,0
16669,3,651,16.15470793310017,0
16779,3,654,15.992495806772814,0
16888,3,659,16.067177651582547,0
16999,3,660,16.003124459062427,0
17109,3,659,15.942976164190272,0
17219,3,660,16.067071620637616,0
17329,3,665,16.371588140351168,0
17438,3,677,16.32762979210386,0
17549,3,697,16.605497787424138,0
17659,3,707,17.738066559449948,0
17768,3,708,20.45828044277121,0
17878,3,711,23.938873730815093,0
17988,3,713,24.90541362353975,0
18098,3,724,25.34223069020667,0
18208,3,736,25.989328203386975,0
18318,3,742,27.25017586666376,0
18428,3,754,28.190944311514336,0
18537,3,760,29.570984970380152,0
18647,3,767,30.674180118476038,0
18758,3,760,31.506893127366062,0
18869,3,757,32.54698405631272,0
18979,3,768,33.40365003018246,0
19089,3,763,34.44497955057506,0
19200,3,782,35.6851571441932,0
19309,3,795,37.97791355887219,0
19419,3,793,41.89549476219673,0
19530,3,789,43.516494419759404,0
43285,3,426,13.501029081299336,1
43395,3,427,13.777555574297708,1
43505,3,426,14.198319247626056,1
43614,3,424,14.560519963287408,1
43724,3,426,14.540040730834821,1
43833,3,428,14.641163044482525,1
43943,3,427,14.692554052843061,1
44052,3,428,14.691136107434943,1
44162,3,426,14.858761804660912,1
44271,3,426,14.818120227367384,1
44381,3,428,14.83757130459005,1
44491,3,429,14.735929624380692,1
44600,3,431,14.626434195336266,1
44710,3,438,14.75407630107207,1
44820,3,444,14.933627468136407,1
44930,3,452,14.826481967302296,1
45040,3,460,14.469515844554316,1
45149,3,474,14.606267850713309,1
45260,3,483,14.561793625184308,1
45369,3,485,14.533680875439346,1
45479,3,492,14.760672577059111,1
45588,3,506,15.002927255339898,1
45698,3,526,14.910808574213055,1
45808,3,540,14.834625420150688,1
45919,3,550,15.164709948088028,1
46028,3,563,15.257438468851182,1
46138,3,568,15.167034308564107,1
46247,3,583,14.996591527085922,1
46357,3,606,15.214854903800276,1
46468,3,619,15.360508080210847,1
46579,3,624,15.089140326102417,1
46689,3,631,14.894810990515879,1
46799,3,637,14.890835384847975,1
46908,3,648,14.976650542228274,1
47018,3,671,15.143199292685317,1
47128,3,686,15.338667076979325,1
47238,3,689,15.29894617121669,1
47348,3,693,15.283386777177663,1
47458,3,698,15.33541279903549,1
47568,3,700,15.13927311019109,1
47678,3,711,15.134990090746046,1
47789,3,723,15.054818447613638,1
47899,3,722,15.14433250512815,1
48008,3,723,15.381552944743937,1
48118,3,722,15.59208466083691,1
48228,3,732,15.991198173694183,1
48338,3,739,16.148114804312208,1
48450,3,739,16.395931956113184,1
48560,3,751,16.869016026161727,1
48669,3,747,17.559492680550317,1
48779,3,757,18.88647408922718,1
48889,3,754,20.043910244920774,1
48999,3,755,21.5687435112859,1
49110,3,761,24.72074757347181,1
49221,3,767,26.294615481816653,1
49330,3,763,27.201484200504964,1
49441,3,764,28.685403689711038,1
49550,3,777,31.900686258036895,1
49660,3,794,34.57438730360759,1
49770,3,788,37.04279543935929,1
49880,3,786,40.84311943519896,1
73676,3,451,24.39644146425268,2
73787,3,450,23.684022118749645,2
73898,3,452,23.53448336525353,2
74009,3,451,23.284114258578334,2
74122,3,454,22.938654890384342,2
74233,3,452,22.77880098191088,2
74343,3,449,22.681518363086866,2
74455,3,450,22.790574633632694,2
74566,3,450,22.74628050576645,2
74678,3,449,22.651934023557615,2
74789,3,448,22.682217161678466,2
74899,3,451,22.865682658664177,2
75010,3,452,22.845369392718087,2
75121,3,454,22.75320024420098,2
75233,3,455,22.823009845408833,2
75344,3,475,22.721174173916165,2
75455,3,501,22.59445771977907,2
75566,3,516,22.81914619903216,2
75676,3,533,23.009009096386592,2
75788,3,544,23.063360270725845,2
75899,3,557,22.978486342237538,2
