Time(ms),MotorID,angle_smooth,dmotor,cycle,L_cm,L_rel_cm,SensorA2
27390,6,91.93,-0.9099999999999966,0,1.6044811813583872,0.0,584
27500,6,90.4425,-1.4875000000000114,0,1.5785194087349714,-0.025961772623415813,584
27610,6,88.706,-1.7364999999999924,0,1.54821176627409,-0.05626941508429728,584
27720,6,85.66400000000002,-3.0419999999999874,0,1.4951188504284227,-0.1093623309299645,583
27829,6,81.77799999999999,-3.886000000000024,0,1.4272953556959227,-0.17718582566246455,581
27939,6,77.60999999999999,-4.168000000000006,0,1.3545500324727988,-0.24993114888558843,582
28049,6,73.46,-4.1499999999999915,0,1.2821188685150344,-0.3223623128433528,580
28159,6,69.328,-4.131999999999991,0,1.2100018638226289,-0.3944793175357584,580
28269,6,65.196,-4.132000000000005,0,1.137884859130223,-0.46659632222816416,576
28380,6,61.134,-4.061999999999998,0,1.0669895849142135,-0.5374915964441738,576
28490,6,57.074,-4.060000000000002,0,0.9961292172832437,-0.6083519640751436,570
28599,6,53.029999999999994,-4.044000000000004,0,0.9255481023325929,-0.6789330790257944,570
28709,6,49.019999999999996,-4.009999999999998,0,0.8555603993276203,-0.748920782030767,568
28819,6,45.046,-3.9739999999999966,0,0.7862010148533657,-0.8182801665050216,562
28929,6,41.053999999999995,-3.9920000000000044,0,0.7165274711137519,-0.8879537102446353,559
29038,6,37.08,-3.9739999999999966,0,0.6471680866394973,-0.9573130947188899,551
29148,6,33.088,-3.9919999999999973,0,0.5774945428998838,-1.0269866384585034,539
29257,6,29.098000000000003,-3.9899999999999984,0,0.50785590574531,-1.0966252756130772,531
29367,6,25.072,-4.026000000000003,0,0.4375889500600183,-1.166892231298369,514
29478,6,21.028,-4.0440000000000005,0,0.3670078351093676,-1.2374733462490197,495
29588,6,16.932,-4.096,0,0.29551914894767983,-1.3089620324107074,479
29697,6,12.818000000000001,-4.113999999999997,0,0.22371630352063318,-1.3807648778377541,471
29807,6,8.704,-4.114000000000001,0,0.15191345809358645,-1.4525677232648009,461
29917,6,4.59,-4.114000000000001,0,0.08011061266653972,-1.5243705686918476,451
30027,6,0.5119999999999999,-4.078,0,0.008936085770210966,-1.5955450955881763,439
30136,6,-3.568,-4.08,0,-0.06227334771115768,-1.666754529069545,427
30246,6,-7.645999999999999,-4.077999999999999,0,-0.13344787460748642,-1.7379290559658735,410
30355,6,-11.778,-4.1320000000000014,0,-0.20556487929989214,-1.8100460606582793,399
30465,6,-15.91,-4.132,0,-0.2776818839922978,-1.8821630653506851,392
30575,6,-20.078,-4.167999999999999,0,-0.3504272072154215,-1.9549083885738088,383
30685,6,-24.21,-4.1320000000000014,0,-0.4225442119078272,-2.0270253932662143,382
30795,6,-28.308,-4.097999999999999,0,-0.4940678046545548,-2.098548986012942,377
30905,6,-32.352,-4.043999999999997,0,-0.5646489196052055,-2.1691301009635926,377
31015,6,-36.343999999999994,-3.9919999999999973,0,-0.634322463344819,-2.2388036447032063,375
31125,6,-40.388,-4.044000000000004,0,-0.7049035782954698,-2.309384759653857,372
31235,6,-44.467999999999996,-4.079999999999998,0,-0.7761130117768384,-2.3805941931352255,366
31345,6,-48.54600000000001,-4.07800000000001,0,-0.8472875386731673,-2.4517687200315548,363
31455,6,-52.626,-4.079999999999991,0,-0.9184969721545359,-2.522978153512923,364
31565,6,-56.74000000000001,-4.114000000000011,0,-0.9902998175815827,-2.59478099893997,362
31675,6,-60.818,-4.077999999999989,0,-1.0614743444779113,-2.6659555258362984,360
31785,6,-64.84400000000001,-4.0260000000000105,0,-1.1317413001632033,-2.7362224815215903,363
31895,6,-68.958,-4.11399999999999,0,-1.2035441455902498,-2.808025326948637,359
32005,6,-73.09,-4.132000000000005,0,-1.2756611502826556,-2.880142331641043,359
32115,6,-77.204,-4.11399999999999,0,-1.347463995709702,-2.9519451770680893,360
32225,6,-81.284,-4.0800000000000125,0,-1.418673429191071,-3.023154610549458,360
32335,6,-85.328,-4.043999999999997,0,-1.4892545441417215,-3.0937357255001086,360
32445,6,-89.30199999999999,-3.9739999999999895,0,-1.5586139286159761,-3.163095109974363,359
32555,6,-93.258,-3.956000000000003,0,-1.6276591538248717,-3.232140335183259,358
32665,6,-97.28399999999999,-4.025999999999996,0,-1.6979261095101634,-3.3024072908685507,356
32775,6,-101.328,-4.044000000000011,0,-1.7685072244608142,-3.3729884058192017,356
