Time(ms),MotorID,angle_smooth,dmotor,cycle,L_cm,L_rel_cm,SensorA2
12719,3,9.64,-1.2599999999999998,0,0.1682497398922534,0.0,422
12828,3,7.625,-2.0150000000000006,0,0.13308135546456762,-0.03516838442768577,423
12938,3,5.256,-2.3689999999999998,0,0.09173450548482197,-0.07651523440743142,422
13047,3,1.0900000000000003,-4.166,0,0.0190240888467382,-0.1492256510455152,423
13158,3,-4.220000000000001,-5.3100000000000005,0,-0.07365289443416072,-0.24190263432641412,423
13267,3,-9.898,-5.677999999999999,0,-0.17275268936239874,-0.34100242925465213,425
13377,3,-15.612,-5.714,0,-0.27248080282135473,-0.4407305427136081,426
13487,3,-21.308,-5.696,0,-0.3718947570149517,-0.5401444969072051,427
13596,3,-27.006,-5.698,0,-0.47134361779358863,-0.639593357685842,427
13705,3,-32.72,-5.713999999999999,0,-0.5710717312525446,-0.739321471144798,438
13816,3,-38.452,-5.731999999999999,0,-0.6711140039768596,-0.839363743869113,467
13925,3,-44.218,-5.766000000000005,0,-0.7717496886468527,-0.939999428539106,486
14035,3,-50.004,-5.785999999999994,0,-0.8727344391672445,-1.0409841790594978,490
14144,3,-55.769999999999996,-5.765999999999998,0,-0.9733701238372375,-1.141619863729491,490
14254,3,-61.536,-5.766000000000005,0,-1.0740058085072306,-1.242255548399484,496
14364,3,-67.304,-5.768000000000001,0,-1.1746763997622636,-1.342926139654517,500
14474,3,-73.054,-5.75,0,-1.2750328317519375,-1.4432825716441908,504
14584,3,-78.768,-5.713999999999999,0,-1.3747609452108935,-1.5430106851031469,508
14694,3,-84.536,-5.768000000000001,0,-1.4754315364659265,-1.6436812763581798,512
14804,3,-90.304,-5.768000000000001,0,-1.5761021277209595,-1.7443518676132128,521
14914,3,-96.07000000000001,-5.766000000000005,0,-1.6767378123909524,-1.8449875522832058,522
15024,3,-101.80199999999999,-5.731999999999985,0,-1.7767800851152673,-1.9450298250075206,525
15133,3,-107.56799999999998,-5.765999999999991,0,-1.87741576978526,-2.0456655096775136,532
15243,3,-113.3,-5.7320000000000135,0,-1.9774580425095754,-2.145707782401829,538
15353,3,-119.03200000000001,-5.7320000000000135,0,-2.0775003152338907,-2.2457500551261442,548
15463,3,-124.782,-5.749999999999986,0,-2.177856747223564,-2.3461064871158177,567
15572,3,-130.56599999999997,-5.783999999999978,0,-2.278806591158916,-2.4470563310511695,570
15682,3,-136.334,-5.768000000000029,0,-2.3794771824139493,-2.547726922306203,584
15791,3,-142.118,-5.783999999999992,0,-2.480427026349301,-2.6486767662415547,590
15901,3,-147.884,-5.765999999999991,0,-2.581062711019294,-2.7493124509115474,598
16011,3,-153.63400000000001,-5.750000000000028,0,-2.6814191430089687,-2.8496688829012222,601
16120,3,-159.36599999999999,-5.731999999999971,0,-2.781461415733283,-2.9497111556255367,610
16230,3,-165.08,-5.714000000000027,0,-2.8811895291922394,-3.049439269084493,623
16340,3,-170.794,-5.713999999999999,0,-2.980917642651195,-3.1491673825434487,638
16449,3,-176.474,-5.679999999999978,0,-3.080052344164473,-3.2483020840567267,638
16559,3,-182.136,-5.662000000000006,0,-3.178872886412392,-3.3471226263046456,636
16669,3,-187.76399999999998,-5.627999999999986,0,-3.2771000167146327,-3.4453497566068862,651
16779,3,-193.408,-5.6440000000000055,0,-3.3756063996971926,-3.543856139589446,654
16888,3,-199.052,-5.6440000000000055,0,-3.474112782679753,-3.6423625225720064,659
16999,3,-204.766,-5.713999999999999,0,-3.5738408961387087,-3.7420906360309623,660
17109,3,-210.48000000000002,-5.714000000000027,0,-3.673569009597665,-3.8418187494899185,659
17219,3,-216.19400000000002,-5.713999999999999,0,-3.7732971230566212,-3.941546862948875,660
17329,3,-221.87199999999999,-5.677999999999969,0,-3.8723969179848585,-4.040646657877112,665
17438,3,-227.516,-5.6440000000000055,0,-3.970903300967419,-4.139153040859672,677
17549,3,-233.16,-5.6440000000000055,0,-4.069409683949979,-4.237659423842232,697
17659,3,-238.83800000000002,-5.678000000000026,0,-4.168509478878217,-4.336759218770471,707
17768,3,-244.552,-5.71399999999997,0,-4.268237592337172,-4.436487332229426,708
17878,3,-250.28399999999996,-5.731999999999971,0,-4.368279865061487,-4.53652960495374,711
17988,3,-255.98000000000002,-5.696000000000055,0,-4.467693819255085,-4.635943559147338,713
18098,3,-261.66,-5.680000000000007,0,-4.566828520768363,-4.735078260660616,724
18208,3,-267.322,-5.661999999999978,0,-4.665649063016281,-4.833898802908535,736
18318,3,-272.93,-5.608000000000004,0,-4.763527127468124,-4.9317768673603775,742
18428,3,-278.558,-5.627999999999986,0,-4.8617542577703645,-5.030003997662618,754
18537,3,-284.238,-5.680000000000007,0,-4.9608889592836425,-5.129138699175896,760
18647,3,-289.916,-5.677999999999997,0,-5.05998875421188,-5.228238494104134,767
18758,3,-295.54200000000003,-5.626000000000033,0,-5.158180977929082,-5.326430717821336,760
18869,3,-301.152,-5.609999999999957,0,-5.2560939489659635,-5.424343688858217,757
18979,3,-306.76000000000005,-5.608000000000061,0,-5.353972013417806,-5.52222175331006,768
19089,3,-312.31600000000003,-5.555999999999983,0,-5.450942506658611,-5.619192246550864,763
19200,3,-317.802,-5.48599999999999,0,-5.54669126942302,-5.7149410093152735,782
19309,3,-322.53200000000004,-4.730000000000018,0,-5.629245343042352,-5.7974950829346055,795
19419,3,-326.188,-3.655999999999949,0,-5.6930545804952635,-5.861304320387517,793
19530,3,-327.858,-1.670000000000016,0,-5.722201579003569,-5.890451318895822,789
43285,3,5.256,-1.5120000000000005,1,0.09173450548482197,0.0,426
43395,3,1.0720000000000005,-4.183999999999999,1,0.018709929581379223,-0.07302457590344275,427
43505,3,-4.255999999999999,-5.327999999999999,1,-0.07428121296487865,-0.16601571844970062,426
43614,3,-9.988,-5.732,1,-0.17432348568919362,-0.2660579911740156,424
43724,3,-15.754,-5.766,1,-0.27495917035918666,-0.36669367584400864,426
43833,3,-21.503999999999998,-5.749999999999998,1,-0.3753156023488606,-0.46705010783368256,428
43943,3,-27.236,-5.732000000000003,1,-0.4753578750731756,-0.5670923805579976,427
44052,3,-32.95,-5.714000000000002,1,-0.5750859885321317,-0.6668204940169536,428
44162,3,-38.664,-5.713999999999999,1,-0.6748141019910876,-0.7665486074759096,426
44271,3,-44.362,-5.698,1,-0.7742629627697245,-0.8659974682545465,426
44381,3,-50.05800000000001,-5.696000000000005,1,-0.8736769169633216,-0.9654114224481436,428
44491,3,-55.754,-5.695999999999991,1,-0.9730908711569185,-1.0648253766417404,429
44600,3,-61.486000000000004,-5.732000000000006,1,-1.0731331438812335,-1.1648676493660555,431
44710,3,-67.2,-5.713999999999999,1,-1.1728612573401895,-1.2645957628250115,438
44820,3,-72.93199999999999,-5.731999999999985,1,-1.2729035300645042,-1.3646380355493262,444
44930,3,-78.664,-5.7320000000000135,1,-1.3729458027888195,-1.4646803082736415,452
45040,3,-84.41400000000002,-5.750000000000014,1,-1.4733022347784936,-1.5650367402633156,460
45149,3,-90.162,-5.7479999999999905,1,-1.5736237601831276,-1.6653582656679495,474
45260,3,-95.946,-5.783999999999992,1,-1.6745736041184793,-1.7663081096033013,483
45369,3,-101.694,-5.748000000000005,1,-1.7748951295231135,-1.8666296350079354,485
45479,3,-107.478,-5.783999999999992,1,-1.8758449734584655,-1.9675794789432874,492
45588,3,-113.24600000000001,-5.768000000000015,1,-1.9765155647134987,-2.0682500701983204,506
45698,3,-119.01399999999998,-5.767999999999972,1,-2.077186155968531,-2.168920661453353,526
45808,3,-124.78200000000001,-5.768000000000029,1,-2.1778567472235646,-2.2695912527083864,540
45919,3,-130.602,-5.819999999999993,1,-2.2794349096896345,-2.3711694151744562,550
46028,3,-136.40400000000002,-5.802000000000021,1,-2.3806989128903457,-2.4724334183751675,563
46138,3,-142.188,-5.783999999999963,1,-2.481648756825697,-2.573383262310519,568
46247,3,-147.954,-5.7660000000000196,1,-2.5822844414956903,-2.674018946980512,583
46357,3,-153.71999999999997,-5.765999999999963,1,-2.682920126165683,-2.7746546316505047,606
46468,3,-159.488,-5.768000000000029,1,-2.7835907174207164,-2.875325222905538,619
46579,3,-165.21999999999997,-5.731999999999971,1,-2.883632990145031,-2.9753674956298526,624
46689,3,-170.988,-5.768000000000029,1,-2.9843035814000642,-3.076038086884886,631
46799,3,-176.72,-5.731999999999999,1,-3.084345854124379,-3.176080359609201,637
46908,3,-182.4,-5.680000000000007,1,-3.183480555637657,-3.275215061122479,648
47018,3,-188.096,-5.695999999999998,1,-3.2828945098312543,-3.374629015316076,671
47128,3,-193.81,-5.713999999999999,1,-3.38262262329021,-3.474357128775032,686
47238,3,-199.57599999999996,-5.765999999999963,1,-3.4832583079602024,-3.574992813445024,689
47348,3,-205.378,-5.802000000000021,1,-3.5845223111609137,-3.6762568166457354,693
47458,3,-211.198,-5.820000000000022,1,-3.6861004736269845,-3.777834979111806,698
47568,3,-216.98200000000003,-5.78400000000002,1,-3.7870503175623367,-3.8787848230471584,700
47678,3,-222.786,-5.803999999999974,1,-3.888349227348087,-3.9800837328329086,711
47789,3,-228.51800000000003,-5.732000000000028,1,-3.9883915000724026,-4.080126005557225,723
47899,3,-234.21599999999998,-5.697999999999951,1,-4.087840360851039,-4.1795748663358605,722
48008,3,-239.894,-5.678000000000026,1,-4.186940155779277,-4.278674661264099,723
48118,3,-245.538,-5.6440000000000055,1,-4.285446538761837,-4.377181044246659,722
