Time(ms),MotorID,angle_smooth,dmotor,cycle,L_cm,L_rel_cm,SensorA0
27384,4,127.74000000000001,-0.8799999999999955,0,2.229483586497557,0.0,458
27493,4,126.355,-1.3850000000000051,0,2.205310776357435,-0.024172810140121737,458
27603,4,124.75,-1.605000000000004,0,2.177298241862926,-0.05218534463463076,459
27714,4,121.9,-2.8499999999999943,0,2.1275563581810877,-0.10192722831646917,457
27823,4,118.27799999999999,-3.622000000000014,0,2.064340532673853,-0.16514305382370376,458
27933,4,114.374,-3.9039999999999964,0,1.9962028786759944,-0.2332807078215624,457
28043,4,110.452,-3.921999999999997,0,1.9277510654127767,-0.3017325210847801,458
28153,4,106.548,-3.9039999999999964,0,1.8596134114149183,-0.36987017508263853,458
28263,4,102.628,-3.9200000000000017,0,1.7911965047367406,-0.4382870817608162,458
28373,4,98.68800000000002,-3.9399999999999835,0,1.7224305322081643,-0.5070530542893925,458
28482,4,94.786,-3.9020000000000152,0,1.6543277847953453,-0.5751558017022116,459
28592,4,90.9,-3.8859999999999957,0,1.5865042900628457,-0.6429792964347112,456
28703,4,86.998,-3.902000000000001,0,1.5184015426500268,-0.71108204384753,458
28813,4,83.148,-3.8500000000000085,0,1.451206366448245,-0.7782772200493118,458
28922,4,79.316,-3.8319999999999936,0,1.3843253495118224,-0.8451582369857344,454
29032,4,75.482,-3.834000000000003,0,1.31740942599036,-0.9120741605071969,455
29142,4,71.614,-3.867999999999995,0,1.2499000905232192,-0.9795834959743377,455
29253,4,67.762,-3.852000000000004,0,1.1826700077363976,-1.0468135787611592,456
29362,4,63.910000000000004,-3.8519999999999968,0,1.1154399249495761,-1.1140436615479807,455
29472,4,60.093999999999994,-3.8160000000000096,0,1.0488381606934722,-1.1806454258040846,452
29582,4,56.24400000000001,-3.849999999999987,0,0.9816429844916909,-1.247840602005866,453
29692,4,52.376,-3.868000000000009,0,0.91413364902455,-1.3153499374730069,450
29802,4,48.492,-3.8840000000000003,0,0.8463450608770903,-1.3831385256204665,449
29911,4,44.608000000000004,-3.8839999999999932,0,0.7785564727296306,-1.4509271137679263,449
30021,4,40.688,-3.9200000000000017,0,0.7101395660514529,-1.519344020446104,445
30132,4,36.82,-3.868000000000002,0,0.6426302305843121,-1.5868533559132447,441
30242,4,32.988,-3.8320000000000007,0,0.5757492136478894,-1.6537343728496674,435
30352,4,29.172000000000004,-3.8159999999999954,0,0.5091474493917859,-1.7203361371057708,433
30462,4,25.356,-3.8160000000000025,0,0.4425456851356822,-1.7869379013618747,425
30572,4,21.54,-3.8160000000000025,0,0.37594392087957856,-1.8535396656179783,423
30683,4,17.724,-3.815999999999999,0,0.309342156623475,-1.9201414298740818,419
30794,4,13.943999999999999,-3.780000000000001,0,0.24336871089808929,-1.9861148755994675,416
30904,4,10.164000000000001,-3.7799999999999976,0,0.17739526517270368,-2.0520883213248533,410
31015,4,6.366,-3.798000000000002,0,0.11110766018195901,-2.118375926315598,406
31125,4,2.604,-3.7619999999999996,0,0.04544837372193234,-2.1840352127756244,402
31235,4,-1.158,-3.762,0,-0.020210912738094333,-2.2496944992356513,393
31344,4,-4.973999999999999,-3.8159999999999994,0,-0.08681267699419794,-2.316296263491755,389
31454,4,-8.790000000000001,-3.8160000000000016,0,-0.15341444125030157,-2.382898027747858,384
31564,4,-12.588,-3.7979999999999983,0,-0.2197020462410462,-2.4491856327386032,377
31673,4,-16.386000000000003,-3.7980000000000036,0,-0.2859896512317909,-2.515473237729348,370
31783,4,-20.15,-3.763999999999996,0,-0.3516838442768574,-2.581167430774414,365
31893,4,-23.860000000000003,-3.7100000000000044,0,-0.4164355595258471,-2.645919146023404,354
32003,4,-27.534000000000002,-3.6739999999999995,0,-0.48055895624411876,-2.7100425427416757,347
32112,4,-31.244000000000007,-3.7100000000000044,0,-0.5453106714931084,-2.7747942579906653,339
32222,4,-34.954,-3.7099999999999937,0,-0.610062386742098,-2.839545973239655,333
32332,4,-38.734,-3.780000000000001,0,-0.6760358324674837,-2.9055194189650404,325
32444,4,-42.584,-3.8500000000000014,0,-0.7432310086692654,-2.9727145951668223,319
32554,4,-46.436,-3.8519999999999968,0,-0.8104610914560869,-3.0399446779536436,316
32664,4,-50.26800000000001,-3.832000000000008,0,-0.8773421083925097,-3.1068256948900665,311
32773,4,-54.11800000000001,-3.8500000000000014,0,-0.9445372845942914,-3.174020871091848,310
