Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABD_smooth,angle_smooth,dmotor,cycle
12692,1,Flex,>>,2838,254.33,410,338,546,48.3626468141229,255.6766666666667,-0.6733333333333178,0
12802,1,Flex,>>,2799,251.16,410,339,546,48.84624893361635,254.5475,-1.1291666666666913,0
12912,1,Flex,>>,2760,247.82,409,339,546,48.956164206868834,253.202,-1.3455000000000155,0
13021,1,Flex,>>,2721,244.66,410,338,544,49.20352313978373,250.86399999999998,-2.3380000000000223,0
13131,1,Flex,>>,2682,241.32,408,337,544,49.35292047844813,247.858,-3.005999999999972,0
13241,1,Flex,>>,2643,237.89,411,333,546,49.60359683628484,244.57,-3.288000000000011,0
13351,1,Flex,>>,2604,234.55,410,332,544,50.19221571922223,241.248,-3.3220000000000027,0
13460,1,Flex,>>,2565,231.21,413,336,545,50.64943516255586,237.92600000000002,-3.3219999999999743,0
13570,1,Flex,>>,2526,227.96,416,338,545,51.19696637121021,234.586,-3.3400000000000034,0
13680,1,Flex,>>,2487,224.7,414,337,544,52.13424721061971,231.262,-3.3240000000000123,0
13791,1,Flex,>>,2448,221.45,413,337,544,53.58908108021003,227.97400000000002,-3.2879999999999825,0
13901,1,Flex,>>,2409,218.02,415,337,544,54.4157866774611,224.66799999999998,-3.30600000000004,0
14011,1,Flex,>>,2370,214.68,419,339,546,54.91120783240963,221.362,-3.305999999999983,0
14121,1,Flex,>>,2331,211.34,419,337,544,55.77121994106692,218.038,-3.323999999999984,0
14230,1,Flex,>>,2292,207.82,425,338,544,56.51705058892817,214.66199999999998,-3.376000000000033,0
14340,1,Flex,>>,2253,204.57,425,340,543,57.1301151469801,211.286,-3.3759999999999764,0
14450,1,Flex,>>,2214,201.14,453,335,543,57.56647997730048,207.91,-3.3760000000000048,0
14560,1,Flex,>>,2175,197.63,459,340,547,58.02254061213688,204.5,-3.4099999999999966,0
14669,1,Flex,>>,2136,194.29,456,339,548,58.21410783077902,201.08999999999997,-3.410000000000025,0
14780,1,Flex,>>,2097,190.86,454,340,551,58.227875210925696,197.698,-3.3919999999999675,0
14890,1,Flex,>>,2058,187.52,452,341,554,57.8039012186524,194.28799999999998,-3.410000000000025,0
15000,1,Flex,>>,2019,184.09,454,344,554,57.47975917650713,190.878,-3.4099999999999966,0
15111,1,Flex,>>,1980,180.75,468,345,556,57.27076010716112,187.502,-3.3759999999999764,0
15221,1,Flex,>>,1941,177.23,497,347,555,56.69252068628796,184.09,-3.412000000000006,0
15330,1,Flex,>>,1902,173.63,501,351,562,56.02815666070028,180.644,-3.445999999999998,0
15440,1,Flex,>>,1863,170.2,501,358,572,55.48861118235208,177.18,-3.4639999999999986,0
15551,1,Flex,>>,1824,166.95,495,363,579,54.716413813612725,173.752,-3.4279999999999973,0
15661,1,Flex,>>,1785,163.52,508,372,589,53.54710916697732,170.30599999999998,-3.4460000000000264,0
15770,1,Flex,>>,1746,159.91,551,376,598,52.52153888259933,166.84199999999998,-3.4639999999999986,0
15880,1,Flex,>>,1707,156.4,567,383,607,51.79463415325896,163.39600000000002,-3.4459999999999695,0
15990,1,Flex,>>,1668,152.79,576,391,618,50.54323121692914,159.91400000000002,-3.4819999999999993,0
16100,1,Flex,>>,1629,149.45,580,397,623,49.782400311293145,156.414,-3.5000000000000284,0
16210,1,Flex,>>,1590,146.11,577,401,624,49.02444748370174,152.932,-3.4819999999999993,0
16320,1,Flex,>>,1551,142.86,579,408,640,48.27824059729808,149.522,-3.4099999999999966,0
16429,1,Flex,>>,1512,139.52,581,413,643,47.36044537979408,146.14600000000002,-3.3759999999999764,0
16540,1,Flex,>>,1473,136.26,583,429,660,46.26851180842557,142.84,-3.3060000000000116,0
16650,1,Flex,>>,1434,133.19,585,446,677,45.48568337601161,139.58800000000002,-3.251999999999981,0
16760,1,Flex,>>,1395,129.85,583,455,686,44.57474572736525,136.336,-3.2520000000000095,0
