Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABD_smooth,angle_smooth,dmotor,cycle,L_est_cm,theta_from_R(compose)
27384,4,Extend,>>,1373,125.98,458,417,627,11.783360268026264,127.74000000000001,-0.8799999999999955,0,-0.8793006235158991,-6.181722255161091
27493,4,Extend,>>,1328,122.2,458,420,628,10.49966260048646,126.355,-1.3850000000000051,0,-0.8793006235158991,-6.181722255161091
27603,4,Extend,>>,1283,118.33,459,418,626,9.222205661477677,124.75,-1.605000000000004,0,-0.85737499949659,-6.112008809424769
27714,4,Extend,>>,1238,114.37,457,419,627,7.634841361618933,121.9,-2.8499999999999943,0,-0.901150667991665,-6.247504293965868
27823,4,Extend,>>,1193,110.51,458,419,627,5.630301467148211,118.27799999999999,-3.622000000000014,0,-0.8793006235158991,-6.181722255161091
27933,4,Extend,>>,1148,106.46,457,418,625,3.759371704613641,114.374,-3.9039999999999964,0,-0.901150667991665,-6.247504293965868
28043,4,Extend,>>,1103,102.59,458,418,627,1.433657777567895,110.452,-3.921999999999997,0,-0.8793006235158991,-6.181722255161091
28153,4,Extend,>>,1058,98.81,458,416,623,-1.786818814860077,106.548,-3.9039999999999964,0,-0.8793006235158991,-6.181722255161091
28263,4,Extend,>>,1013,94.77,458,416,622,-3.3416202617659376,102.628,-3.9200000000000017,0,-0.8793006235158991,-6.181722255161091
28373,4,Extend,>>,968,90.81,458,415,617,-5.196887020463327,98.68800000000002,-3.9399999999999835,0,-0.8793006235158991,-6.181722255161091
28482,4,Extend,>>,923,86.95,459,416,617,-7.80792292115621,94.786,-3.9020000000000152,0,-0.85737499949659,-6.112008809424769
28592,4,Extend,>>,878,83.16,456,415,614,-10.548529623256323,90.9,-3.8859999999999957,0,-0.922925132923889,-6.309393162360348
28703,4,Extend,>>,833,79.3,458,412,609,-11.739815340619232,86.998,-3.902000000000001,0,-0.8793006235158991,-6.181722255161091
28813,4,Extend,>>,788,75.52,458,413,607,-13.083254127736478,83.148,-3.8500000000000085,0,-0.8793006235158991,-6.181722255161091
28922,4,Extend,>>,743,71.65,454,409,604,-15.064025378964864,79.316,-3.8319999999999936,0,-0.966247324157707,-6.421643672700639
