Time(ms),MotorID,SensorA0,∠ABD_smooth,cycle
27384,4,458,11.783360268026264,0
27493,4,458,10.49966260048646,0
27603,4,459,9.222205661477677,0
27714,4,457,7.634841361618933,0
27823,4,458,5.630301467148211,0
27933,4,457,3.759371704613641,0
28043,4,458,1.433657777567895,0
28153,4,458,-1.786818814860077,0
28263,4,458,-3.3416202617659376,0
28373,4,458,-5.196887020463327,0
28482,4,459,-7.80792292115621,0
28592,4,456,-10.548529623256323,0
28703,4,458,-11.739815340619232,0
28813,4,458,-13.083254127736478,0
28922,4,454,-15.064025378964864,0
29032,4,455,-16.271040773907373,0
29142,4,455,-16.86304377400159,0
29253,4,456,-17.447179701929443,0
29362,4,455,-17.65961791936956,0
29472,4,452,-17.627859212730172,0
29582,4,453,-17.646370891726853,0
29692,4,450,-17.33578203454205,0
29802,4,449,-16.742231154781447,0
29911,4,449,-15.896938427206925,0
30021,4,445,-14.660707285704389,0
30132,4,441,-13.841212007209371,0
30242,4,435,-12.97115371708189,0
30352,4,433,-11.988906574031516,0
30462,4,425,-11.448502903566844,0
30572,4,423,-10.77023137090188,0
30683,4,419,-10.260649856771806,0
30794,4,416,-9.45054283593764,0
30904,4,410,-8.350432033320118,0
31015,4,406,-7.184823797021047,0
31125,4,402,-6.103898237885836,0
31235,4,393,-4.982349123121588,0
31344,4,389,-3.8946999164016622,0
31454,4,384,-2.324624010407499,0
31564,4,377,-1.2298720307404496,0
31673,4,370,-0.0422434189774139,0
31783,4,365,1.3238677404003738,0
31893,4,354,2.803050603407414,0
32003,4,347,3.611685440750915,0
32112,4,339,4.951274413033177,0
32222,4,333,7.397727130880558,0
32332,4,325,8.305990274449298,0
32444,4,319,8.85188955025051,0
32554,4,316,9.485126160858378,0
32664,4,311,10.019015390433932,0
32773,4,310,10.495522112020586,0
32883,4,309,10.837521702866445,0
32993,4,304,10.726992185789918,0
33103,4,307,10.944924523305444,0
33213,4,302,11.21942299386452,0
33323,4,303,11.480690878374824,0
33433,4,302,11.714034639319648,0
33543,4,298,11.611293386834603,0
33653,4,299,11.528798724242368,0
33763,4,299,11.467981818983096,0
33873,4,303,11.65051037381587,0
33982,4,302,11.839694550057102,0
34092,4,308,11.89347569888862,0
34202,4,311,11.96711941755075,0
34312,4,311,12.298578981373332,0
57944,4,460,0.8466051009387632,1
58054,4,459,-0.8726262883779714,1
58163,4,460,-1.7009075213838376,1
58273,4,460,-2.6883202785190408,1
58382,4,459,-3.70246719650435,1
58492,4,458,-4.618934292676062,1
58602,4,461,-5.403450216831866,1
58711,4,459,-6.087912135580565,1
58821,4,459,-6.672855633128805,1
58930,4,460,-7.232125148204221,1
59040,4,459,-7.970583588509769,1
