Time(ms),MotorID,Phase,Direction,Position,Angle(deg),Frame,∠ABC,∠BCD
12484,2,Flex,>>,1240,109.01,372,133.7008732753107,152.99486734395964
12586,2,Flex,>>,1180,109.01,376,131.23046998045734,152.70758795113906
12687,2,Flex,>>,1120,105.76,379,131.47941104912948,151.58098412966686
12790,2,Flex,>>,1060,100.92,382,130.5214827057198,151.55552474995395
12892,2,Flex,>>,1000,95.82,385,129.53388777127552,151.5581031185554
12994,2,Flex,>>,940,90.55,388,129.10848961897366,150.82552012202646
13096,2,Flex,>>,880,85.36,391,128.6570569372827,150.17965798160998
13199,2,Flex,>>,820,80.18,394,127.54690011684391,149.65146073556994
13300,2,Flex,>>,760,74.9,397,126.77201788035676,148.23165255016195
13403,2,Flex,>>,700,69.63,400,124.90954880271748,148.22119627059675
13505,2,Flex,>>,640,64.44,403,124.51797323404973,147.29356846841372
13606,2,Flex,>>,580,59.25,406,124.27261437636388,146.48845849423682
13708,2,Flex,>>,520,54.07,409,123.00117495513359,145.43619068998458
13810,2,Flex,>>,460,48.62,412,122.48730409905421,145.80942058964985
13913,2,Flex,>>,400,43.52,415,122.48730409905421,145.80942058964985
14015,2,Flex,>>,340,38.33,418,123.08193340026175,145.35543224485642
14117,2,Flex,>>,280,33.05,421,122.70531081536578,146.36981379319315
14219,2,Flex,>>,220,27.78,425,123.30522421011193,146.98737082814995
14322,2,Flex,>>,160,22.42,428,124.07655476746477,146.97438796940477
14424,2,Flex,>>,100,17.23,431,124.83957125812067,146.97091343452865
14526,2,Flex,>>,40,12.04,434,125.33854343881391,147.2713771120065
14629,2,Flex,>>,-20,6.86,437,125.71899776646798,147.37649469074762
14731,2,Flex,>>,-80,1.49,440,125.88719390876973,148.06063586645513
14833,2,Flex,>>,-140,-3.69,443,126.50470286361524,147.95858093369384
14935,2,Flex,>>,-200,-8.88,446,126.7947502077889,148.93898095643624
15038,2,Flex,>>,-260,-14.15,449,127.73846787532993,148.5985779978816
15140,2,Flex,>>,-320,-19.34,452,128.10531266339214,149.24575191549468
15242,2,Flex,>>,-380,-24.62,455,127.88862907157981,150.34014508260736
15345,2,Flex,>>,-440,-29.89,458,129.81746695846914,149.54920295192002
15447,2,Flex,>>,-500,-35.25,461,129.60009817554618,150.69191534220502
15549,2,Flex,>>,-560,-40.35,464,131.16734934974284,151.2205957289292
15652,2,Flex,>>,-620,-45.63,467,132.25431061690884,150.7472871652396
15754,2,Flex,>>,-680,-50.81,471,132.24063765630564,151.41486992881767
15857,2,Flex,>>,-740,-56.09,474,133.08771499536527,152.10092591088159
15959,2,Flex,>>,-800,-61.27,477,133.9000950326094,152.88208250805428
16061,2,Flex,>>,-860,-66.37,480,135.04853223144607,153.3246858674266
16164,2,Flex,>>,-920,-71.56,483,135.8592687328163,153.47738441808778
16266,2,Flex,>>,-980,-76.75,486,136.49379447866127,154.0200627024953
16369,2,Flex,>>,-1040,-82.02,489,137.30732281807883,154.1785086015753
16471,2,Flex,>>,-1100,-87.21,492,138.37885429929818,154.98310652189997
16574,2,Flex,>>,-1160,-92.48,495,138.63601385165612,155.7701848973667
16676,2,Flex,>>,-1220,-97.76,498,140.24763367984488,155.29488616058615
16778,2,Flex,>>,-1280,-102.95,501,140.65807426467484,156.27049335034576
16880,2,Flex,>>,-1340,-108.13,504,141.06423057855528,156.87692638041105
16983,2,Flex,>>,-1400,-113.23,507,141.51242302928787,157.02398720519122
17085,2,Flex,>>,-1460,-118.59,510,142.1045754723116,157.71782728816817
17187,2,Flex,>>,-1520,-123.87,514,142.48899107961591,158.33296589201703
17289,2,Flex,>>,-1580,-129.05,517,143.58502710208649,158.85875018343543
17392,2,Flex,>>,-1640,-134.24,520,143.9664445066432,159.51566857147765
17494,2,Flex,>>,-1700,-139.43,523,144.2899997949962,160.20490251037543
17596,2,Flex,>>,-1760,-144.62,526,144.7813189706073,160.58945837733077
17699,2,Flex,>>,-1820,-149.71,529,145.47794151069044,160.78141916779393
17801,2,Flex,>>,-1880,-154.9,532,145.08839951625882,161.53121150386625
17904,2,Flex,>>,-1940,-160.0,535,145.14851341428798,161.40448667560545
18006,2,Flex,>>,-2000,-165.01,538,145.67250572909845,161.07505857920304
18108,2,Flex,>>,-2060,-170.2,541,145.8649401400989,161.49534831667955
18210,2,Flex,>>,-2120,-175.21,544,145.67250572909845,161.78759845194483
18313,2,Flex,>>,-2180,-180.31,547,145.8649401400989,162.21016811449277
18415,2,Flex,>>,-2240,-185.32,550,146.98364067509326,161.57809369438357
18517,2,Flex,>>,-2300,-190.42,553,145.97528923940385,162.69891206876895
18620,2,Flex,>>,-2360,-195.43,557,146.77059460750024,162.22924530505205
18722,2,Flex,<<,-2360,-200.35,560,147.02420848945937,163.3761924675311
18825,2,Flex,<<,-2300,-201.85,563,147.30282431373035,162.89243996996453
18927,2,Flex,<<,-2240,-201.85,566,147.74880866482331,163.77425521992453
19029,2,Flex,<<,-2180,-197.8,569,148.72363352377891,164.1738872983869
19131,2,Flex,<<,-2120,-192.88,572,149.66522055834665,163.92232664704363
19234,2,Flex,<<,-2060,-187.87,575,149.39728385751675,164.379037108747
19337,2,Flex,<<,-2000,-182.59,578,148.75351048972834,164.98964088424137
19439,2,Flex,<<,-1940,-177.49,581,149.00448658196825,165.15581985443237
19541,2,Flex,<<,-1880,-172.31,584,148.75351048972834,164.98964088424137
19644,2,Flex,<<,-1820,-166.86,587,149.10470975886682,164.91268492247573
19747,2,Flex,<<,-1760,-161.67,590,149.1452615270663,164.65486815694442
19849,2,Flex,<<,-1700,-156.48,593,149.0625111302198,164.98964088424137
19952,2,Flex,<<,-1640,-151.12,596,149.0625111302198,164.98964088424137
20054,2,Flex,<<,-1580,-146.02,600,148.8104887997694,164.98964088424137
20156,2,Flex,<<,-1520,-140.57,603,149.0625111302198,164.98964088424137
20259,2,Flex,<<,-1460,-135.3,606,149.0625111302198,164.98964088424137
20361,2,Flex,<<,-1400,-130.2,609,149.41371039935828,164.47385043245256
20464,2,Flex,<<,-1340,-124.92,612,149.0625111302198,164.98964088424137
20566,2,Flex,<<,-1280,-119.56,615,148.6656089755273,165.05268744248485
20668,2,Flex,<<,-1220,-114.2,618,148.75351048972834,164.71380983604396
20771,2,Flex,<<,-1160,-109.1,621,148.8104887997694,164.71380983604396
20873,2,Flex,<<,-1100,-103.74,624,149.0625111302198,164.71380983604396
20976,2,Flex,<<,-1040,-98.46,627,149.0625111302198,164.71380983604396
21078,2,Flex,<<,-980,-93.27,630,149.0625111302198,164.8791363244614
21180,2,Flex,<<,-920,-88.09,633,148.52087667307347,165.22623073559473
21282,2,Flex,<<,-860,-82.73,636,149.12104786865282,164.43639011515393
21385,2,Flex,<<,-800,-77.45,639,149.0625111302198,164.43639011515393
21487,2,Flex,<<,-740,-72.18,643,148.7154167190865,164.78348452628722
21589,2,Flex,<<,-680,-66.81,646,149.37360579404634,164.43639011515393
21692,2,Flex,<<,-620,-61.63,649,149.37360579404634,164.43639011515393
21795,2,Flex,<<,-560,-56.26,652,148.97514368276728,164.61240352262303
21898,2,Flex,<<,-500,-51.08,655,148.68753538926387,165.3998802408264
22001,2,Flex,<<,-440,-45.89,658,149.0347281876054,164.88894967462394
22103,2,Flex,<<,-380,-40.62,661,149.12104786865282,164.43639011515393
22206,2,Flex,<<,-320,-35.34,664,149.4722471377913,164.36261056690546
22308,2,Flex,<<,-260,-30.07,667,149.7248050631848,164.36261056690546
22410,2,Flex,<<,-200,-24.7,670,149.4722471377913,164.52793705532292
22513,2,Flex,<<,-140,-19.43,673,149.12104786865282,164.8791363244614
22615,2,Flex,<<,-80,-14.24,676,149.12104786865282,165.15581985443237
22717,2,Flex,<<,-20,-8.97,679,149.4722471377913,164.80462058529395
22820,2,Flex,<<,40,-3.69,683,149.1801034852507,165.76975801998842
22922,2,Flex,<<,100,1.58,686,149.590884051819,165.24831395666362
23024,2,Flex,<<,160,6.95,689,149.590884051819,165.24831395666362
23126,2,Flex,<<,220,12.22,692,149.78491663634827,165.41855875084997
23228,2,Flex,<<,280,17.41,695,149.84556216825618,165.86634567197984
23330,2,Flex,<<,340,22.68,698,149.50683477082165,166.37943808649698
23432,2,Flex,<<,400,27.96,701,149.90674866749947,166.04071068906254
23534,2,Flex,<<,460,33.14,704,149.568021270065,166.65444976993007
23636,2,Flex,<<,520,38.42,707,149.8232239116636,166.8312822890599
23738,2,Flex,<<,580,43.69,710,149.4718744335187,167.4567186343909
23840,2,Flex,<<,640,48.88,713,149.7903955328781,167.90913252479535
23942,2,Flex,<<,700,54.33,716,149.7903955328781,167.90913252479535
24045,2,Flex,<<,760,59.6,719,150.04553618601844,168.09088052086608
24148,2,Flex,<<,820,64.79,722,150.04553618601844,168.36299167238985
24250,2,Flex,<<,880,70.07,725,150.705547941756,168.4793681833624
24352,2,Flex,<<,940,75.34,728,150.96057198244353,168.93596596922754
24454,2,Flex,<<,1000,80.62,732,151.8199996087637,169.76764182716616
24556,2,Flex,<<,1060,85.89,735,151.46880033962523,171.4992860191016
24658,2,Flex,<<,1120,91.16,738,152.29585404377815,171.0737213568998
24760,2,Flex,<<,1180,96.53,741,152.29585404377815,171.99621834904607
24862,2,Flex,<<,1240,101.71,744,152.58605172305795,172.02758773517962
26231,5,Extend,>>,195,17.14,785,166.92728371034633,179.43070560834954
26333,5,Extend,>>,158,17.14,788,167.83059048378172,178.06081123027042
26435,5,Extend,>>,121,15.03,791,170.02554360019226,176.79095597341922
26538,5,Extend,>>,84,12.04,794,173.06259657472626,175.86130813652323
26640,5,Extend,>>,47,8.88,797,173.954995624997,174.64409464886805
26742,5,Extend,>>,10,5.71,800,174.98480201933157,173.79789210492297
26844,5,Extend,>>,-27,2.46,803,176.6335393365703,173.16274885527483
26947,5,Extend,>>,-64,-0.79,806,178.01301663406596,172.50548706015482
27049,5,Extend,>>,-101,-4.04,809,177.9738995796623,171.6225112215863
27151,5,Extend,>>,-138,-7.3,812,178.27144748926452,170.79048527738357
27254,5,Extend,>>,-175,-10.55,816,178.83738475437,170.12818044913934
27356,5,Extend,>>,-212,-13.71,819,179.13433294358202,169.1148570219444
27459,5,Extend,>>,-249,-16.88,822,179.81390543562037,168.8817980869886
27561,5,Extend,>>,-286,-19.96,825,179.89065704207,168.1898017858256
27663,5,Extend,>>,-323,-23.21,828,179.92753819005418,167.88737707401495
27766,5,Extend,>>,-360,-26.46,831,179.92753819005418,167.83425439266574
27868,5,Extend,>>,-397,-29.63,834,179.92753819005418,167.83425439266574
27971,5,Extend,>>,-434,-32.88,837,179.19356431653523,167.30209554762706
28073,5,Extend,>>,-471,-36.04,840,179.73721262057995,167.9506147867888
28175,5,Extend,>>,-508,-39.3,843,179.5158654777369,167.91764959389224
28277,5,Extend,>>,-545,-42.37,846,179.1201916420833,168.483037606719
28380,5,Extend,>>,-582,-45.54,849,178.46098873852904,168.29578300071566
28482,5,Extend,>>,-619,-48.88,852,177.42879360693988,168.01664000846083
