Time(ms),MotorID,Phase,Direction,Position,Angle(deg)
12484,2,Flex,>>,1240,109.01
12586,2,Flex,>>,1180,109.01
12687,2,Flex,>>,1120,105.76
12790,2,Flex,>>,1060,100.92
12892,2,Flex,>>,1000,95.82
12994,2,Flex,>>,940,90.55
13096,2,Flex,>>,880,85.36
13199,2,Flex,>>,820,80.18
13300,2,Flex,>>,760,74.9
13403,2,Flex,>>,700,69.63
13505,2,Flex,>>,640,64.44
13606,2,Flex,>>,580,59.25
13708,2,Flex,>>,520,54.07
13810,2,Flex,>>,460,48.62
13913,2,Flex,>>,400,43.52
14015,2,Flex,>>,340,38.33
14117,2,Flex,>>,280,33.05
14219,2,Flex,>>,220,27.78
14322,2,Flex,>>,160,22.42
14424,2,Flex,>>,100,17.23
14526,2,Flex,>>,40,12.04
14629,2,Flex,>>,-20,6.86
14731,2,Flex,>>,-80,1.49
14833,2,Flex,>>,-140,-3.69
14935,2,Flex,>>,-200,-8.88
15038,2,Flex,>>,-260,-14.15
15140,2,Flex,>>,-320,-19.34
15242,2,Flex,>>,-380,-24.62
15345,2,Flex,>>,-440,-29.89
15447,2,Flex,>>,-500,-35.25
15549,2,Flex,>>,-560,-40.35
15652,2,Flex,>>,-620,-45.63
15754,2,Flex,>>,-680,-50.81
15857,2,Flex,>>,-740,-56.09
15959,2,Flex,>>,-800,-61.27
16061,2,Flex,>>,-860,-66.37
16164,2,Flex,>>,-920,-71.56
16266,2,Flex,>>,-980,-76.75
16369,2,Flex,>>,-1040,-82.02
16471,2,Flex,>>,-1100,-87.21
16574,2,Flex,>>,-1160,-92.48
16676,2,Flex,>>,-1220,-97.76
16778,2,Flex,>>,-1280,-102.95
16880,2,Flex,>>,-1340,-108.13
16983,2,Flex,>>,-1400,-113.23
17085,2,Flex,>>,-1460,-118.59
17187,2,Flex,>>,-1520,-123.87
17289,2,Flex,>>,-1580,-129.05
17392,2,Flex,>>,-1640,-134.24
17494,2,Flex,>>,-1700,-139.43
17596,2,Flex,>>,-1760,-144.62
17699,2,Flex,>>,-1820,-149.71
17801,2,Flex,>>,-1880,-154.9
17904,2,Flex,>>,-1940,-160.0
18006,2,Flex,>>,-2000,-165.01
18108,2,Flex,>>,-2060,-170.2
18210,2,Flex,>>,-2120,-175.21
18313,2,Flex,>>,-2180,-180.31
18415,2,Flex,>>,-2240,-185.32
18517,2,Flex,>>,-2300,-190.42
18620,2,Flex,>>,-2360,-195.43
18722,2,Flex,<<,-2360,-200.35
18825,2,Flex,<<,-2300,-201.85
18927,2,Flex,<<,-2240,-201.85
19029,2,Flex,<<,-2180,-197.8
19131,2,Flex,<<,-2120,-192.88
19234,2,Flex,<<,-2060,-187.87
19337,2,Flex,<<,-2000,-182.59
19439,2,Flex,<<,-1940,-177.49
19541,2,Flex,<<,-1880,-172.31
19644,2,Flex,<<,-1820,-166.86
19747,2,Flex,<<,-1760,-161.67
19849,2,Flex,<<,-1700,-156.48
19952,2,Flex,<<,-1640,-151.12
20054,2,Flex,<<,-1580,-146.02
20156,2,Flex,<<,-1520,-140.57
20259,2,Flex,<<,-1460,-135.3
20361,2,Flex,<<,-1400,-130.2
20464,2,Flex,<<,-1340,-124.92
20566,2,Flex,<<,-1280,-119.56
20668,2,Flex,<<,-1220,-114.2
20771,2,Flex,<<,-1160,-109.1
20873,2,Flex,<<,-1100,-103.74
20976,2,Flex,<<,-1040,-98.46
21078,2,Flex,<<,-980,-93.27
21180,2,Flex,<<,-920,-88.09
21282,2,Flex,<<,-860,-82.73
21385,2,Flex,<<,-800,-77.45
21487,2,Flex,<<,-740,-72.18
21589,2,Flex,<<,-680,-66.81
21692,2,Flex,<<,-620,-61.63
21795,2,Flex,<<,-560,-56.26
21898,2,Flex,<<,-500,-51.08
22001,2,Flex,<<,-440,-45.89
22103,2,Flex,<<,-380,-40.62
22206,2,Flex,<<,-320,-35.34
22308,2,Flex,<<,-260,-30.07
22410,2,Flex,<<,-200,-24.7
22513,2,Flex,<<,-140,-19.43
22615,2,Flex,<<,-80,-14.24
22717,2,Flex,<<,-20,-8.97
22820,2,Flex,<<,40,-3.69
22922,2,Flex,<<,100,1.58
23024,2,Flex,<<,160,6.95
23126,2,Flex,<<,220,12.22
23228,2,Flex,<<,280,17.41
23330,2,Flex,<<,340,22.68
23432,2,Flex,<<,400,27.96
23534,2,Flex,<<,460,33.14
23636,2,Flex,<<,520,38.42
23738,2,Flex,<<,580,43.69
23840,2,Flex,<<,640,48.88
23942,2,Flex,<<,700,54.33
24045,2,Flex,<<,760,59.6
24148,2,Flex,<<,820,64.79
24250,2,Flex,<<,880,70.07
24352,2,Flex,<<,940,75.34
24454,2,Flex,<<,1000,80.62
24556,2,Flex,<<,1060,85.89
24658,2,Flex,<<,1120,91.16
24760,2,Flex,<<,1180,96.53
24862,2,Flex,<<,1240,101.71
26231,5,Extend,>>,195,17.14
26333,5,Extend,>>,158,17.14
26435,5,Extend,>>,121,15.03
26538,5,Extend,>>,84,12.04
26640,5,Extend,>>,47,8.88
26742,5,Extend,>>,10,5.71
26844,5,Extend,>>,-27,2.46
26947,5,Extend,>>,-64,-0.79
27049,5,Extend,>>,-101,-4.04
27151,5,Extend,>>,-138,-7.3
27254,5,Extend,>>,-175,-10.55
27356,5,Extend,>>,-212,-13.71
27459,5,Extend,>>,-249,-16.88
27561,5,Extend,>>,-286,-19.96
27663,5,Extend,>>,-323,-23.21
27766,5,Extend,>>,-360,-26.46
27868,5,Extend,>>,-397,-29.63
27971,5,Extend,>>,-434,-32.88
28073,5,Extend,>>,-471,-36.04
28175,5,Extend,>>,-508,-39.3
28277,5,Extend,>>,-545,-42.37
28380,5,Extend,>>,-582,-45.54
28482,5,Extend,>>,-619,-48.88
28584,5,Extend,>>,-656,-52.04
28686,5,Extend,>>,-693,-55.21
28788,5,Extend,>>,-730,-58.29
28890,5,Extend,>>,-767,-61.36
28992,5,Extend,>>,-804,-64.53
29094,5,Extend,>>,-841,-67.78
29197,5,Extend,>>,-878,-71.03
29299,5,Extend,>>,-915,-74.2
29401,5,Extend,>>,-952,-77.45
29504,5,Extend,>>,-989,-80.53
29608,5,Extend,>>,-1026,-83.6
29710,5,Extend,>>,-1063,-86.77
29813,5,Extend,>>,-1100,-89.93
29916,5,Extend,>>,-1137,-93.27
30019,5,Extend,>>,-1174,-96.53
30121,5,Extend,>>,-1211,-99.6
30223,5,Extend,>>,-1248,-102.77
30325,5,Extend,>>,-1285,-105.85
30428,5,Extend,>>,-1322,-109.01
30530,5,Extend,>>,-1359,-112.35
30633,5,Extend,>>,-1396,-115.6
30735,5,Extend,>>,-1433,-118.77
30838,5,Extend,>>,-1470,-122.02
30941,5,Extend,>>,-1507,-125.27
31043,5,Extend,>>,-1544,-128.35
31145,5,Extend,>>,-1581,-131.52
31249,5,Extend,>>,-1618,-134.77
31351,5,Extend,>>,-1655,-137.93
31453,5,Extend,>>,-1692,-141.19
31556,5,Extend,>>,-1729,-144.44
31658,5,Extend,>>,-1766,-147.6
31761,5,Extend,>>,-1803,-150.86
31864,5,Extend,>>,-1840,-154.11
31966,5,Extend,>>,-1877,-157.27
32069,5,Extend,>>,-1914,-160.53
32171,5,Extend,>>,-1951,-163.6
32274,5,Extend,>>,-1988,-166.68
32376,5,Extend,>>,-2025,-169.76
32479,5,Extend,<<,-2025,-172.84
32582,5,Extend,<<,-1988,-173.89
32684,5,Extend,<<,-1951,-173.98
32787,5,Extend,<<,-1914,-171.78
32890,5,Extend,<<,-1877,-168.88
32992,5,Extend,<<,-1840,-165.98
33095,5,Extend,<<,-1803,-162.73
33197,5,Extend,<<,-1766,-159.47
33300,5,Extend,<<,-1729,-156.31
33402,5,Extend,<<,-1692,-152.97
33505,5,Extend,<<,-1655,-149.71
33608,5,Extend,<<,-1618,-146.46
33711,5,Extend,<<,-1581,-143.12
33814,5,Extend,<<,-1544,-139.96
33916,5,Extend,<<,-1507,-136.79
34019,5,Extend,<<,-1470,-133.45
34121,5,Extend,<<,-1433,-130.29
34224,5,Extend,<<,-1396,-127.03
34327,5,Extend,<<,-1359,-123.69
34430,5,Extend,<<,-1322,-120.44
34532,5,Extend,<<,-1285,-117.27
34634,5,Extend,<<,-1248,-114.11
34737,5,Extend,<<,-1211,-110.86
34839,5,Extend,<<,-1174,-107.52
34942,5,Extend,<<,-1137,-104.35
35044,5,Extend,<<,-1100,-101.1
35146,5,Extend,<<,-1063,-97.76
35249,5,Extend,<<,-1026,-94.51
35352,5,Extend,<<,-989,-91.34
35455,5,Extend,<<,-952,-88.0
35558,5,Extend,<<,-915,-84.84
35660,5,Extend,<<,-878,-81.76
35763,5,Extend,<<,-841,-78.24
35865,5,Extend,<<,-804,-74.99
35967,5,Extend,<<,-767,-71.82
36070,5,Extend,<<,-730,-68.57
36172,5,Extend,<<,-693,-65.23
36274,5,Extend,<<,-656,-62.07
36377,5,Extend,<<,-619,-58.81
36479,5,Extend,<<,-582,-55.56
36581,5,Extend,<<,-545,-52.31
36683,5,Extend,<<,-508,-48.97
36785,5,Extend,<<,-471,-45.63
36887,5,Extend,<<,-434,-42.37
36989,5,Extend,<<,-397,-39.3
37092,5,Extend,<<,-360,-36.04
37194,5,Extend,<<,-323,-32.7
37296,5,Extend,<<,-286,-29.45
37398,5,Extend,<<,-249,-26.2
37501,5,Extend,<<,-212,-22.86
37602,5,Extend,<<,-175,-19.69
37705,5,Extend,<<,-138,-16.53
37807,5,Extend,<<,-101,-13.19
37910,5,Extend,<<,-64,-10.02
38013,5,Extend,<<,-27,-6.68
38116,5,Extend,<<,10,-3.34
38218,5,Extend,<<,47,-0.18
38321,5,Extend,<<,84,3.08
38423,5,Extend,<<,121,6.24
38526,5,Extend,<<,158,9.58
38628,5,Extend,<<,195,12.84
40998,2,Flex,>>,1238,108.84
41100,2,Flex,>>,1178,108.84
41202,2,Flex,>>,1118,105.58
41304,2,Flex,>>,1058,100.48
41407,2,Flex,>>,998,95.21
41509,2,Flex,>>,938,90.02
41611,2,Flex,>>,878,84.75
41713,2,Flex,>>,818,79.56
41817,2,Flex,>>,758,74.29
