Frame,Time(ms),∠ABC,∠BCD
0,69,170.27631247775875,173.83658223359424
1,102,169.6505480287523,174.2259979065833
2,135,170.27631247775875,173.51458326018735
3,169,170.27631247775875,173.51458326018735
4,202,169.6505480287523,173.90399893317644
5,235,170.03996370174133,173.51458326018735
6,269,170.03996370174133,173.51458326018735
7,302,170.03996370174133,173.83658223359424
8,335,170.43072652572832,173.12382043620048
9,369,169.80346920048834,173.51458326018735
10,402,170.03996370174133,173.51458326018735
11,435,170.03996370174133,173.51458326018735
12,469,169.6505480287523,173.90399893317644
13,502,170.51250762739787,173.1939472902208
14,535,170.51250762739787,173.1939472902208
15,569,169.88689680476975,173.5833629632099
16,602,170.17669744311632,173.29356232486325
17,635,169.7662448775246,174.006100006295
18,669,170.17669744311632,173.61419829482983
19,702,169.94034866709887,173.61419829482983
20,735,170.17669744311632,173.61419829482983
21,769,170.05769501317636,173.51458326018735
22,802,169.82022552218584,173.51458326018735
23,835,169.70385416584594,173.61419829482983
24,869,170.05769501317636,173.83658223359424
25,902,169.82022552218584,173.71593344256624
26,935,169.82022552218584,173.83658223359424
27,969,170.4484578371634,173.12382043620048
28,1002,169.43080984919678,174.2259979065833
29,1035,169.83712136120275,173.51458326018735
30,1069,169.95807997853396,173.73504503913668
31,1102,170.07557387035968,173.51458326018735
32,1135,170.05769501317636,173.51458326018735
33,1169,170.07557387035968,173.51458326018735
34,1202,169.5661782670688,174.006100006295
35,1235,170.07557387035968,173.51458326018735
36,1269,170.05769501317636,173.83658223359424
37,1302,169.83712136120275,173.63543000449422
38,1335,169.83712136120275,173.51458326018735
39,1369,169.73750632656038,173.73504503913668
40,1402,169.44770568821377,174.34529537964073
41,1435,169.44770568821377,173.90399893317644
42,1469,169.83712136120275,173.63543000449422
43,1502,169.44770568821377,174.2259979065833
44,1535,169.73750632656038,173.73504503913668
45,1569,169.83712136120275,173.63543000449422
46,1602,169.56546776143787,174.12527293648864
47,1635,169.59852759280497,173.63543000449422
48,1669,169.59852759280497,173.63543000449422
49,1702,169.4830014840053,173.85455032740228
50,1735,169.4830014840053,174.0554947412942
51,1769,169.4830014840053,173.73504503913668
52,1802,169.59852759280497,173.63543000449422
53,1835,169.58261651864777,173.95587970665167
54,1869,170.3236681702758,173.14888319542135
55,1902,169.83712136120275,173.95587970665167
56,1935,169.9353891279825,173.41631549340767
57,1969,170.2278841851898,173.2446671805073
58,2002,170.2278841851898,173.2446671805073
59,2035,169.83712136120275,173.95587970665167
60,2069,169.83712136120275,173.63543000449422
61,2102,169.9353891279825,173.41631549340767
62,2135,169.3098368899106,173.80327396308178
63,2169,169.95242623111199,173.09567952344116
64,2202,169.9353891279825,173.09567952344116
65,2235,169.54843065830843,173.48263799311522
66,2269,169.6861581973707,173.90399893317644
67,2302,169.44770568821377,173.70573735959854
68,2335,169.6861581973707,173.70573735959854
69,2369,169.5840571242521,173.807838432717
70,2402,169.3456046150952,173.807838432717
71,2435,169.44770568821377,173.5833629632099
72,2469,169.83712136120275,173.1939472902208
73,2502,169.73750632656038,173.41593672125188
74,2535,169.59852759280497,173.63543000449422
75,2569,169.6967953595847,173.41631549340767
76,2602,170.08507440187796,173.02803645111445
77,2635,169.3598007215629,173.63543000449422
78,2669,169.3448760593547,173.95587970665167
79,2702,169.84634753063582,173.46933289757882
80,2735,169.84634753063582,173.14888319542135
81,2769,169.3448760593547,173.95587970665167
82,2802,169.73563888334178,173.2446671805073
83,2835,169.73563888334178,173.2446671805073
84,2869,169.84634753063582,173.14888319542135
85,2902,169.73563888334178,173.2446671805073
86,2935,169.3448760593547,173.63543000449422
87,2969,169.58261651864777,173.63543000449422
88,3002,169.58261651864777,173.3163216866094
89,3035,169.53153481929144,173.48263799311522
90,3069,169.6505480287523,173.07158951743793
91,3102,169.34807791256424,173.2311094045309
92,3135,169.46190715883648,173.45962920546492
93,3169,169.46190715883648,173.45962920546492
94,3202,169.33063627550385,173.3564740523612
95,3235,169.58346141571982,173.3564740523612
96,3269,169.5650623119402,173.3564740523612
97,3302,169.58346141571982,173.3564740523612
98,3335,169.5650623119402,173.3564740523612
99,3369,168.8235460952534,173.97025545590768
100,3402,169.5650623119402,173.48046472546758
101,3435,169.5650623119402,173.48046472546758
102,3469,169.5650623119402,173.3564740523612
103,3502,169.05055753685753,173.6365527910075
104,3535,169.5650623119402,173.3564740523612
105,3569,169.5650623119402,173.3564740523612
106,3602,169.5650623119402,173.3564740523612
107,3635,169.95067181695808,172.97086454734327
108,3669,169.34807791256424,173.3564740523612
109,3702,169.34807791256424,173.3564740523612
110,3735,169.33063627550385,173.67286622813657
111,3769,169.58346141571982,173.67286622813657
112,3802,169.22748112240015,173.45962920546492
113,3835,169.7336874175822,172.97086454734327
114,3869,169.11255047003908,173.3564740523612
115,3902,168.9929129034511,173.77602138124024
116,3935,169.63296244748756,173.07158951743793
117,3969,169.7336874175822,173.16337634513226
118,4002,169.0093953169354,173.65214100325392
119,4035,169.7336874175822,172.84549989951284
120,4069,169.63296244748756,172.9462248696076
121,4102,169.6505480287523,173.07158951743793
122,4135,169.8683459506432,173.2641013152269
123,4169,169.63296244748756,172.81946450227983
124,4202,169.2625083407252,173.65214100325392
125,4235,169.02601383947228,173.65214100325392
126,4269,169.5484469556337,173.0483259427261
127,4302,169.6505480287523,173.1388356623239
128,4335,168.92145445655493,173.63143473326812
129,4369,169.5484469556337,172.9215655753984
130,4402,169.66827934018735,173.1388356623239
131,4435,169.66827934018735,173.1388356623239
132,4469,169.5484469556337,173.24093673544243
133,4502,169.1579489578079,173.63143473326812
134,4535,169.5484469556337,172.9215655753984
135,4569,169.66827934018735,172.81946450227983
136,4602,169.175680269243,173.63143473326812
137,4635,169.80350021734853,173.24093673544243
138,4669,169.90560129046713,173.0121625857479
139,4702,169.80350021734853,173.24093673544243
140,4735,169.5661782670688,173.24093673544243
141,4769,169.5484469556337,173.24093673544243
142,4802,169.5484469556337,173.24093673544243
143,4835,169.80350021734853,173.24093673544243
144,4869,169.5661782670688,173.24093673544243
145,4902,169.5661782670688,173.24093673544243
146,4935,169.1579489578079,173.63143473326812
147,4969,169.66827934018735,173.0121625857479
148,5002,169.5661782670688,173.24093673544243
149,5035,169.5484469556337,173.24093673544243
150,5069,169.66827934018735,173.0121625857479
151,5102,169.66827934018735,173.0121625857479
152,5135,169.5661782670688,173.24093673544243
153,5169,169.5661782670688,173.24093673544243
154,5202,169.5484469556337,173.24093673544243
155,5235,169.5661782670688,173.24093673544243
156,5269,169.32870877607823,173.24093673544243
157,5302,169.5661782670688,173.43656994809115
158,5335,169.43080984919678,173.0121625857479
159,5369,169.43080984919678,173.0121625857479
160,5402,169.94034866709887,172.72236194740134
161,5435,170.05769501317636,172.6227469127588
162,5469,169.43080984919678,173.0121625857479
163,5502,169.43080984919678,173.0121625857479
164,5535,169.66827934018735,173.3344688749726
165,5569,169.5484469556337,173.24093673544243
166,5602,169.5484469556337,173.24093673544243
167,5635,169.5661782670688,173.24093673544243
168,5669,169.5484469556337,173.24093673544243
169,5702,169.95807997853396,172.8490350239773
170,5735,169.5661782670688,173.5617152449219
171,5769,169.5661782670688,173.5617152449219
172,5802,168.93821077825245,173.9522132427476
173,5835,169.5661782670688,173.24093673544243
174,5869,169.32870877607823,173.24093673544243
175,5902,169.32870877607823,173.24093673544243
176,5935,169.5661782670688,173.5617152449219
177,5969,169.5661782670688,173.5617152449219
178,6002,169.32870877607823,173.24093673544243
179,6035,169.32870877607823,173.24093673544243
180,6069,169.32870877607823,173.5617152449219
181,6102,169.32870877607823,173.5617152449219
182,6135,169.32870877607823,173.5617152449219
183,6169,169.5661782670688,173.5617152449219
184,6202,169.32870877607823,173.24093673544243
185,6235,169.5661782670688,173.5617152449219
186,6269,169.32870877607823,173.5617152449219
187,6302,169.5661782670688,173.5617152449219
188,6335,169.5661782670688,173.5617152449219
189,6369,169.32870877607823,173.5617152449219
190,6402,169.32870877607823,173.5617152449219
191,6435,169.5661782670688,173.5617152449219
192,6469,169.5661782670688,173.5617152449219
193,6502,169.32870877607823,173.24093673544243
194,6535,169.32870877607823,173.24093673544243
195,6569,169.66827934018735,173.3344688749726
196,6602,169.32870877607823,173.24093673544243
