Time(ms),Finger,Phase,MotorID,SensorRaw,L_meas_cm,Theta_meas_deg,Theta_target_deg,L_target_cm,GoalTick,PresentTick,Err_theta_deg
17823,Thumb,Flex,1,304,1.3908749130276072,11.590624275230061,12.0,1.44,100067,100030,0.409375724769939
17823,Index,Flex,2,289,1.5119072946258214,12.599227455215178,10.0,1.2,100041,100076,-2.5992274552151784
17823,Middle,Flex,3,311,1.6522225066530687,13.768520888775573,11.0,1.3199999999999998,100025,100011,-2.768520888775573
17889,Thumb,Flex,1,307,1.6697157985499804,13.914298321249838,12.366666666666665,1.4839999999999998,100028,100049,-1.5476316545831725
17889,Index,Flex,2,313,1.8746397919263476,15.621998266052897,10.383333333333333,1.246,100024,100044,-5.238664932719564
17889,Middle,Flex,3,300,1.8916544122318222,15.76378676859852,11.333333333333332,1.3599999999999999,100028,100006,-4.430453435265187
17955,Thumb,Flex,1,312,2.013260362490695,16.77716968742246,12.733333333333333,1.5279999999999998,100075,100092,-4.0438363540891284
17955,Index,Flex,2,305,1.9104503317564812,15.92041943130401,10.766666666666666,1.2919999999999998,100066,100054,-5.153752764637344
17955,Middle,Flex,3,305,1.988441967326521,16.57034972772101,11.666666666666666,1.4,100033,100043,-4.903683061054343
18021,Thumb,Flex,1,313,1.6024954063187409,13.354128385989508,13.099999999999998,1.5719999999999996,100071,100032,-0.25412838598951026
18021,Index,Flex,2,296,1.112420009878106,9.270166748984218,11.15,1.338,100033,100049,1.879833251015782
18021,Middle,Flex,3,300,1.5599943982963658,12.999953319136381,12.0,1.44,100025,99990,-0.999953319136381
18087,Thumb,Flex,1,303,1.9426128430999308,16.18844035916609,13.466666666666665,1.6159999999999997,100056,100086,-2.7217736924994256
18087,Index,Flex,2,305,2.06017444849138,17.168120404094832,11.533333333333335,1.3840000000000001,100052,100088,-5.634787070761497
18087,Middle,Flex,3,296,1.7089638570683263,14.241365475569387,12.333333333333334,1.48,100068,100079,-1.9080321422360527
18153,Thumb,Flex,1,305,2.2027687806571716,18.356406505476432,13.833333333333332,1.6599999999999997,100034,100023,-4.5230731721431
18153,Index,Flex,2,308,1.7317542895525924,14.431285746271604,11.916666666666666,1.43,100046,100085,-2.5146190796049375
18153,Middle,Flex,3,292,1.7698439271875985,14.748699393229987,12.666666666666664,1.5199999999999996,100078,100082,-2.082032726563323
18219,Thumb,Flex,1,310,2.0814191869008924,17.345159890840772,14.200000000000001,1.704,100081,100105,-3.1451598908407714
18219,Index,Flex,2,306,1.6035935021341572,13.36327918445131,12.3,1.476,100070,100101,-1.063279184451309
18219,Middle,Flex,3,306,1.6641732795964306,13.86811066330359,13.0,1.56,100067,100049,-0.8681106633035895
18285,Thumb,Flex,1,308,2.141740416201844,17.847836801682035,14.566666666666666,1.748,100073,100046,-3.281170135015369
18285,Index,Flex,2,299,1.863856911406359,15.532140928386326,12.683333333333332,1.5219999999999998,100077,100054,-2.8488075950529943
18285,Middle,Flex,3,310,1.735297257950032,14.460810482916935,13.333333333333334,1.6,100034,100010,-1.1274771495836013
18351,Thumb,Flex,1,306,2.390404841325139,19.920040344376158,14.933333333333334,1.792,100066,100093,-4.986707011042824
18351,Index,Flex,2,300,1.832221480876163,15.268512340634691,13.066666666666668,1.568,100049,100018,-2.201845673968023
18351,Middle,Flex,3,291,1.760583512385842,14.671529269882017,13.666666666666666,1.64,100035,100053,-1.0048626032153507
18417,Thumb,Flex,1,299,2.1112166596721096,17.593472163934248,15.299999999999999,1.8359999999999999,100071,100093,-2.293472163934249
18417,Index,Flex,2,299,1.9379566595972029,16.14963882997669,13.45,1.6139999999999999,100068,100032,-2.699638829976692
18417,Middle,Flex,3,310,2.2298440836697035,18.582034030580864,14.0,1.68,100043,100005,-4.582034030580864
18483,Thumb,Flex,1,319,1.9225568523602183,16.02130710300182,15.666666666666666,1.88,100062,100092,-0.3546404363351545
18483,Index,Flex,2,310,1.6215630751265415,13.513025626054514,13.833333333333334,1.66,100035,100046,0.3203077072788201
18483,Middle,Flex,3,310,2.125159910956066,17.709665924633885,14.333333333333334,1.72,100057,100031,-3.3763325913005513
