Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,Frame,∠ABC,∠BCD
17838,2,Flex,>>,1150,101.1,358,323,449,533.0,133.0672640745265,152.77941930933173
17948,2,Flex,>>,1086,101.1,356,320,446,536.0,133.0672640745265,153.14343719648025
18057,2,Flex,>>,1022,97.41,354,319,442,540.0,133.604309239207,152.8487016269584
18167,2,Flex,>>,958,91.87,354,321,443,543.0,133.65351127049016,152.8487016269584
18277,2,Flex,>>,894,86.33,356,319,444,546.0,133.604309239207,153.16466779624673
18387,2,Flex,>>,830,80.62,354,319,443,550.0,134.33695377162215,153.1495820538427
18497,2,Flex,>>,766,74.99,355,324,443,553.0,134.5097672505448,153.42548487719316
18606,2,Flex,>>,702,69.54,354,320,444,556.0,134.78916792712715,153.19581217927063
18716,2,Flex,>>,638,63.82,354,319,443,559.0,134.55254472014693,153.19581217927063
18825,2,Flex,>>,574,58.37,355,321,442,563.0,134.32287202222437,153.45926881055087
18935,2,Flex,>>,510,52.75,353,318,443,566.0,134.69011906758098,153.51214543010076
19046,2,Flex,>>,446,47.03,354,320,445,569.0,134.22567825707625,153.7418181280233
19155,2,Flex,>>,382,41.67,354,320,442,573.0,134.46044636965843,153.77733717344725
19265,2,Flex,>>,318,36.13,353,318,445,576.0,134.60174675143006,153.51214543010076
19374,2,Flex,>>,254,30.59,353,320,444,579.0,134.64120037799628,153.51214543010076
19484,2,Flex,>>,190,24.97,356,322,446,582.0,134.22567825707625,153.7418181280233
19594,2,Flex,>>,126,19.34,354,315,442,586.0,134.28201378885103,153.871332019246
19704,2,Flex,>>,62,14.07,355,320,449,589.0,134.55254472014693,153.51214543010076
19813,2,Flex,>>,-2,8.35,352,317,451,592.0,134.31551645665957,153.51214543010076
19923,2,Flex,>>,-66,2.73,352,318,460,596.0,134.41152768007373,153.77733717344725
20032,2,Flex,>>,-130,-2.81,355,319,461,599.0,134.59267905059104,153.22959611262831
