Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABC_smooth,∠BCD_smooth
17823,1,Flex,>>,2916,256.35,356,323,446,46.80307159254214,27.23449478652254
17838,2,Flex,>>,1150,101.1,358,323,449,46.64036452057918,27.349120439812808
17853,3,Flex,>>,124,10.9,359,323,448,46.64036452057918,27.349120439812808
17933,1,Flex,>>,2877,256.35,355,322,447,46.43162577011,27.257517790746547
17948,2,Flex,>>,1086,101.1,356,320,446,46.43162577011,27.257517790746547
17962,3,Flex,>>,58,10.9,353,318,440,46.43162577011,27.257517790746547
18043,1,Flex,>>,2838,254.15,356,324,446,46.34448186900387,27.196370209355877
18057,2,Flex,>>,1022,97.41,354,319,442,46.34448186900387,27.196370209355877
18072,3,Flex,>>,-8,7.12,354,320,443,46.41532145370056,27.152704711511035
18152,1,Flex,>>,2799,250.9,357,323,446,46.60880991054674,26.908514093846335
18167,2,Flex,>>,958,91.87,354,321,443,46.58967438759477,26.88174945194381
18182,3,Flex,>>,-74,1.49,352,319,442,46.58967438759477,26.88174945194381
18262,1,Flex,>>,2760,247.47,357,323,446,46.536426542607245,26.72707665076824
18277,2,Flex,>>,894,86.33,356,319,444,46.36597802494221,26.724053525343177
18292,3,Flex,>>,-140,-4.31,353,317,440,46.36597802494221,26.724053525343177
18373,1,Flex,>>,2721,244.13,355,322,446,45.785416010727396,26.64694018444723
18387,2,Flex,>>,830,80.62,354,319,443,45.785416010727396,26.64694018444723
18402,3,Flex,>>,-206,-10.02,352,319,442,45.60672947475585,26.664521009431148
18482,1,Flex,>>,2682,240.62,356,321,447,45.44225298261959,26.49716190231822
18497,2,Flex,>>,766,74.99,355,324,443,45.37570479767167,26.4227557825231
18511,3,Flex,>>,-272,-15.91,352,319,440,45.37570479767167,26.4227557825231
18592,1,Flex,>>,2643,237.27,357,322,445,45.4987159735401,26.213112837393446
18606,2,Flex,>>,702,69.54,354,320,444,45.489893905365065,26.265198689438833
18621,3,Flex,>>,-338,-21.71,352,319,443,45.489893905365065,26.265198689438833
18701,1,Flex,>>,2604,233.85,356,322,445,45.552902936984864,26.35088265872529
18716,2,Flex,>>,638,63.82,354,319,443,45.552902936984864,26.35088265872529
18730,3,Flex,>>,-404,-27.52,352,319,443,45.525463506911535,26.44944739067386
18811,1,Flex,>>,2565,230.51,356,322,446,45.401557402462956,26.561450196110552
18825,2,Flex,>>,574,58.37,355,321,442,45.401557402462956,26.561450196110552
18840,3,Flex,>>,-470,-33.23,350,319,443,45.30485635233745,26.566173294798908
18920,1,Flex,>>,2526,227.08,357,321,445,45.42588349342338,26.398328824297487
18935,2,Flex,>>,510,52.75,353,318,443,45.47771440955255,26.367593287085278
18951,3,Flex,>>,-536,-39.03,352,319,444,45.47771440955255,26.367593287085278
19031,1,Flex,>>,2487,223.65,356,319,449,45.539403260014225,26.32271927132021
19046,2,Flex,>>,446,47.03,354,320,445,45.539403260014225,26.32271927132021
19060,3,Flex,>>,-602,-44.66,352,319,441,45.539403260014225,26.32271927132021
19141,1,Flex,>>,2448,220.22,355,320,445,45.47964757474541,26.345160705825734
19155,2,Flex,>>,382,41.67,354,320,442,45.47964757474541,26.345160705825734
19170,3,Flex,>>,-668,-50.29,354,320,442,45.54454873809659,26.275235682886326
19250,1,Flex,>>,2409,216.79,357,322,445,45.69163324479539,26.211841979182104
19265,2,Flex,>>,318,36.13,353,318,445,45.62860515220327,26.22099544974126
19279,3,Flex,>>,-734,-55.91,353,318,444,45.62860515220327,26.22099544974126
19360,1,Flex,>>,2370,213.45,354,319,445,45.60083406610946,26.263711126543676
19374,2,Flex,>>,254,30.59,353,320,444,45.60981799168274,26.216702160159194
19389,3,Flex,>>,-800,-61.63,353,319,441,45.60981799168274,26.216702160159194
19469,1,Flex,>>,2331,210.02,356,320,446,45.75205096543124,26.03944323217832
19484,2,Flex,>>,190,24.97,356,322,446,45.75205096543124,26.03944323217832
19499,3,Flex,>>,-866,-67.34,353,318,443,45.83585603566095,25.94217967749408
19580,1,Flex,>>,2292,206.59,357,322,448,45.873606282768115,25.857674344475914
19594,2,Flex,>>,126,19.34,354,315,442,45.873606282768115,25.857674344475914
19609,3,Flex,>>,-932,-73.05,353,321,443,45.81867333818023,25.86563289418674
19689,1,Flex,>>,2253,203.16,356,320,451,45.60269576413281,26.127691269292615
19704,2,Flex,>>,62,14.07,355,320,449,45.58088802140125,26.107969374192578
19718,3,Flex,>>,-998,-78.86,355,319,447,45.58088802140125,26.107969374192578
19799,1,Flex,>>,2214,199.91,356,321,452,45.3663863704825,26.388024323750304
19813,2,Flex,>>,-2,8.35,352,317,451,45.3663863704825,26.388024323750304
19828,3,Flex,>>,-1064,-84.48,354,319,449,45.3663863704825,26.388024323750304
19908,1,Flex,>>,2175,196.66,355,320,459,45.55957191373606,26.24707706714078
19923,2,Flex,>>,-66,2.73,352,318,460,45.55957191373606,26.24707706714078
19937,3,Flex,>>,-1130,-90.29,352,317,457,45.5873233967537,26.2455961381461
20018,1,Flex,>>,2136,193.14,358,323,465,45.66924091697244,26.186411633281637
20032,2,Flex,>>,-130,-2.81,355,319,461,45.64710312713431,26.1745417771688
20047,3,Flex,>>,-1196,-96.09,353,318,462,45.64710312713431,26.1745417771688
20127,1,Flex,>>,2097,189.8,358,320,468,45.366511951973095,26.314382309418313
20142,2,Flex,>>,-194,-8.35,356,320,466,45.37702264497665,26.223774878608232
20156,3,Flex,>>,-1262,-101.89,351,319,467,45.37702264497665,26.223774878608232
20237,1,Flex,>>,2058,186.37,356,322,471,45.53972027605455,26.028529837408108
20252,2,Flex,>>,-258,-13.89,355,323,471,45.53972027605455,26.028529837408108
20266,3,Flex,>>,-1328,-107.6,354,323,470,45.66345769220258,25.967629626965767
20347,1,Flex,>>,2019,183.03,359,329,477,45.899428097112605,25.958199041483248
20361,2,Flex,>>,-322,-19.34,359,326,476,45.899428097112605,25.958199041483248
20376,3,Flex,>>,-1394,-113.14,357,327,475,45.815466968989426,26.080812362644686
20457,1,Flex,>>,1980,179.87,362,332,483,45.65417986227284,26.120345237927104
20471,2,Flex,>>,-386,-25.05,361,328,481,45.608411873364005,26.05064419962845
20486,3,Flex,>>,-1460,-118.95,360,328,477,45.608411873364005,26.05064419962845
20566,1,Flex,>>,1941,176.44,366,335,489,45.59042392259127,25.88069069829845
20581,2,Flex,>>,-450,-30.51,361,332,484,45.59042392259127,25.88069069829845
20595,3,Flex,>>,-1526,-124.75,361,332,483,45.59042392259127,25.88069069829845
20676,1,Flex,>>,1902,173.1,370,341,495,45.53445903475388,26.174038111730226
20690,2,Flex,>>,-514,-36.04,370,340,493,45.53445903475388,26.174038111730226
20705,3,Flex,>>,-1592,-130.46,372,340,494,45.48494729932068,26.30277627703331
20785,1,Flex,>>,1863,169.67,377,351,510,45.3594871519019,26.57710804489561
20800,2,Flex,>>,-578,-41.67,376,351,511,45.312428145264484,26.620573642597464
20814,3,Flex,>>,-1658,-136.18,375,351,510,45.312428145264484,26.620573642597464
20895,1,Flex,>>,1824,166.33,381,358,522,45.4623096476945,26.333991643117386
20909,2,Flex,>>,-642,-47.21,378,355,519,45.51330150523584,26.177031941448455
20924,3,Flex,>>,-1724,-142.07,377,355,518,45.51330150523584,26.177031941448455
21004,1,Flex,>>,1785,162.81,382,362,527,45.5193714282434,25.81752512681608
21019,2,Flex,>>,-706,-52.75,380,361,526,45.5193714282434,25.81752512681608
21034,3,Flex,>>,-1790,-147.87,382,358,522,45.54478938045648,25.782321916754288
21114,1,Flex,>>,1746,159.47,388,367,535,45.56811633916216,25.813172235648953
21129,2,Flex,>>,-770,-58.29,385,367,532,45.56811633916216,25.813172235648953
21144,3,Flex,>>,-1856,-153.58,383,364,531,45.58220332796755,25.766491616823544
21225,1,Flex,>>,1707,156.13,392,372,542,45.645026042882854,25.821860045002662
21240,2,Flex,>>,-834,-63.74,394,373,541,45.668194799616636,25.83975072210358
21254,3,Flex,>>,-1922,-159.21,392,371,537,45.668194799616636,25.83975072210358
21335,1,Flex,>>,1668,152.7,403,379,550,45.675375622424184,25.882328538662136
21350,2,Flex,>>,-898,-69.19,404,375,547,45.675375622424184,25.882328538662136
21364,3,Flex,>>,-1988,-164.92,403,373,546,45.677444087232104,25.86795713420605
21445,1,Flex,>>,1629,149.27,419,379,556,45.55930116082418,25.879407198108645
21459,2,Flex,>>,-962,-74.64,414,380,551,45.55930116082418,25.879407198108645
21474,3,Flex,>>,-2054,-170.55,415,379,553,45.55039032862505,25.85862142299745
21554,1,Flex,>>,1590,145.67,428,389,566,45.516338782855584,25.85377803989436
21569,2,Flex,>>,-1026,-80.35,425,390,562,45.53818990162462,25.760431657693776
21584,3,Flex,>>,-2120,-176.18,425,392,563,45.53818990162462,25.760431657693776
21664,1,Flex,>>,1551,142.33,431,410,582,45.309519776165466,25.84872420091584
21679,2,Flex,>>,-1090,-86.07,425,407,582,45.309519776165466,25.84872420091584
21693,3,Flex,>>,-2186,-182.07,424,404,582,45.309519776165466,25.84872420091584
21774,1,Flex,>>,1512,138.99,434,416,592,45.1466739758397,26.144970701917742
21788,2,Flex,>>,-1154,-91.78,432,415,591,45.1466739758397,26.144970701917742
21803,3,Flex,>>,-2252,-187.78,429,412,588,45.121820364717735,26.225613869255135
21883,1,Flex,>>,1473,135.74,437,426,601,45.18814287601049,26.095982025611214
21898,2,Flex,>>,-1218,-97.41,437,418,599,45.12668773633736,26.051551383704865
21913,3,Flex,>>,-2318,-193.49,432,418,598,45.12668773633736,26.051551383704865
21993,1,Flex,>>,1434,132.57,440,433,613,44.9993710042204,26.084288722905907
22008,2,Flex,>>,-1282,-102.95,439,434,611,44.882039959070426,26.105227314702987
22022,3,Flex,>>,-2384,-199.21,435,431,607,44.882039959070426,26.105227314702987
22103,1,Flex,>>,1395,129.23,444,444,623,44.74225715952765,25.986889700275057
22117,2,Flex,>>,-1346,-108.57,446,447,619,44.74225715952765,25.986889700275057
22132,3,Flex,>>,-2450,-204.92,442,443,621,44.64046776988306,25.94945950969217
22212,1,Flex,>>,1356,125.98,454,453,630,44.59761004642759,25.624134531205982
22227,2,Flex,>>,-1410,-114.11,454,453,631,44.59761004642759,25.624134531205982
22241,3,Flex,>>,-2516,-210.73,453,449,625,44.52239503373867,25.622121870896823
