Frame,Time(ms),ABC_signed(deg),BCD_signed(deg),∠ABC,∠BCD,∠ABC_smooth,∠BCD_smooth
0,46,-149.15217660338644,-169.82606521396582,30.847823396613563,10.173934786034181,30.669521946957143,10.395512300070473
1,79,-149.68670458051383,-169.313205946189,30.313295419486167,10.686794053811013,30.62939616856724,10.374704373946297
2,112,-149.15217660338644,-169.61933353382614,30.847823396613563,10.380666466173864,30.59371078717983,10.363308032474727
3,146,-149.38057699287663,-169.8322141492838,30.619423007123373,10.1677858507162,30.562465802794907,10.36132327565576
4,179,-149.68670458051383,-169.52608656164665,30.313295419486167,10.47391343835335,30.535661215412475,10.368750103489402
5,212,-149.68670458051383,-169.52608656164665,30.313295419486167,10.47391343835335,30.513297025032596,10.385588515975671
6,246,-149.68670458051383,-169.52608656164665,30.313295419486167,10.47391343835335,30.546542846410905,10.364624764757934
7,279,-149.15217660338644,-169.61933353382614,30.847823396613563,10.380666466173864,30.427096232260727,10.50192861068454
8,312,-149.15217660338644,-169.82606521396582,30.847823396613563,10.173934786034181,30.50144935135652,10.505828587694385
9,346,-149.68670458051383,-169.313205946189,30.313295419486167,10.686794053811013,30.54085449470435,10.509338727478013
10,379,-149.68670458051383,-169.313205946189,30.313295419486167,10.686794053811013,30.60981299708987,10.465592351535554
11,412,-149.68670458051383,-169.313205946189,30.313295419486167,10.686794053811013,30.57024994301492,10.44434558491386
12,446,-148.93212312287665,-170.05226762979362,31.067876877123354,9.947732370206381,30.50820706498952,10.392618083956787
13,479,-149.477650601778,-169.52608656164665,30.52234939822199,10.47391343835335,30.594232102186293,10.295296050248592
14,512,-149.15217660338644,-170.03899086629596,30.847823396613563,9.961009133704039,30.738608563539067,10.106269870996254
15,546,-149.70695824554346,-169.7328632786588,30.29304175445654,10.267136721341188,30.719968073036,10.080370033679387
16,579,-149.15217660338644,-170.03899086629596,30.847823396613563,9.961009133704039,30.78940622107318,10.035874389552628
17,612,-148.92362253621354,-170.03899086629596,31.076377463786457,9.961009133704039,30.75782828428533,10.125482991163947
18,646,-149.23904849501182,-169.95211897467058,30.760951504988185,10.047881025329417,30.824694407530014,10.079376458180864
