Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2
17823,1,Flex,>>,2916,256.35,356,323,446
17838,2,Flex,>>,1150,101.1,358,323,449
17853,3,Flex,>>,124,10.9,359,323,448
17933,1,Flex,>>,2877,256.35,355,322,447
17948,2,Flex,>>,1086,101.1,356,320,446
17962,3,Flex,>>,58,10.9,353,318,440
18043,1,Flex,>>,2838,254.15,356,324,446
18057,2,Flex,>>,1022,97.41,354,319,442
18072,3,Flex,>>,-8,7.12,354,320,443
18152,1,Flex,>>,2799,250.9,357,323,446
18167,2,Flex,>>,958,91.87,354,321,443
18182,3,Flex,>>,-74,1.49,352,319,442
18262,1,Flex,>>,2760,247.47,357,323,446
18277,2,Flex,>>,894,86.33,356,319,444
18292,3,Flex,>>,-140,-4.31,353,317,440
18373,1,Flex,>>,2721,244.13,355,322,446
18387,2,Flex,>>,830,80.62,354,319,443
18402,3,Flex,>>,-206,-10.02,352,319,442
18482,1,Flex,>>,2682,240.62,356,321,447
18497,2,Flex,>>,766,74.99,355,324,443
18511,3,Flex,>>,-272,-15.91,352,319,440
18592,1,Flex,>>,2643,237.27,357,322,445
18606,2,Flex,>>,702,69.54,354,320,444
18621,3,Flex,>>,-338,-21.71,352,319,443
18701,1,Flex,>>,2604,233.85,356,322,445
18716,2,Flex,>>,638,63.82,354,319,443
18730,3,Flex,>>,-404,-27.52,352,319,443
18811,1,Flex,>>,2565,230.51,356,322,446
18825,2,Flex,>>,574,58.37,355,321,442
18840,3,Flex,>>,-470,-33.23,350,319,443
18920,1,Flex,>>,2526,227.08,357,321,445
18935,2,Flex,>>,510,52.75,353,318,443
18951,3,Flex,>>,-536,-39.03,352,319,444
19031,1,Flex,>>,2487,223.65,356,319,449
19046,2,Flex,>>,446,47.03,354,320,445
19060,3,Flex,>>,-602,-44.66,352,319,441
19141,1,Flex,>>,2448,220.22,355,320,445
19155,2,Flex,>>,382,41.67,354,320,442
19170,3,Flex,>>,-668,-50.29,354,320,442
19250,1,Flex,>>,2409,216.79,357,322,445
19265,2,Flex,>>,318,36.13,353,318,445
19279,3,Flex,>>,-734,-55.91,353,318,444
19360,1,Flex,>>,2370,213.45,354,319,445
19374,2,Flex,>>,254,30.59,353,320,444
19389,3,Flex,>>,-800,-61.63,353,319,441
19469,1,Flex,>>,2331,210.02,356,320,446
19484,2,Flex,>>,190,24.97,356,322,446
19499,3,Flex,>>,-866,-67.34,353,318,443
19580,1,Flex,>>,2292,206.59,357,322,448
19594,2,Flex,>>,126,19.34,354,315,442
19609,3,Flex,>>,-932,-73.05,353,321,443
19689,1,Flex,>>,2253,203.16,356,320,451
19704,2,Flex,>>,62,14.07,355,320,449
19718,3,Flex,>>,-998,-78.86,355,319,447
19799,1,Flex,>>,2214,199.91,356,321,452
19813,2,Flex,>>,-2,8.35,352,317,451
19828,3,Flex,>>,-1064,-84.48,354,319,449
19908,1,Flex,>>,2175,196.66,355,320,459
19923,2,Flex,>>,-66,2.73,352,318,460
19937,3,Flex,>>,-1130,-90.29,352,317,457
20018,1,Flex,>>,2136,193.14,358,323,465
20032,2,Flex,>>,-130,-2.81,355,319,461
20047,3,Flex,>>,-1196,-96.09,353,318,462
20127,1,Flex,>>,2097,189.8,358,320,468
20142,2,Flex,>>,-194,-8.35,356,320,466
20156,3,Flex,>>,-1262,-101.89,351,319,467
20237,1,Flex,>>,2058,186.37,356,322,471
20252,2,Flex,>>,-258,-13.89,355,323,471
20266,3,Flex,>>,-1328,-107.6,354,323,470
20347,1,Flex,>>,2019,183.03,359,329,477
20361,2,Flex,>>,-322,-19.34,359,326,476
20376,3,Flex,>>,-1394,-113.14,357,327,475
20457,1,Flex,>>,1980,179.87,362,332,483
20471,2,Flex,>>,-386,-25.05,361,328,481
20486,3,Flex,>>,-1460,-118.95,360,328,477
20566,1,Flex,>>,1941,176.44,366,335,489
20581,2,Flex,>>,-450,-30.51,361,332,484
20595,3,Flex,>>,-1526,-124.75,361,332,483
20676,1,Flex,>>,1902,173.1,370,341,495
20690,2,Flex,>>,-514,-36.04,370,340,493
20705,3,Flex,>>,-1592,-130.46,372,340,494
20785,1,Flex,>>,1863,169.67,377,351,510
20800,2,Flex,>>,-578,-41.67,376,351,511
20814,3,Flex,>>,-1658,-136.18,375,351,510
20895,1,Flex,>>,1824,166.33,381,358,522
20909,2,Flex,>>,-642,-47.21,378,355,519
20924,3,Flex,>>,-1724,-142.07,377,355,518
21004,1,Flex,>>,1785,162.81,382,362,527
21019,2,Flex,>>,-706,-52.75,380,361,526
21034,3,Flex,>>,-1790,-147.87,382,358,522
21114,1,Flex,>>,1746,159.47,388,367,535
21129,2,Flex,>>,-770,-58.29,385,367,532
21144,3,Flex,>>,-1856,-153.58,383,364,531
21225,1,Flex,>>,1707,156.13,392,372,542
21240,2,Flex,>>,-834,-63.74,394,373,541
21254,3,Flex,>>,-1922,-159.21,392,371,537
21335,1,Flex,>>,1668,152.7,403,379,550
21350,2,Flex,>>,-898,-69.19,404,375,547
21364,3,Flex,>>,-1988,-164.92,403,373,546
21445,1,Flex,>>,1629,149.27,419,379,556
21459,2,Flex,>>,-962,-74.64,414,380,551
21474,3,Flex,>>,-2054,-170.55,415,379,553
21554,1,Flex,>>,1590,145.67,428,389,566
21569,2,Flex,>>,-1026,-80.35,425,390,562
21584,3,Flex,>>,-2120,-176.18,425,392,563
21664,1,Flex,>>,1551,142.33,431,410,582
21679,2,Flex,>>,-1090,-86.07,425,407,582
21693,3,Flex,>>,-2186,-182.07,424,404,582
21774,1,Flex,>>,1512,138.99,434,416,592
21788,2,Flex,>>,-1154,-91.78,432,415,591
21803,3,Flex,>>,-2252,-187.78,429,412,588
21883,1,Flex,>>,1473,135.74,437,426,601
21898,2,Flex,>>,-1218,-97.41,437,418,599
21913,3,Flex,>>,-2318,-193.49,432,418,598
21993,1,Flex,>>,1434,132.57,440,433,613
22008,2,Flex,>>,-1282,-102.95,439,434,611
22022,3,Flex,>>,-2384,-199.21,435,431,607
22103,1,Flex,>>,1395,129.23,444,444,623
22117,2,Flex,>>,-1346,-108.57,446,447,619
22132,3,Flex,>>,-2450,-204.92,442,443,621
22212,1,Flex,>>,1356,125.98,454,453,630
22227,2,Flex,>>,-1410,-114.11,454,453,631
22241,3,Flex,>>,-2516,-210.73,453,449,625
22322,1,Flex,>>,1317,122.55,467,459,635
22336,2,Flex,>>,-1474,-119.65,462,457,630
22351,3,Flex,>>,-2582,-216.53,461,455,629
22431,1,Flex,>>,1278,119.3,468,469,640
22446,2,Flex,>>,-1538,-125.27,467,464,637
22461,3,Flex,>>,-2648,-222.24,463,464,637
22541,1,Flex,>>,1239,116.04,471,482,653
22556,2,Flex,>>,-1602,-130.73,470,479,649
22570,3,Flex,>>,-2714,-228.04,466,473,643
22651,1,Flex,>>,1200,112.88,478,494,662
22666,2,Flex,>>,-1666,-136.35,476,490,658
22680,3,Flex,>>,-2780,-233.85,473,486,655
22761,1,Flex,>>,1161,109.54,488,507,676
22776,2,Flex,>>,-1730,-141.89,486,505,670
22790,3,Flex,>>,-2846,-239.65,486,504,669
22871,1,Flex,>>,1122,106.11,496,517,735
22885,2,Flex,>>,-1794,-147.43,490,513,717
22900,3,Flex,>>,-2912,-245.36,489,509,738
22981,1,Flex,>>,1083,102.86,506,523,717
22996,2,Flex,>>,-1858,-153.14,500,518,739
23011,3,Flex,>>,-2978,-251.08,498,515,713
23091,1,Flex,>>,1044,99.52,512,527,747
23106,2,Flex,>>,-1922,-158.42,509,522,740
23121,3,Flex,>>,-3044,-256.88,508,521,688
23201,1,Flex,>>,1005,96.44,517,532,701
23216,2,Flex,>>,-1986,-163.87,518,531,700
23231,3,Flex,>>,-3110,-262.51,512,529,704
23312,1,Flex,>>,966,93.19,527,538,746
23327,2,Flex,>>,-2050,-169.32,522,535,734
23341,3,Flex,>>,-3176,-267.96,521,527,732
23422,1,Flex,>>,927,90.02,537,543,712
23436,2,Flex,>>,-2114,-174.51,535,538,706
23451,3,Flex,>>,-3242,-273.58,530,536,703
23532,1,Flex,>>,888,86.77,554,544,773
23546,2,Flex,>>,-2178,-179.87,550,547,723
23561,3,Flex,>>,-3308,-279.21,546,543,719
23641,1,Flex,>>,849,83.43,559,550,722
23656,2,Flex,>>,-2242,-185.05,555,549,723
