Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABC_smooth,∠BCD_smooth
17823,1,Flex,>>,2916,256.35,356,323,446,33.259819070110865,11.093935621035829
17838,2,Flex,>>,1150,101.1,358,323,449,33.259819070110865,11.093935621035829
17853,3,Flex,>>,124,10.9,359,323,448,33.430442494322826,11.189422123745182
17933,1,Flex,>>,2877,256.35,355,322,447,33.59924633517182,11.509771481128155
17948,2,Flex,>>,1086,101.1,356,320,446,33.643710611213095,11.803244773459314
17962,3,Flex,>>,58,10.9,353,318,440,33.643710611213095,11.803244773459314
18043,1,Flex,>>,2838,254.15,356,324,446,34.51583270582648,12.315156335378465
18057,2,Flex,>>,1022,97.41,354,319,442,34.51583270582648,12.315156335378465
18072,3,Flex,>>,-8,7.12,354,320,443,34.51583270582648,12.315156335378465
18152,1,Flex,>>,2799,250.9,357,323,446,36.13283615903615,12.676109710423123
18167,2,Flex,>>,958,91.87,354,321,443,36.13283615903615,12.676109710423123
18182,3,Flex,>>,-74,1.49,352,319,442,36.71693322880283,12.888266674110927
18262,1,Flex,>>,2760,247.47,357,323,446,37.87238444823967,13.004859997905445
18277,2,Flex,>>,894,86.33,356,319,444,38.385663889738844,13.153631262198523
18292,3,Flex,>>,-140,-4.31,353,317,440,38.385663889738844,13.153631262198523
18373,1,Flex,>>,2721,244.13,355,322,446,39.24553407704491,13.251373997998236
18387,2,Flex,>>,830,80.62,354,319,443,39.552019262928354,13.374807788609669
18402,3,Flex,>>,-206,-10.02,352,319,442,39.552019262928354,13.374807788609669
18482,1,Flex,>>,2682,240.62,356,321,447,40.56748209425501,13.733499088043478
18497,2,Flex,>>,766,74.99,355,324,443,40.56748209425501,13.733499088043478
18511,3,Flex,>>,-272,-15.91,352,319,440,40.99389639160353,13.798054988226475
18592,1,Flex,>>,2643,237.27,357,322,445,41.908758783184624,13.900989893939922
18606,2,Flex,>>,702,69.54,354,320,444,41.908758783184624,13.900989893939922
18621,3,Flex,>>,-338,-21.71,352,319,443,42.10776663456048,14.261356528750795
18701,1,Flex,>>,2604,233.85,356,322,445,42.48838102474862,14.956343023164656
18716,2,Flex,>>,638,63.82,354,319,443,42.69566158515062,15.299148384652584
18730,3,Flex,>>,-404,-27.52,352,319,443,42.69566158515062,15.299148384652584
18811,1,Flex,>>,2565,230.51,356,322,446,43.25643976212609,16.09789098039859
18825,2,Flex,>>,574,58.37,355,321,442,43.25643976212609,16.09789098039859
18840,3,Flex,>>,-470,-33.23,350,319,443,43.25643976212609,16.09789098039859
18920,1,Flex,>>,2526,227.08,357,321,445,44.32756282295256,16.794035513894883
18935,2,Flex,>>,510,52.75,353,318,443,44.32756282295256,16.794035513894883
18951,3,Flex,>>,-536,-39.03,352,319,444,44.884753389074646,17.17490542609031
19031,1,Flex,>>,2487,223.65,356,319,449,46.43443131352423,17.49669271928338
19046,2,Flex,>>,446,47.03,354,320,445,47.16025016666045,17.74568466553411
