Frame,Time(ms),ABC_signed(deg),BCD_signed(deg),∠ABC,∠BCD,∠ABC_smooth,∠BCD_smooth
0,6292,-149.15217660338644,-169.82606521396582,30.847823396613563,10.173934786034181,30.482472347919586,10.435938119311523
1,6325,-149.68670458051383,-169.313205946189,30.313295419486167,10.686794053811013,30.642238499859214,10.408677863545877
2,6358,-149.15217660338644,-169.61933353382614,30.847823396613563,10.380666466173864,30.7684017171936,10.383904733365078
3,6392,-149.68670458051383,-169.52608656164665,30.313295419486167,10.47391343835335,30.86096199992275,10.361618728769129
4,6425,-149.68670458051383,-169.52608656164665,30.313295419486167,10.47391343835335,30.919919348046655,10.341819849758027
5,6458,-147.4749998025803,-169.72702278251657,32.5250001974197,10.27297721748343,30.945273761565396,10.324508096331801
6,6492,-149.38057699287663,-170.03899086629596,30.619423007123373,9.961009133704039,31.021106593636098,10.219371884351897
7,6525,-149.15217660338644,-169.61933353382614,30.847823396613563,10.380666466173864,30.88225722646188,10.297042427204197
8,6558,-149.15217660338644,-169.82606521396582,30.847823396613563,10.173934786034181,30.892760820039765,10.28320015116428
9,6592,-149.68670458051383,-169.52608656164665,30.313295419486167,10.47391343835335,30.70354226397741,10.319401592781801
10,6625,-149.23904849501182,-169.74534225765845,30.760951504988185,10.25465774234155,30.501660724669453,10.319152459325093
11,6658,-149.68670458051383,-169.313205946189,30.313295419486167,10.686794053811013,30.641461035317608,10.309586041111029
12,6692,-148.93212312287665,-170.05226762979362,31.067876877123354,9.947732370206381,30.5441278761034,10.267214241271898
13,6725,-149.68670458051383,-169.7328632786588,30.313295419486167,10.267136721341188,30.531758464277647,10.235008317843409
14,6758,-149.17152301414083,-170.03899086629596,30.82847698585917,9.961009133704039,30.54909620431643,10.14950676569586
15,6792,-149.70695824554346,-169.7328632786588,30.29304175445654,10.267136721341188,30.5617070796777,10.12900614766276
16,6825,-149.68670458051383,-169.7328632786588,30.313295419486167,10.267136721341188,30.654370549364835,10.048749828651419
17,6858,-149.15217660338644,-170.03899086629596,30.847823396613563,9.961009133704039,30.63476670826796,10.141489776788342
