Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,Frame,∠ABC,∠BCD,∠ABC_smooth,∠BCD_smooth
12485,2,Flex,>>,1140,100.22,388,302,429,182,12.557576665859983,3.2488158105481375,12.89612475477919,3.2323973344188732
12595,2,Flex,>>,1076,100.22,386,299,426,186,13.060275396610393,2.7461170797977275,12.928280928158276,3.1236866297927564
12704,2,Flex,>>,1012,96.53,384,299,422,189,12.763427746295378,3.2003459632591955,13.110024142599606,3.03113857886423
12814,2,Flex,>>,948,90.99,385,299,426,192,12.763427746295378,3.2003459632591955,13.193662049394955,2.97667458121326
12923,2,Flex,>>,884,85.36,383,298,424,195,12.98945841293343,2.974315296621171,13.083471014965056,2.9300299529482796
13033,2,Flex,>>,820,79.74,383,299,421,199,13.195405137492742,3.1757239569722913,13.091229317798426,3.154278534435579
13143,2,Flex,>>,756,74.11,385,299,425,202,13.035361476886749,3.1757239569722913,13.188773054661382,3.148051468861495
13253,2,Flex,>>,692,68.48,383,298,427,205,13.355897097327386,3.1757239569722913,13.048470680517145,3.2579394090937717
13363,2,Flex,>>,628,62.86,384,299,427,209,12.170610287929264,3.721735136240511,12.876838296413705,3.3088992056866178
13472,2,Flex,>>,564,57.32,385,299,429,212,13.149502073539423,3.2400382604953393,12.932840900571026,3.215329704686302
13582,2,Flex,>>,500,51.69,384,299,430,215,12.763427746295378,3.447657687563634,12.914507007512091,3.361585992443017
13691,2,Flex,>>,436,45.98,383,299,434,218,12.92347140690137,3.447657687563634,12.890568487739978,3.3799572002653746
13801,2,Flex,>>,372,40.53,383,301,464,222,12.763427746295378,3.447657687563634,12.792417640829315,3.3603157224508897
13911,2,Flex,>>,308,34.9,382,298,486,225,13.035361476886749,3.1757239569722913,12.889847523814293,3.464817755541923
14020,2,Flex,>>,244,29.19,384,300,492,228,12.763427746295378,3.7135455591200923,12.708254653944074,3.4170958071521462
14130,2,Flex,>>,180,23.65,383,299,494,232,12.444687736606113,3.7135455591200923,12.67090103107354,3.487819469937786
14239,2,Flex,>>,116,17.93,385,300,499,235,13.195405137492742,3.1757239569722913,12.985843745901573,3.5443250947657683
14349,2,Flex,>>,52,12.4,383,300,501,238,13.149502073539423,2.974315296621171,13.117826079897602,3.2780309799302323
14460,2,Flex,>>,-12,6.77,384,299,505,242,12.763427746295378,3.2003459632591955,12.893241415655938,3.4719482693209014
14570,2,Flex,>>,-76,1.05,382,299,510,245,12.92347140690137,3.7135455591200923,12.744184964698645,3.504425519744404
14679,2,Flex,>>,-140,-4.48,381,300,517,248,12.763427746295378,3.466068927133392,12.889491064433997,3.4756346366779227
14789,2,Flex,>>,-204,-10.11,381,299,519,251,12.92347140690137,3.7135455591200923,13.12454911615208,3.3801131723475963
14899,2,Flex,>>,-268,-15.74,382,299,523,255,12.606046513148897,3.7135455591200923,12.618096863075369,3.54859073033034
15009,2,Flex,>>,-332,-21.27,382,299,528,258,12.444687736606113,3.7135455591200923,12.737200026325386,3.750129006904818
15119,2,Flex,>>,-396,-27.08,383,300,533,261,13.149502073539423,3.4875148924820394,12.914371220599055,3.7261170259198773
15229,2,Flex,>>,-460,-32.7,379,299,539,265,12.763427746295378,3.7135455591200923,12.946843724616798,3.6111115434390255
15338,2,Flex,>>,-524,-38.33,379,299,549,268,13.149502073539423,3.4875148924820394,12.968458010548014,3.5626870463278717
15448,2,Flex,>>,-588,-43.87,379,298,572,271,12.444687736606113,3.7135455591200923,12.773921319759747,3.56660304887658
15558,2,Flex,>>,-652,-49.49,380,298,575,275,12.763427746295378,3.9771359163198383,12.679242281309765,3.741733456349178
15667,2,Flex,>>,-716,-55.21,378,299,583,278,13.035361476886749,3.441611828528721,12.557907235608958,3.6464651714730527
15777,2,Flex,>>,-780,-60.84,378,297,593,281,12.83207717978695,2.974315296621171,12.608600725124592,3.619053434271285
15887,2,Flex,>>,-844,-66.37,378,299,603,284,13.195405137492742,3.425351776399282,12.897885521059436,3.437669158600266
