Frame,Time(ms),∠ABC,∠BCD
0,6431,167.16792282021305,177.27070332919564
1,6464,167.16792282021305,177.02568470337863
2,6497,167.3939534868511,176.7996540367408
3,6531,166.5781649321138,177.54303632354262
4,6564,166.69222269504644,177.02568470337863
5,6597,167.03141280070096,176.50505517794102
6,6631,167.35060604177545,176.77059521388068
7,6664,167.35060604177545,176.77059521388068
8,6697,166.8744747901336,176.77059521388068
9,6731,166.8744747901336,177.0384054245448
10,6764,167.1923308103613,176.52557658806393
11,6797,166.7573353520241,176.7996540367408
12,6831,167.35060604177545,176.2598536241896
13,6864,167.35060604177545,176.77059521388068
14,6897,166.8744747901336,176.77059521388068
15,6931,167.25486389349797,176.5471441210839
16,6964,166.8744747901336,177.01334364887893
17,6997,167.1923308103613,176.77059521388068
18,7031,167.03141280070096,176.50505517794102
19,7064,167.62683996580665,176.49436128984973
20,7097,166.8744747901336,176.77059521388068
21,7131,166.6488671887457,176.99620281526882
22,7164,166.8744747901336,176.52557658806393
23,7197,167.62683996580665,176.76217150051377
24,7231,166.93390746504897,176.8149543317479
25,7264,167.37369990959573,176.53918030508297
26,7297,167.5306379201631,176.53918030508297
27,7331,166.8744747901336,177.0384054245448
28,7364,166.8744747901336,177.0384054245448
29,7397,167.46856473439252,176.76217150051377
30,7431,166.8744747901336,177.0384054245448
31,7464,167.25486389349797,176.30212549526692
32,7497,167.25486389349797,176.5471441210839
33,7531,167.15070871416475,176.49436128984973
34,7564,167.46856473439252,176.49436128984973
35,7597,167.03141280070096,177.0384054245448
36,7631,166.8744747901336,176.7935926355859
37,7664,167.62683996580665,176.24934266403267
38,7697,167.62683996580665,176.49436128984973
39,7731,167.24340447053336,176.7195215537089
40,7764,167.35060604177545,176.7935926355859
41,7797,166.8744747901336,177.0384054245448
42,7831,167.03141280070096,177.0384054245448
43,7864,167.8498311612376,176.0263514686018
44,7897,166.8744747901336,176.52557658806393
45,7931,167.1923308103613,176.52557658806393
46,7964,167.73410079517856,176.0548137709624
47,7997,166.7573353520241,176.7996540367408
48,8031,167.13992355056803,176.3284553951322
49,8064,167.82938971207076,176.2598536241896
50,8097,167.66803093552795,176.01237699220297
51,8131,167.55531226339392,176.5523423124364
52,8164,167.28337853280252,176.82427604302757
53,8197,167.32928159675586,177.02568470337863
54,8231,167.39841160849736,176.53393107286658
55,8264,166.85049792646052,177.02568470337863
56,8297,166.69222269504644,177.02568470337863
57,8331,166.85049792646052,177.02568470337863
58,8364,167.23657225370465,176.2864544408799
59,8397,167.16792282021305,176.51248510751785
