Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2
12485,2,Flex,>>,1140,100.22,388,302,429
12595,2,Flex,>>,1076,100.22,386,299,426
12704,2,Flex,>>,1012,96.53,384,299,422
12814,2,Flex,>>,948,90.99,385,299,426
12923,2,Flex,>>,884,85.36,383,298,424
13033,2,Flex,>>,820,79.74,383,299,421
13143,2,Flex,>>,756,74.11,385,299,425
13253,2,Flex,>>,692,68.48,383,298,427
13363,2,Flex,>>,628,62.86,384,299,427
13472,2,Flex,>>,564,57.32,385,299,429
13582,2,Flex,>>,500,51.69,384,299,430
13691,2,Flex,>>,436,45.98,383,299,434
13801,2,Flex,>>,372,40.53,383,301,464
13911,2,Flex,>>,308,34.9,382,298,486
14020,2,Flex,>>,244,29.19,384,300,492
14130,2,Flex,>>,180,23.65,383,299,494
14239,2,Flex,>>,116,17.93,385,300,499
14349,2,Flex,>>,52,12.4,383,300,501
14460,2,Flex,>>,-12,6.77,384,299,505
14570,2,Flex,>>,-76,1.05,382,299,510
14679,2,Flex,>>,-140,-4.48,381,300,517
14789,2,Flex,>>,-204,-10.11,381,299,519
14899,2,Flex,>>,-268,-15.74,382,299,523
15009,2,Flex,>>,-332,-21.27,382,299,528
15119,2,Flex,>>,-396,-27.08,383,300,533
15229,2,Flex,>>,-460,-32.7,379,299,539
15338,2,Flex,>>,-524,-38.33,379,299,549
15448,2,Flex,>>,-588,-43.87,379,298,572
15558,2,Flex,>>,-652,-49.49,380,298,575
15667,2,Flex,>>,-716,-55.21,378,299,583
15777,2,Flex,>>,-780,-60.84,378,297,593
15887,2,Flex,>>,-844,-66.37,378,299,603
15996,2,Flex,>>,-908,-72.0,377,298,608
16106,2,Flex,>>,-972,-77.63,377,299,614
16216,2,Flex,>>,-1036,-83.25,376,299,628
16325,2,Flex,>>,-1100,-88.79,376,299,640
16435,2,Flex,>>,-1164,-94.42,375,297,642
16545,2,Flex,>>,-1228,-100.04,375,299,642
16655,2,Flex,>>,-1292,-105.67,375,298,650
16764,2,Flex,>>,-1356,-111.38,375,298,650
16874,2,Flex,>>,-1420,-117.01,374,297,662
16984,2,Flex,>>,-1484,-122.55,375,298,662
17094,2,Flex,>>,-1548,-128.18,374,297,667
17205,2,Flex,>>,-1612,-133.71,374,297,666
17314,2,Flex,>>,-1676,-139.34,375,297,668
17424,2,Flex,>>,-1740,-144.88,373,297,679
17534,2,Flex,>>,-1804,-150.42,373,298,701
17644,2,Flex,>>,-1868,-156.04,371,298,709
17754,2,Flex,>>,-1932,-161.49,373,298,711
17863,2,Flex,>>,-1996,-167.03,371,297,716
17974,2,Flex,>>,-2060,-172.57,372,297,719
18083,2,Flex,>>,-2124,-178.02,373,296,729
18193,2,Flex,>>,-2188,-183.56,373,296,744
18303,2,Flex,>>,-2252,-189.1,373,295,744
18413,2,Flex,>>,-2316,-194.37,373,296,757
18522,2,Flex,>>,-2380,-199.91,375,295,766
18632,2,Flex,>>,-2444,-205.36,375,295,773
18743,2,Flex,>>,-2508,-210.64,380,295,769
18854,2,Flex,>>,-2572,-215.82,381,293,766
18965,2,Flex,>>,-2636,-220.92,378,292,773
19074,2,Flex,>>,-2700,-225.93,379,291,769
19185,2,Flex,<<,-2700,-230.59,384,295,783
19295,2,Flex,<<,-2636,-231.56,386,296,788
19404,2,Flex,<<,-2572,-231.47,390,299,793
19515,2,Flex,<<,-2508,-226.9,388,298,786
19625,2,Flex,<<,-2444,-221.63,389,299,783
19734,2,Flex,<<,-2380,-216.44,388,298,778
