Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABC_smooth,∠BCD_smooth
18194,1,Flex,>>,2916,256.35,389,293,433,47.86161715150699,30.58952931141214
18208,2,Flex,>>,1151,101.19,389,291,432,47.86161715150699,30.58952931141214
18223,3,Flex,>>,124,10.9,389,293,433,47.89559625710923,30.522921958135445
18303,1,Flex,>>,2877,256.35,388,291,431,47.94840682695872,30.46710954181485
18318,2,Flex,>>,1087,101.19,384,290,428,47.94840682695872,30.46710954181485
18332,3,Flex,>>,58,10.9,383,289,427,47.95805039522317,30.410245943110958
18412,1,Flex,>>,2838,254.15,386,290,428,48.02469349761897,30.294778031807095
18427,2,Flex,>>,1023,97.41,385,290,428,48.10627837870052,30.125075992518905
18441,3,Flex,>>,-8,7.12,385,289,427,48.10627837870052,30.125075992518905
18522,1,Flex,>>,2799,250.81,387,291,430,47.89434366461143,30.048559349849207
18536,2,Flex,>>,959,91.87,385,289,427,47.89434366461143,30.048559349849207
18551,3,Flex,>>,-74,1.49,382,287,427,47.89434366461143,30.048559349849207
18631,1,Flex,>>,2760,247.47,387,291,430,47.46204230631981,30.382204821566372
18646,2,Flex,>>,895,86.33,385,289,426,47.46204230631981,30.382204821566372
18660,3,Flex,>>,-140,-4.22,384,287,424,47.50266997423044,30.415996719530234
18741,1,Flex,>>,2721,244.13,387,292,429,47.76493737755099,30.41515945137356
18755,2,Flex,>>,831,80.62,384,289,427,47.877812297384395,30.38239439394055
18770,3,Flex,>>,-206,-9.93,380,288,426,47.877812297384395,30.38239439394055
18850,1,Flex,>>,2682,240.62,387,291,430,47.94157189928369,30.2395327189541
18865,2,Flex,>>,767,75.08,386,291,428,47.93712417827449,30.22190654469457
18880,3,Flex,>>,-272,-15.56,382,287,427,47.93712417827449,30.22190654469457
18960,1,Flex,>>,2643,237.19,386,292,432,47.93106476244357,30.237873904297743
18975,2,Flex,>>,703,69.45,383,287,429,47.93106476244357,30.237873904297743
18989,3,Flex,>>,-338,-21.19,385,289,426,47.987274746431545,30.19232384576052
19070,1,Flex,>>,2604,233.85,386,292,433,48.071468639254746,30.122010272706042
19084,2,Flex,>>,639,63.82,383,289,431,48.071468639254746,30.122010272706042
19099,3,Flex,>>,-404,-26.9,382,288,429,48.066426724075725,30.113449801416856
19179,1,Flex,>>,2565,230.42,386,291,434,47.835304939496254,30.235746909952383
19194,2,Flex,>>,575,58.2,384,290,435,47.71948833747926,30.415370152819133
19208,3,Flex,>>,-470,-32.62,383,287,432,47.71948833747926,30.415370152819133
19289,1,Flex,>>,2526,227.08,387,291,440,47.79577208748789,30.644334637167827
19303,2,Flex,>>,511,52.57,384,288,439,47.79577208748789,30.644334637167827
19318,3,Flex,>>,-536,-38.24,385,290,440,47.79577208748789,30.644334637167827
19398,1,Flex,>>,2487,223.65,387,290,447,47.96947988314311,30.433489696806138
19413,2,Flex,>>,447,46.95,384,290,444,47.96947988314311,30.433489696806138
