Frame,Time(ms),ABC_signed(deg),BCD_signed(deg),∠ABC,∠BCD,∠ABC_smooth,∠BCD_smooth
0,504,-162.06874670916565,-174.01509970985796,17.93125329083435,5.984900290142036,17.74773407732991,6.1458676205495895
1,537,-162.2430329550122,-173.87350180117733,17.75696704498779,6.126498198822674,17.752427156722376,6.287277446304728
2,570,-162.53114630196765,-173.24811056053545,17.468853698032348,6.751889439464549,17.761889906851003,6.4027190920861905
3,604,-162.53114630196765,-173.07057734997878,17.468853698032348,6.929422650021223,17.7761223277158,6.492192557893978
4,637,-161.75715497218786,-173.71051015333745,18.242845027812137,6.289489846662548,17.795124419316757,6.5556978437280895
5,670,-162.06874670916565,-173.71051015333745,17.93125329083435,6.289489846662548,17.818896181653923,6.593234949588541
6,704,-162.56383463913357,-173.07057734997878,17.436165360866426,6.929422650021223,17.924354427407554,6.542243313806075
7,737,-161.78815731483758,-173.71051015333745,18.211842685162424,6.289489846662548,17.981733953424115,6.438947414933219
8,770,-162.21034461784632,-173.39137903410014,17.789655382153683,6.60862096589986,17.947994490698647,6.4349828096523165
9,804,-161.75715497218786,-173.71051015333745,18.242845027812137,6.289489846662548,17.831629367414262,6.586108349895906
10,837,-162.21034461784632,-173.39137903410014,17.789655382153683,6.60862096589986,17.806865518293407,6.658284938331528
11,870,-162.39100638694626,-173.38825047555684,17.60899361305374,6.611749524443155,17.840051098117517,6.633491236403638
12,904,-162.39100638694626,-173.08553268262145,17.60899361305374,6.914467317378552,17.69142516907327,6.753480173543965
13,937,-162.39100638694626,-172.90694789537858,17.60899361305374,7.093052104621421,17.62514387183903,6.7727865110041865
14,970,-162.2430329550122,-173.39137903410014,17.75696704498779,6.60862096589986,17.608116550496778,6.827670301684893
15,1004,-162.06874670916565,-173.53297694278078,17.93125329083435,6.467023057219222,17.752814525975147,6.699451122755303
16,1037,-162.70224472573435,-173.08553268262145,17.297755274265654,6.914467317378552,17.74269223777859,6.701757030915477
17,1070,-162.21034461784632,-173.39137903410014,17.789655382153683,6.60862096589986,17.784624885476042,6.603517117710568
18,1104,-161.75715497218786,-173.40779236040206,18.242845027812137,6.5922076395979445,17.81135481320356,6.6113709504670375
19,1137,-162.06874670916565,-173.71051015333745,17.93125329083435,6.289489846662548,17.923344365939187,6.56926831078909
20,1170,-162.66824735269168,-172.90694789537858,17.33175264730832,7.093052104621421,17.89527891538171,6.610742475115838
21,1204,-161.75715497218786,-173.71051015333745,18.242845027812137,6.289489846662548,17.92385948842575,6.6095628518152
22,1237,-162.04874786636003,-173.21071726500017,17.95125213363997,6.78928273499983,17.822110991813254,6.69798478115675
23,1270,-161.89875288086853,-173.69704678167693,18.10124711913147,6.3029532183230685,17.774505003316584,6.708823848599716
