Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABC_smooth,∠BCD_smooth
12471,1,Flex,>>,2916,256.35,390,303,428,13.215789595705404,2.8892018781658413
12485,2,Flex,>>,1140,100.22,388,302,429,13.19057092146311,2.941645567864544
12500,3,Flex,>>,124,10.9,389,302,427,13.19057092146311,2.941645567864544
12580,1,Flex,>>,2877,256.35,388,300,427,12.950234221700713,3.0536828140267254
12595,2,Flex,>>,1076,100.22,386,299,426,12.950234221700713,3.0536828140267254
12609,3,Flex,>>,58,10.9,385,299,423,12.950234221700713,3.0536828140267254
12690,1,Flex,>>,2838,254.15,385,299,425,12.978996210796527,3.0844642645183304
12704,2,Flex,>>,1012,96.53,384,299,422,12.978996210796527,3.0844642645183304
12719,3,Flex,>>,-8,7.12,383,298,422,13.01056257530695,3.094643712665678
12799,1,Flex,>>,2799,250.81,386,301,426,13.21185290898639,3.1186349303651086
12814,2,Flex,>>,948,90.99,385,299,426,13.226806297901774,3.0505906053547114
12828,3,Flex,>>,-74,1.58,383,299,423,13.226806297901774,3.0505906053547114
12909,1,Flex,>>,2760,247.47,387,301,427,13.228831730504059,2.9169506318631493
12923,2,Flex,>>,884,85.36,383,298,424,13.189761963064882,2.939869316006467
12938,3,Flex,>>,-140,-4.22,384,297,422,13.189761963064882,2.939869316006467
13018,1,Flex,>>,2721,244.04,387,301,427,13.00842098549478,2.958769680006223
13033,2,Flex,>>,820,79.74,383,299,421,13.00842098549478,2.958769680006223
13047,3,Flex,>>,-206,-9.93,384,297,423,12.917368602510138,2.97591266091792
13128,1,Flex,>>,2682,240.53,387,301,427,12.803372283666171,3.084983799735722
13143,2,Flex,>>,756,74.11,385,299,425,12.81131264986594,3.0732092615816304
13158,3,Flex,>>,-272,-15.65,382,298,423,12.81131264986594,3.0732092615816304
13238,1,Flex,>>,2643,237.1,387,300,426,12.900787493652881,3.0923641513639875
13253,2,Flex,>>,692,68.48,383,298,427,12.9520458253117,3.045919534175274
13267,3,Flex,>>,-338,-21.27,384,298,425,12.9520458253117,3.045919534175274
13348,1,Flex,>>,2604,233.76,387,301,429,13.065134926923593,2.9211107513133747
13363,2,Flex,>>,628,62.86,384,299,427,13.065134926923593,2.9211107513133747
13377,3,Flex,>>,-404,-26.99,383,298,426,13.0081819664274,2.8540408615041373
13458,1,Flex,>>,2565,230.33,386,300,428,12.934227985448596,2.880555210903684
13472,2,Flex,>>,564,57.32,385,299,429,12.934227985448596,2.880555210903684
13487,3,Flex,>>,-470,-32.7,382,299,427,12.887597375589287,2.9306424403608795
13567,1,Flex,>>,2526,226.99,385,300,433,12.881520552758692,2.938592108466973
13582,2,Flex,>>,500,51.69,384,299,430,12.961160587854819,2.8883382420036425
13596,3,Flex,>>,-536,-38.42,383,298,427,12.961160587854819,2.8883382420036425
13677,1,Flex,>>,2487,223.56,386,302,435,12.844468637699,3.137084049767927
13691,2,Flex,>>,436,45.98,383,299,434,12.844468637699,3.137084049767927
13705,3,Flex,>>,-602,-44.22,382,299,438,12.844468637699,3.137084049767927
13786,1,Flex,>>,2448,220.13,384,300,460,12.648323047525174,3.1715016355841112
13801,2,Flex,>>,372,40.53,383,301,464,12.648323047525174,3.1715016355841112
13816,3,Flex,>>,-668,-49.93,383,299,467,12.62902567975432,3.080454977188682
13896,1,Flex,>>,2409,216.7,385,300,487,12.755370179412086,2.9132623417352184
13911,2,Flex,>>,308,34.9,382,298,486,12.801737038540931,2.9649296773422362
13925,3,Flex,>>,-734,-55.82,381,298,486,12.801737038540931,2.9649296773422362
14006,1,Flex,>>,2370,213.27,384,300,493,12.763066085441551,3.2119928715840826
14020,2,Flex,>>,244,29.19,384,300,492,12.706703809069495,3.3667517676179894
14035,3,Flex,>>,-800,-61.63,380,298,490,12.706703809069495,3.3667517676179894
14115,1,Flex,>>,2331,209.93,384,300,497,12.731906678272832,3.512088373961626
14130,2,Flex,>>,180,23.65,383,299,494,12.731906678272832,3.512088373961626
14144,3,Flex,>>,-866,-67.25,381,297,490,12.86546410942842,3.4060288124362526
14225,1,Flex,>>,2292,206.51,384,300,497,12.895753736382545,3.3426540824122584
14239,2,Flex,>>,116,17.93,385,300,499,12.895753736382545,3.3426540824122584
14254,3,Flex,>>,-932,-73.05,379,297,496,12.872421408780077,3.3318459940573204
14334,1,Flex,>>,2253,203.08,384,300,502,12.855392323195005,3.202824474468443
14349,2,Flex,>>,52,12.4,383,300,501,12.778547954791165,3.233237129431483
14364,3,Flex,>>,-998,-78.77,381,298,500,12.778547954791165,3.233237129431483
14445,1,Flex,>>,2214,199.74,386,299,504,12.647752352770134,3.1723600174780584
14460,2,Flex,>>,-12,6.77,384,299,505,12.647752352770134,3.1723600174780584
14474,3,Flex,>>,-1064,-84.57,381,299,504,12.647752352770134,3.1723600174780584
14555,1,Flex,>>,2175,196.31,384,300,511,12.834726784559436,3.2237483705997576
14570,2,Flex,>>,-76,1.05,382,299,510,12.834726784559436,3.2237483705997576
14584,3,Flex,>>,-1130,-90.2,381,297,508,12.968882313191662,3.2304907308161264
14665,1,Flex,>>,2136,192.88,383,300,517,13.014325070547816,3.3118416478201658
14679,2,Flex,>>,-140,-4.48,381,300,517,12.904190402325892,3.4215750629746164
14694,3,Flex,>>,-1196,-96.09,381,297,512,12.904190402325892,3.4215750629746164
14775,1,Flex,>>,2097,189.45,384,300,523,12.887273862330174,3.4045482594711456
14789,2,Flex,>>,-204,-10.11,381,299,519,12.868026308095544,3.3567452271162592
14804,3,Flex,>>,-1262,-101.89,380,297,521,12.868026308095544,3.3567452271162592
14884,1,Flex,>>,2058,186.02,383,302,526,12.811251002552027,3.317489025270701
14899,2,Flex,>>,-268,-15.74,382,299,523,12.811251002552027,3.317489025270701
14914,3,Flex,>>,-1328,-107.6,380,297,522,12.887037619679843,3.262053409356091
14995,1,Flex,>>,2019,182.68,382,300,529,12.751864232918365,3.407309537145836
15009,2,Flex,>>,-332,-21.27,382,299,528,12.751864232918365,3.407309537145836
15024,3,Flex,>>,-1394,-113.23,379,298,525,12.72591375369387,3.43776896436339
15104,1,Flex,>>,1980,179.34,384,300,532,12.983799263863997,3.308045594711026
15119,2,Flex,>>,-396,-27.08,383,300,533,12.898537543350233,3.4599341214880566
15133,3,Flex,>>,-1460,-119.03,379,297,532,12.898537543350233,3.4599341214880566
15214,1,Flex,>>,1941,175.91,382,299,541,13.041861607401248,3.276808958763416
15229,2,Flex,>>,-460,-32.7,379,299,539,13.041861607401248,3.276808958763416
15243,3,Flex,>>,-1526,-124.75,377,296,538,13.040478316363808,3.2418805012827936
15324,1,Flex,>>,1902,172.48,381,300,551,12.706778469304496,3.324375293456219
15338,2,Flex,>>,-524,-38.33,379,299,549,12.706778469304496,3.324375293456219
15353,3,Flex,>>,-1592,-130.55,378,297,548,12.617593462681597,3.3599848010289057
