Time(ms),MotorID,Phase,Direction,Position,Angle(deg),Frame,∠ABC,∠BCD,L_cm,diff,active,segment_id
31043,5,Extend,>>,-1544,-128.35,929.0,169.8580070109287,170.62679458636762,-2.240130094934722,1.3448658817537762,1,6
31145,5,Extend,>>,-1581,-131.52,932.0,168.4356078321398,169.99808497678092,-2.2954570322229424,1.4223991787889076,1,6
31249,5,Extend,>>,-1618,-134.77,935.0,166.66950807581244,169.2811698242119,-2.352180232912758,1.7660997563273497,1,6
31351,5,Extend,>>,-1655,-137.93,938.0,164.81780349791856,169.01649446971712,-2.407332637275779,1.8517045778938837,1,6
31453,5,Extend,>>,-1692,-141.19,942.0,163.06135777522832,168.129070167132,-2.4642303708907938,1.7564457226902448,1,6
31556,5,Extend,>>,-1729,-144.44,945.0,161.7469622110182,168.21013385719112,-2.5209535715806095,1.3143955642101162,1,6
54805,5,Extend,>>,195,17.14,1642.0,155.94991293412008,167.38933206949417,0.29914943379182807,2.69389296966213,1,8
54908,5,Extend,>>,158,17.14,1645.0,158.9824398949027,168.09090764492436,0.29914943379182807,3.032526960782633,1,8
55010,5,Extend,>>,121,15.03,1648.0,162.33656828611575,169.05788777177548,0.26232298657474773,3.354128391213038,1,8
55112,5,Extend,>>,84,11.96,1651.0,166.4302702507238,169.8984964068696,0.20874137853852182,4.093701964608044,1,8
55215,5,Extend,>>,47,8.79,1654.0,170.69126101504165,172.03344367030692,0.15341444125030154,4.260990764317853,1,8
55317,5,Extend,>>,10,5.63,1657.0,172.43166048086385,172.3099749719249,0.09826203688728075,1.7403994658222075,1,8
55419,5,Extend,>>,-27,2.46,1661.0,174.21640356603183,173.55306066464735,0.04293509959906051,1.7847430851679746,1,8
55522,5,Extend,>>,-64,-0.88,1664.0,176.13583251696016,173.76028589608973,-0.0153588974175501,1.919428950928335,1,8
55624,5,Extend,>>,-101,-4.13,1667.0,177.4213165897125,175.13617676390328,-0.07208209810736581,1.2854840727523253,1,8
59724,5,Extend,>>,-1581,-131.6,1790.0,162.47436881450787,167.25600058079712,-2.2968532956245378,1.0042441567815956,1,16
59827,5,Extend,>>,-1618,-134.95,1793.0,161.36252629767756,167.00039341662787,-2.3553218255663477,1.1118425168303077,1,16
59930,5,Extend,>>,-1655,-138.11,1796.0,160.16373458320044,166.8376680501448,-2.4104742299293687,1.1987917144771245,1,16
60033,5,Extend,>>,-1692,-141.36,1799.0,159.0447146071102,166.40324227376115,-2.4671974306191844,1.119019976090243,1,16
60136,5,Extend,>>,-1729,-144.53,1802.0,157.96902166837012,166.12222652209607,-2.5225243679074043,1.075692938740076,1,16
83350,5,Extend,>>,195,17.14,2498.0,152.16115245221155,164.16745178135946,0.29914943379182807,3.3318162014565758,1,18
83453,5,Extend,>>,158,17.14,2502.0,156.11456410921838,165.60702204384833,0.29914943379182807,3.953411657006825,1,18
83555,5,Extend,>>,121,15.03,2505.0,160.50682371302642,167.71194193173335,0.26232298657474773,4.392259603808043,1,18
83657,5,Extend,>>,84,11.87,2508.0,165.39105370116843,168.40796145042208,0.2071705822117269,4.88422998814201,1,18
83760,5,Extend,>>,47,8.62,2511.0,170.6299338028721,170.27909581316644,0.1504473815219112,5.238880101703671,1,18
83863,5,Extend,>>,10,5.54,2514.0,172.81761413091058,171.393569373765,0.09669124056048586,2.187680328038482,1,18
83965,5,Extend,>>,-27,2.29,2517.0,174.59698928457965,172.57274797923534,0.039968039870670144,1.779375153669065,1,18
84067,5,Extend,>>,-64,-0.97,2520.0,176.43681512433997,172.85651731090272,-0.016929693744344994,1.8398258397603229,1,18
84169,5,Extend,>>,-101,-4.22,2523.0,177.64688949869492,173.88252272977505,-0.0736528944341607,1.2100743743549458,1,18
86727,5,Extend,>>,-1026,-83.96,2600.0,176.25421203479053,172.78573796079328,-1.465378439974439,1.0748717238200527,1,20
86829,5,Extend,>>,-1063,-87.12,2603.0,174.78154138896085,172.3254268534025,-1.5205308443374599,1.4726706458296803,1,20
86931,5,Extend,>>,-1100,-90.46,2606.0,173.11151605425093,171.3694357645143,-1.5788248413540704,1.6700253347099192,1,20
87033,5,Extend,>>,-1137,-93.8,2609.0,171.4336591756144,170.81528853018304,-1.6371188383706812,1.6778568786365327,1,20
87135,5,Extend,>>,-1174,-96.97,2612.0,169.47644666068533,170.69071458154215,-1.6924457756589013,1.9572125149290684,1,20
87239,5,Extend,>>,-1211,-100.13,2615.0,167.59250125070935,170.01849218364546,-1.747598180021922,1.8839454099759791,1,20
87341,5,Extend,>>,-1248,-103.21,2618.0,165.7587800342466,169.60372417344598,-1.8013543209833474,1.8337212164627488,1,20
87445,5,Extend,>>,-1285,-106.37,2621.0,164.02873844069595,168.88089417474674,-1.8565067253463685,1.7300415935506521,1,20
87547,5,Extend,>>,-1322,-109.45,2624.0,162.27998500223495,168.8980717999746,-1.9102628663077938,1.7487534384609944,1,20
87650,5,Extend,>>,-1359,-112.97,2627.0,160.83401804909232,167.36561456026794,-1.971698455977994,1.44596695314263,1,20
87752,5,Extend,>>,-1396,-116.22,2630.0,159.6607362806149,166.9792495446627,-2.0284216566678097,1.173281768477409,1,20
87856,5,Extend,>>,-1433,-119.47,2634.0,158.6363671222957,166.07582604537555,-2.0851448573576254,1.0243691583192174,1,20
111543,5,Extend,>>,195,17.14,3344.0,157.53915832693116,170.70811138443176,0.29914943379182807,4.832480689174389,1,22
111645,5,Extend,>>,158,17.14,3347.0,162.58517545497529,171.0961411458551,0.29914943379182807,5.046017128044127,1,22
111748,5,Extend,>>,121,14.95,3350.0,167.86238055493692,172.50264924697302,0.26092672317315224,5.277205099961634,1,22
111850,5,Extend,>>,84,11.87,3353.0,173.2817191964029,172.72997368242778,0.2071705822117269,5.41933864146597,1,22
111952,5,Extend,>>,47,8.7,3356.0,178.54107416026096,173.087606174679,0.15184364492350666,5.2593549638580726,1,22
115027,5,Extend,>>,-1063,-87.12,3449.0,176.88107967198204,175.76742909644014,-1.5205308443374599,1.0367365953804892,1,26
115130,5,Extend,>>,-1100,-90.46,3452.0,175.35170887966564,175.97136426415352,-1.5788248413540704,1.5293707923163993,1,26
115233,5,Extend,>>,-1137,-93.8,3455.0,173.63209325011684,176.37071650333357,-1.6371188383706812,1.719615629548798,1,26
115335,5,Extend,>>,-1174,-96.88,3458.0,172.34287028495373,176.1005286973694,-1.6908749793321063,1.2892229651631055,1,26
115438,5,Extend,>>,-1211,-99.96,3461.0,171.05347488597081,176.64059749522306,-1.7446311202935316,1.2893953989829186,1,26
