Time(ms),MotorID,Phase,Direction,Position,Angle(deg),Frame,∠ABC,∠BCD,L_cm,diff,active,segment_id
83453,5,Extend,>>,158,17.14,2502.0,168.812233182027,161.78771222354675,0.29914943379182807,1.1450856571111956,1,8
83555,5,Extend,>>,121,15.03,2505.0,170.77285330734227,163.3604500167358,0.26232298657474773,1.5727377931890487,1,8
83657,5,Extend,>>,84,11.87,2508.0,172.91997267213227,165.07680809763912,0.2071705822117269,1.7163580809033192,1,8
83760,5,Extend,>>,47,8.62,2511.0,174.940353948583,167.23469460410593,0.1504473815219112,2.1578865064668094,1,8
83863,5,Extend,>>,10,5.54,2514.0,176.6426575444683,168.67991812258705,0.09669124056048586,1.4452235184811286,1,8
83965,5,Extend,>>,-27,2.29,2517.0,177.7091089503724,170.07306330966443,0.039968039870670144,1.3931451870773799,1,8
84067,5,Extend,>>,-64,-0.97,2520.0,179.97198250614392,171.1019783854983,-0.016929693744344994,1.0289150758338792,1,8
84169,5,Extend,>>,-101,-4.22,2523.0,178.97034454390695,172.1968906413689,-0.0736528944341607,1.0949122558705824,1,8
111543,5,Extend,>>,195,17.14,3344.0,177.3995540459012,165.13428129760752,0.29914943379182807,1.4598568973793817,1,10
111645,5,Extend,>>,158,17.14,3347.0,178.46723624025012,166.6717441472716,0.29914943379182807,1.537462849664081,1,10
111748,5,Extend,>>,121,14.95,3350.0,179.307173625854,168.3893101132109,0.26092672317315224,1.7175659659393148,1,10
111850,5,Extend,>>,84,11.87,3353.0,179.16566263866957,170.15234096624118,0.2071705822117269,1.7630308530302727,1,10
111952,5,Extend,>>,47,8.7,3356.0,178.3657442506298,172.02489632687335,0.15184364492350666,1.8725553606321625,1,10
140823,5,Extend,>>,-64,-0.97,4223.0,167.5574105981026,163.2303326477541,-0.016929693744344994,1.1961135672025875,1,14
140925,5,Extend,>>,-101,-4.22,4226.0,170.11599079536035,164.2318845448296,-0.0736528944341607,1.001551897075501,1,14
141027,5,Extend,>>,-138,-7.38,4229.0,171.95165870926243,165.31997665567334,-0.12880529879718153,1.0880921108437462,1,14
141129,5,Extend,>>,-175,-10.73,4232.0,173.15484886081822,166.71031985813875,-0.18727382873899157,1.3903432024654023,1,14
141231,5,Extend,>>,-212,-13.89,4235.0,175.00409194938248,167.83756431609578,-0.2424262331020124,1.1272444579570333,1,14
141334,5,Extend,>>,-249,-17.05,4238.0,176.39481191067387,168.94959946252632,-0.2975786374650332,1.112035146430543,1,14
141436,5,Extend,>>,-286,-20.22,4241.0,178.46463084294965,170.0084418705051,-0.3529055747532534,1.0588424079787728,1,14
