Time(ms),MotorID,Phase,Direction,Position,Angle(deg),Frame,∠ABC,∠BCD,L_cm,diff,active,segment_id
40998,2,Flex,>>,1238,108.84,1228.0,146.7392917419914,144.30834523631086,1.8996163578706284,4.301230146411399,1,10
41100,2,Flex,>>,1178,108.84,1231.0,142.16693051401435,142.44912093742815,1.8996163578706284,4.572361227977041,1,10
41202,2,Flex,>>,1118,105.58,1234.0,137.38165152325286,142.40653907428546,1.842718624255613,4.785278990761498,1,10
41304,2,Flex,>>,1058,100.48,1237.0,132.33537294186965,141.71567914275383,1.7537068324039025,5.046278581383206,1,10
41407,2,Flex,>>,998,95.21,1240.0,126.93780432408512,141.30489164950575,1.661727980823801,5.397568617784529,1,10
53296,2,Flex,<<,1178,96.35,1597.0,141.42786823050753,152.66903595495023,1.6816247342965365,1.1887956261063266,1,12
53436,2,Flex,<<,1238,102.51,1601.0,143.15440428996894,153.9177303464956,1.7891370162193874,1.7265360594614094,1,12
69584,2,Flex,>>,1237,108.84,2085.0,141.38956506895641,143.608363615789,1.8996163578706284,1.7648392210125223,1,12
69686,2,Flex,>>,1177,108.75,2089.0,138.87854291268116,143.3325935314476,1.8980455615438334,2.51102215627526,1,12
69788,2,Flex,>>,1117,105.49,2092.0,136.0260513270104,141.79376668407966,1.8411478279288183,2.852491585670748,1,12
69890,2,Flex,>>,1057,100.48,2095.0,132.36111031833173,140.87385140971034,1.7537068324039025,3.6649410086786816,1,12
69993,2,Flex,>>,997,95.21,2098.0,128.16301001060694,140.98601809389584,1.661727980823801,4.198100307724786,1,12
126327,2,Flex,>>,1233,108.4,3788.0,143.50989030673736,145.73411488077525,1.8919369091618534,2.754616766090237,1,14
126429,2,Flex,>>,1173,108.4,3791.0,140.62766249528923,145.84140266475018,1.8919369091618534,2.882227811448132,1,14
126531,2,Flex,>>,1113,105.14,3794.0,137.4941601543607,144.6887865603668,1.835039175546838,3.1335023409285157,1,14
126633,2,Flex,>>,1053,100.04,3797.0,133.916612346343,144.768110363764,1.7460273836951274,3.5775478080177265,1,14
126735,2,Flex,>>,993,94.77,3800.0,130.43806109277085,143.31440990894995,1.654048532115026,3.4785512535721352,1,14
127657,2,Flex,>>,453,47.65,3828.0,123.58804619921429,139.48858817362094,0.831649388575298,1.0293365020569922,1,16
127759,2,Flex,>>,393,42.55,3831.0,122.51037181102065,138.40007921549144,0.7426375967235872,1.0776743881936426,1,16
127861,2,Flex,>>,333,37.27,3834.0,121.16278494798982,138.59726763885504,0.6504842122182867,1.347586863030827,1,16
127964,2,Flex,>>,273,32.0,3837.0,119.79569933819758,138.86934117881293,0.5585053606381855,1.367085609792241,1,16
128065,2,Flex,>>,213,26.81,3840.0,118.63660745407563,138.1099833406646,0.4679227724596797,1.159091884121949,1,16
128884,2,Flex,>>,-267,-15.3,3864.0,118.45352227934154,137.87180529649427,-0.26703537555513246,1.1153210564316822,1,18
128987,2,Flex,>>,-327,-20.48,3868.0,119.79385513275028,137.79498634002098,-0.3574434308084387,1.3403328534087393,1,18
129090,2,Flex,>>,-387,-25.85,3871.0,121.13782911648927,138.98611304989134,-0.4511676116405342,1.3439739837389908,1,18
129192,2,Flex,>>,-447,-31.03,3874.0,122.60243540635733,138.1437243051233,-0.5415756668938405,1.4646062898680583,1,18
129294,2,Flex,>>,-507,-36.31,3877.0,123.82388723249483,138.57048479288898,-0.6337290513991412,1.2214518261374963,1,18
