Time(ms),MotorID,Phase,Direction,Position,Angle(deg),Frame,∠ABC,∠BCD,L_cm,diff,active,segment_id
40998,2,Flex,>>,1238,108.84,1228.0,128.76623324705844,151.85885052099582,1.8996163578706284,1.6668833526413493,1,2
41100,2,Flex,>>,1178,108.84,1231.0,128.01769621718282,149.62346909046704,1.8996163578706284,2.2353814305287756,1,2
41202,2,Flex,>>,1118,105.58,1234.0,127.01580624920658,147.26622798398344,1.842718624255613,2.357241106483599,1,2
41304,2,Flex,>>,1058,100.48,1237.0,126.14444939780232,144.88471641919793,1.7537068324039025,2.3815115647855123,1,2
41407,2,Flex,>>,998,95.21,1240.0,124.74483650917551,142.4369152080568,1.661727980823801,2.447801211141126,1,2
69584,2,Flex,>>,1237,108.84,2085.0,130.5433787017803,150.35434614541435,1.8996163578706284,1.286642496782008,1,4
69686,2,Flex,>>,1177,108.75,2089.0,128.94164711940817,149.08286052182788,1.8980455615438334,1.2714856235864715,1,4
69788,2,Flex,>>,1117,105.49,2092.0,127.8588275672907,147.06429802655242,1.8411478279288183,2.018562495275461,1,4
69890,2,Flex,>>,1057,100.48,2095.0,126.8254802136969,144.70526111750445,1.7537068324039025,2.3590369090479726,1,4
69993,2,Flex,>>,997,95.21,2098.0,126.64571645085864,142.11891866698448,1.661727980823801,2.5863424505199646,1,4
126327,2,Flex,>>,1233,108.4,3788.0,131.95275566613927,151.18233765028256,1.8919369091618534,1.244159795778728,1,6
126429,2,Flex,>>,1173,108.4,3791.0,131.2488382190152,150.00333378864633,1.8919369091618534,1.1790038616362324,1,6
126531,2,Flex,>>,1113,105.14,3794.0,130.44971886233617,148.47821935917452,1.835039175546838,1.525114429471813,1,6
126633,2,Flex,>>,1053,100.04,3797.0,129.11801338474135,146.87248817334677,1.7460273836951274,1.60573118582775,1,6
126735,2,Flex,>>,993,94.77,3800.0,129.4209793316222,144.86936487572123,1.654048532115026,2.0031232976255353,1,6
