Time(ms),MotorID,Phase,Direction,Position,Angle(deg),Frame,∠ABC,∠BCD,angle_smooth,L_cm,delta_motor,time_diff,cycle
26435,5,Extend,>>,121,15.03,791,170.02554360019226,176.79095597341922,16.436666666666667,0.28687395138613464,-0.7033333333333331,0.0,0
26538,5,Extend,>>,84,12.04,794,173.06259657472626,175.86130813652323,15.3375,0.2676898740246303,-1.099166666666667,103.0,0
26640,5,Extend,>>,47,8.88,797,173.954995624997,174.64409464886805,14.046000000000001,0.24514894673512355,-1.2914999999999992,102.0,0
26742,5,Extend,>>,10,5.71,800,174.98480201933157,173.79789210492297,11.76,0.20525072003453315,-2.2860000000000014,102.0,0
26844,5,Extend,>>,-27,2.46,803,176.6335393365703,173.16274885527483,8.824,0.15400785319597965,-2.936,102.0,0
26947,5,Extend,>>,-64,-0.79,806,178.01301663406596,172.50548706015482,5.659999999999999,0.09878563566287904,-3.1640000000000006,103.0,0
27049,5,Extend,>>,-101,-4.04,809,177.9738995796623,171.6225112215863,2.444,0.042655846918741414,-3.2159999999999993,102.0,0
27151,5,Extend,>>,-138,-7.3,812,178.27144748926452,170.79048527738357,-0.792,-0.01382300767579509,-3.2359999999999998,102.0,0
27254,5,Extend,>>,-175,-10.55,816,178.83738475437,170.12818044913934,-4.044,-0.07058111495065068,-3.252,103.0,0
27356,5,Extend,>>,-212,-13.71,819,179.13433294358202,169.1148570219444,-7.2780000000000005,-0.12702506296014732,-3.234000000000001,102.0,0
27459,5,Extend,>>,-249,-16.88,822,179.81390543562037,168.8817980869886,-10.496,-0.18318975828932485,-3.218,103.0,0
27561,5,Extend,>>,-286,-19.96,825,179.89065704207,168.1898017858256,-13.680000000000001,-0.2387610416728243,-3.184000000000001,102.0,0
27663,5,Extend,>>,-323,-23.21,828,179.92753819005418,167.88737707401495,-16.862000000000002,-0.2942974184712839,-3.1820000000000004,102.0,0
27766,5,Extend,>>,-360,-26.46,831,179.92753819005418,167.83425439266574,-20.044,-0.3498337952697434,-3.1819999999999986,103.0,0
27868,5,Extend,>>,-397,-29.63,834,179.92753819005418,167.83425439266574,-23.228,-0.4054050786532429,-3.184000000000001,102.0,0
27971,5,Extend,>>,-434,-32.88,837,179.19356431653523,167.30209554762706,-26.427999999999997,-0.4612556147170614,-3.1999999999999957,103.0,0
28073,5,Extend,>>,-471,-36.04,840,179.73721262057995,167.9506147867888,-29.644,-0.517385403461199,-3.216000000000001,102.0,0
28175,5,Extend,>>,-508,-39.3,843,179.5158654777369,167.91764959389224,-32.862,-0.5735500987903767,-3.2180000000000035,102.0,0
28277,5,Extend,>>,-545,-42.37,846,179.1201916420833,168.483037606719,-36.044,-0.6290864755888361,-3.181999999999995,102.0,0
28380,5,Extend,>>,-582,-45.54,849,178.46098873852904,168.29578300071566,-39.226,-0.6846228523872957,-3.182000000000002,103.0,0
28482,5,Extend,>>,-619,-48.88,852,177.42879360693988,168.01664000846085,-42.426,-0.7404733884511143,-3.200000000000003,102.0,0
28584,5,Extend,>>,-656,-52.04,855,177.73623653142417,168.45223129536643,-45.626,-0.7963239245149327,-3.1999999999999957,102.0,0
28686,5,Extend,>>,-693,-55.21,859,177.45536419668315,168.5347597170287,-48.808,-0.8518603013133924,-3.182000000000002,102.0,0
28788,5,Extend,>>,-730,-58.29,862,176.9303497060599,168.26233486465506,-51.992000000000004,-0.9074315846968919,-3.1840000000000046,102.0,0
28890,5,Extend,>>,-767,-61.36,865,176.46649672088938,168.0160306279953,-55.15599999999999,-0.9626538022299923,-3.1639999999999873,102.0,0
28992,5,Extend,>>,-804,-64.53,868,175.90416220564884,168.51909520076228,-58.286,-1.0172826078174149,-3.1300000000000097,102.0,0
29094,5,Extend,>>,-841,-67.78,871,175.00589206622882,168.8453753349309,-61.434000000000005,-1.0722255726701966,-3.1480000000000032,102.0,0
29197,5,Extend,>>,-878,-71.03,874,173.42192678784096,168.27610657727828,-64.598,-1.1274477902032969,-3.1639999999999944,103.0,0
29299,5,Extend,>>,-915,-74.2,877,173.08399380920758,169.21606058727392,-67.78,-1.1829841670017567,-3.182000000000002,102.0,0
29401,5,Extend,>>,-952,-77.45,880,171.5445690607373,169.14688529492977,-70.998,-1.2391488623309341,-3.2180000000000035,102.0,0
29504,5,Extend,>>,-989,-80.53,883,170.19219518831898,169.77837191102228,-74.19800000000001,-1.2949993983947528,-3.200000000000003,103.0,0
29608,5,Extend,>>,-1026,-83.6,886,168.34904745536411,170.69879427212217,-77.36200000000001,-1.3502216159278533,-3.1640000000000015,104.0,0
29710,5,Extend,>>,-1063,-86.77,889,165.8724760547507,170.85221433476607,-80.51,-1.4051645807806348,-3.147999999999996,102.0,0
29813,5,Extend,>>,-1100,-89.93,892,164.5517304580977,171.71931775727816,-83.656,-1.4600726390483765,-3.146000000000001,103.0,0
29916,5,Extend,>>,-1137,-93.27,895,162.89046165646465,172.30477187187003,-86.82000000000001,-1.515294856581477,-3.1640000000000015,103.0,0
30019,5,Extend,>>,-1174,-96.53,899,161.00919293079335,173.5850225235232,-90.02000000000001,-1.5711453926452956,-3.200000000000003,103.0,0
30121,5,Extend,>>,-1211,-99.6,902,159.66896415015995,173.93340388786083,-93.22,-1.626995928709114,-3.1999999999999886,102.0,0
30223,5,Extend,>>,-1248,-102.77,905,158.08092612615943,174.87148277548,-96.41999999999999,-1.6828464647729324,-3.1999999999999886,102.0,0
30325,5,Extend,>>,-1285,-105.85,908,157.15428783040318,175.86210257310464,-99.604,-1.738417748156432,-3.1840000000000117,102.0,0
30428,5,Extend,>>,-1322,-109.01,911,156.16259512599385,176.09573586347886,-102.752,-1.7933607130092135,-3.147999999999996,103.0,0
30530,5,Extend,>>,-1359,-112.35,914,155.52067018013125,177.04710441579445,-105.91600000000001,-1.8485829305423143,-3.1640000000000157,102.0,0
30633,5,Extend,>>,-1396,-115.6,917,155.22251615261908,177.04099722869336,-109.11599999999999,-1.9044334666061324,-3.1999999999999744,103.0,0
30735,5,Extend,>>,-1433,-118.77,920,154.34965016217785,177.8624250937229,-112.316,-1.9602840026699513,-3.200000000000017,102.0,0
30838,5,Extend,>>,-1470,-122.02,923,154.25277623836732,178.17668819714268,-115.55,-2.0167279506794475,-3.2339999999999947,103.0,0
30941,5,Extend,>>,-1507,-125.27,926,154.21704994044484,179.07677947121235,-118.80199999999999,-2.073486057954303,-3.2519999999999953,103.0,0
31043,5,Extend,>>,-1544,-128.35,929,153.93656993505957,179.45187745457574,-122.002,-2.1293365940181217,-3.200000000000003,102.0,0
31145,5,Extend,>>,-1581,-131.52,932,153.64993802453012,179.91052734337134,-125.18599999999999,-2.184907877401621,-3.1839999999999975,102.0,0
31249,5,Extend,>>,-1618,-134.77,935,153.60724361599603,179.48984031473316,-128.38600000000002,-2.24075841346544,-3.2000000000000313,104.0,0
31351,5,Extend,>>,-1655,-137.93,938,152.7002561342637,179.53500098438616,-131.568,-2.2962947902638997,-3.181999999999988,102.0,0
