Time(ms),MotorID,Phase,Direction,Position,Angle(deg),Frame,∠ABC,∠BCD,angle_smooth,L_cm,delta_motor,time_diff,cycle
12687,2,Flex,>>,1120,105.76,379,131.47941104912948,151.58098412966686,107.92666666666668,1.883675684035747,-1.0833333333333286,0.0,0
12790,2,Flex,>>,1060,100.92,382,130.5214827057198,151.55552474995395,106.17500000000001,1.8531033333049796,-1.7516666666666652,103.0,0
12892,2,Flex,>>,1000,95.82,385,129.53388777127552,151.5581031185554,104.104,1.8169575644961768,-2.071000000000012,102.0,0
12994,2,Flex,>>,940,90.55,388,129.10848961897366,150.82552012202646,100.412,1.7525200085125463,-3.691999999999993,102.0,0
13096,2,Flex,>>,880,85.36,391,128.6570569372827,150.17965798160998,95.68199999999999,1.669965934893214,-4.730000000000018,102.0,0
13199,2,Flex,>>,820,80.18,394,127.54690011684391,149.65146073556994,90.566,1.5806748903611845,-5.1159999999999854,103.0,0
13300,2,Flex,>>,760,74.9,397,126.77201788035676,148.23165255016195,85.362,1.4898479560873994,-5.204000000000008,101.0,0
13403,2,Flex,>>,700,69.63,400,124.90954880271748,148.22119627059675,80.124,1.3984276098679365,-5.2379999999999995,103.0,0
13505,2,Flex,>>,640,64.44,403,124.51797323404972,147.29356846841372,74.902,1.3072865163287928,-5.221999999999994,102.0,0
13606,2,Flex,>>,580,59.25,406,124.27261437636388,146.48845849423682,69.67999999999999,1.2161454227896487,-5.222000000000008,101.0,0
13708,2,Flex,>>,520,54.07,409,123.0011749551336,145.43619068998458,64.458,1.125004329250505,-5.221999999999994,102.0,0
13810,2,Flex,>>,460,48.62,412,122.4873040990542,145.80942058964985,59.202,1.033269823765683,-5.256,102.0,0
13913,2,Flex,>>,400,43.52,415,122.4873040990542,145.80942058964985,53.98,0.9421287302265391,-5.222000000000001,103.0,0
14015,2,Flex,>>,340,38.33,418,123.08193340026176,145.35543224485642,48.757999999999996,0.8509876366873951,-5.222000000000001,102.0,0
14117,2,Flex,>>,280,33.05,421,122.70531081536578,146.36981379319317,43.518,0.7595323838828923,-5.239999999999995,102.0,0
14219,2,Flex,>>,220,27.78,425,123.30522421011192,146.98737082814995,38.260000000000005,0.6677629718130306,-5.257999999999996,102.0,0
14322,2,Flex,>>,160,22.42,428,124.07655476746476,146.97438796940477,33.019999999999996,0.5763077190085275,-5.240000000000009,103.0,0
14424,2,Flex,>>,100,17.23,431,124.83957125812069,146.97091343452863,27.762,0.4845383069386658,-5.257999999999996,102.0,0
14526,2,Flex,>>,40,12.04,434,125.33854343881391,147.2713771120065,22.504,0.39276889486880395,-5.257999999999999,102.0,0
14629,2,Flex,>>,-20,6.86,437,125.71899776646798,147.37649469074762,17.266,0.3013485486493409,-5.238000000000003,103.0,0
14731,2,Flex,>>,-80,1.49,440,125.88719390876972,148.06063586645513,12.008,0.20957913657947908,-5.257999999999999,102.0,0
14833,2,Flex,>>,-140,-3.69,443,126.50470286361524,147.95858093369384,6.786,0.1184380430403352,-5.2219999999999995,102.0,0
14935,2,Flex,>>,-200,-8.88,446,126.7947502077889,148.93898095643624,1.5639999999999996,0.027296949501191308,-5.2219999999999995,102.0,0
15038,2,Flex,>>,-260,-14.15,449,127.73846787532992,148.5985779978816,-3.6740000000000004,-0.06412339671827168,-5.2379999999999995,103.0,0
