Time(ms),MotorID,Phase,Direction,Position,Angle(deg),Frame,∠ABC,∠BCD,angle_smooth,L_cm,delta_motor
26435,5,Extend,>>,121,15.03,791.0,173.7347481364087,170.22494683334855,16.436666666666667,0.28687395138613464,-0.7033333333333331
26538,5,Extend,>>,84,12.04,794.0,175.0462043926872,170.90219854438635,15.3375,0.2676898740246303,-1.099166666666667
26640,5,Extend,>>,47,8.88,797.0,175.69150294145473,172.00028443526153,14.046000000000001,0.24514894673512355,-1.2914999999999992
26742,5,Extend,>>,10,5.71,800.0,176.8872357368757,172.6501457474352,11.76,0.20525072003453315,-2.2860000000000014
26844,5,Extend,>>,-27,2.46,803.0,178.29049819840895,173.30379100811092,8.824,0.15400785319597965,-2.936
26947,5,Extend,>>,-64,-0.79,806.0,179.60438430880643,173.19527048976624,5.659999999999999,0.09878563566287904,-3.1640000000000006
27049,5,Extend,>>,-101,-4.04,809.0,179.92694974695812,174.61687012594174,2.444,0.042655846918741414,-3.2159999999999993
27151,5,Extend,>>,-138,-7.3,812.0,179.066937752304,174.81644261840844,-0.792,-0.01382300767579509,-3.2359999999999998
27254,5,Extend,>>,-175,-10.55,816.0,177.11055688897525,175.39259124010556,-4.044,-0.07058111495065068,-3.252
27356,5,Extend,>>,-212,-13.71,819.0,176.16489164159472,176.01269738847174,-7.2780000000000005,-0.12702506296014732,-3.234000000000001
27459,5,Extend,>>,-249,-16.88,822.0,175.54084776459126,176.6238295247495,-10.496,-0.18318975828932485,-3.218
27561,5,Extend,>>,-286,-19.96,825.0,174.97386740879838,177.2960325385225,-13.680000000000001,-0.2387610416728243,-3.184000000000001
27663,5,Extend,>>,-323,-23.21,828.0,174.27434554815497,177.19754848013312,-16.862000000000002,-0.2942974184712839,-3.1820000000000004
27766,5,Extend,>>,-360,-26.46,831.0,173.46304843635534,177.86752259716226,-20.044,-0.3498337952697434,-3.1819999999999986
27868,5,Extend,>>,-397,-29.63,834.0,173.3986964832387,178.1705356651529,-23.228,-0.4054050786532429,-3.184000000000001
27971,5,Extend,>>,-434,-32.88,837.0,173.38999758802527,178.37712178473686,-26.427999999999997,-0.4612556147170614,-3.1999999999999957
28073,5,Extend,>>,-471,-36.04,840.0,172.7286348669042,177.95387038542566,-29.644,-0.517385403461199,-3.216000000000001
28175,5,Extend,>>,-508,-39.3,843.0,172.59193259683067,178.30469058174614,-32.862,-0.5735500987903767,-3.2180000000000035
28277,5,Extend,>>,-545,-42.37,846.0,172.87816292305536,178.3794777512136,-36.044,-0.6290864755888361,-3.181999999999995
28380,5,Extend,>>,-582,-45.54,849.0,172.14073425963053,178.0145414154832,-39.226,-0.6846228523872957,-3.182000000000002
28482,5,Extend,>>,-619,-48.88,852.0,173.67076910681072,178.44185331701306,-42.426,-0.7404733884511143,-3.200000000000003
28584,5,Extend,>>,-656,-52.04,855.0,173.83041794917278,178.1074367667002,-45.626,-0.7963239245149327,-3.1999999999999957
28686,5,Extend,>>,-693,-55.21,859.0,173.67365513617756,177.83432072717753,-48.808,-0.8518603013133924,-3.182000000000002
28788,5,Extend,>>,-730,-58.29,862.0,174.45723549186212,177.86752259716226,-51.992000000000004,-0.9074315846968919,-3.1840000000000046
28890,5,Extend,>>,-767,-61.36,865.0,174.77121264853076,178.29223907198622,-55.15599999999999,-0.9626538022299923,-3.1639999999999873
28992,5,Extend,>>,-804,-64.53,868.0,174.85780672035287,177.26294583391834,-58.286,-1.0172826078174149,-3.1300000000000097
29094,5,Extend,>>,-841,-67.78,871.0,176.94472835526008,177.76634429761992,-61.434000000000005,-1.0722255726701966,-3.1480000000000032
29197,5,Extend,>>,-878,-71.03,874.0,176.77917855167493,177.46498980937122,-64.598,-1.1274477902032969,-3.1639999999999944
29299,5,Extend,>>,-915,-74.2,877.0,177.49946442302866,177.20355599127535,-67.78,-1.1829841670017567,-3.182000000000002
29401,5,Extend,>>,-952,-77.45,880.0,178.33389243668142,176.92718465952896,-70.998,-1.2391488623309341,-3.2180000000000035
29504,5,Extend,>>,-989,-80.53,883.0,178.74702303803994,176.36145940467085,-74.19800000000001,-1.2949993983947528,-3.200000000000003
29608,5,Extend,>>,-1026,-83.6,886.0,179.87242259327118,176.52608189223318,-77.36200000000001,-1.3502216159278533,-3.1640000000000015
29710,5,Extend,>>,-1063,-86.77,889.0,179.59745227419867,175.92075538530594,-80.51,-1.4051645807806348,-3.147999999999996
29813,5,Extend,>>,-1100,-89.93,892.0,178.23869217474223,176.02114812520833,-83.656,-1.4600726390483765,-3.146000000000001
29916,5,Extend,>>,-1137,-93.27,895.0,177.4617214464271,175.54462967546462,-86.82000000000001,-1.515294856581477,-3.1640000000000015
30019,5,Extend,>>,-1174,-96.53,899.0,176.33661113082246,175.32216296198337,-90.02000000000001,-1.5711453926452956,-3.200000000000003
30121,5,Extend,>>,-1211,-99.6,902.0,175.97409118039678,174.60205097474716,-93.22,-1.626995928709114,-3.1999999999999886
30223,5,Extend,>>,-1248,-102.77,905.0,174.5164229342477,174.80696637230363,-96.41999999999999,-1.6828464647729324,-3.1999999999999886
30325,5,Extend,>>,-1285,-105.85,908.0,173.87653342284148,174.18352521732754,-99.604,-1.738417748156432,-3.1840000000000117
30428,5,Extend,>>,-1322,-109.01,911.0,172.8315201437795,174.32293990334546,-102.752,-1.7933607130092135,-3.147999999999996
30530,5,Extend,>>,-1359,-112.35,914.0,173.29936107363304,172.89751443228576,-105.91600000000001,-1.8485829305423143,-3.1640000000000157
30633,5,Extend,>>,-1396,-115.6,917.0,171.75305166560258,173.62075183238676,-109.11599999999999,-1.9044334666061324,-3.1999999999999744
30735,5,Extend,>>,-1433,-118.77,920.0,171.21931027123958,172.96253096102302,-112.316,-1.9602840026699513,-3.200000000000017
30838,5,Extend,>>,-1470,-122.02,923.0,170.66690630989865,172.60853651274965,-115.55,-2.0167279506794475,-3.2339999999999947
30941,5,Extend,>>,-1507,-125.27,926.0,169.0757351430385,171.7642128906313,-118.80199999999999,-2.073486057954303,-3.2519999999999953
31043,5,Extend,>>,-1544,-128.35,929.0,166.5750316648641,170.62679458636762,-122.002,-2.1293365940181217,-3.200000000000003
31145,5,Extend,>>,-1581,-131.52,932.0,164.64105577165816,169.99808497678092,-125.18599999999999,-2.184907877401621,-3.1839999999999975
31249,5,Extend,>>,-1618,-134.77,935.0,162.3888114896028,169.2811698242119,-128.38600000000002,-2.24075841346544,-3.2000000000000313
31351,5,Extend,>>,-1655,-137.93,938.0,161.40838342042932,169.01649446971712,-131.568,-2.2962947902638997,-3.181999999999988
31453,5,Extend,>>,-1692,-141.19,942.0,160.29350652958718,168.129070167132,-134.752,-2.351866073647399,-3.1839999999999975
31556,5,Extend,>>,-1729,-144.44,945.0,160.00305384381352,168.21013385719112,-137.97,-2.4080307689765763,-3.2179999999999893
31658,5,Extend,>>,-1766,-147.6,948.0,159.64309521814656,167.51048980149923,-141.186,-2.464160557720714,-3.216000000000008
31761,5,Extend,>>,-1803,-150.86,951.0,158.81473692545865,167.0852346775465,-144.40400000000002,-2.520325253049892,-3.2180000000000177
