Time(ms),MotorID,Phase,Direction,Position,Angle(deg),Frame,∠ABC,∠BCD,angle_smooth,L_cm,delta_motor
12687,2,Flex,>>,1120,105.76,379.0,128.90237140334494,140.53982917310918,107.92666666666668,1.883675684035747,-1.0833333333333286
12790,2,Flex,>>,1060,100.92,382.0,128.13486073727455,139.37152969307215,106.17500000000001,1.8531033333049796,-1.7516666666666652
12892,2,Flex,>>,1000,95.82,385.0,127.20221747845508,138.65108025012103,104.104,1.8169575644961768,-2.071000000000012
12994,2,Flex,>>,940,90.55,388.0,126.14569181167812,137.3832632752552,100.412,1.7525200085125463,-3.691999999999993
13096,2,Flex,>>,880,85.36,391.0,124.75455743817032,136.75228802681934,95.68199999999999,1.669965934893214,-4.730000000000018
13199,2,Flex,>>,820,80.18,394.0,124.59735358240611,136.27509693686522,90.566,1.5806748903611845,-5.1159999999999854
13300,2,Flex,>>,760,74.9,397.0,124.057327542812,135.90369776692555,85.362,1.4898479560873994,-5.204000000000008
13403,2,Flex,>>,700,69.63,400.0,123.00846032516536,135.77836328026618,80.124,1.3984276098679365,-5.2379999999999995
13505,2,Flex,>>,640,64.44,403.0,121.97518132894314,135.03217779034557,74.902,1.3072865163287928,-5.221999999999994
13606,2,Flex,>>,580,59.25,406.0,121.87286866814924,134.8003185705749,69.67999999999999,1.2161454227896487,-5.222000000000008
13708,2,Flex,>>,520,54.07,409.0,120.27372747745574,134.21624889446014,64.458,1.125004329250505,-5.221999999999994
13810,2,Flex,>>,460,48.62,412.0,120.39986571650176,133.4470887466378,59.202,1.033269823765683,-5.256
13913,2,Flex,>>,400,43.52,415.0,119.88362674872006,133.5133081909725,53.98,0.9421287302265391,-5.222000000000001
14015,2,Flex,>>,340,38.33,418.0,118.8727203200696,132.98163962840837,48.757999999999996,0.8509876366873951,-5.222000000000001
14117,2,Flex,>>,280,33.05,421.0,117.67124801723632,132.5828035948487,43.518,0.7595323838828923,-5.239999999999995
14219,2,Flex,>>,220,27.78,425.0,116.66302224154796,132.01384985240855,38.260000000000005,0.6677629718130306,-5.257999999999996
14322,2,Flex,>>,160,22.42,428.0,116.66302224154796,131.76374548016366,33.019999999999996,0.5763077190085275,-5.240000000000009
14424,2,Flex,>>,100,17.23,431.0,116.66302224154796,131.4601411430967,27.762,0.4845383069386658,-5.257999999999996
14526,2,Flex,>>,40,12.04,434.0,117.12447476457903,131.55239732937747,22.504,0.39276889486880395,-5.257999999999999
14629,2,Flex,>>,-20,6.86,437.0,117.72393770607889,131.90131184126756,17.266,0.3013485486493409,-5.238000000000003
14731,2,Flex,>>,-80,1.49,440.0,118.42619694471378,132.5650959346477,12.008,0.20957913657947908,-5.257999999999999
14833,2,Flex,>>,-140,-3.69,443.0,120.21069037970722,133.12325009685225,6.786,0.1184380430403352,-5.2219999999999995
14935,2,Flex,>>,-200,-8.88,446.0,122.15045590850455,133.891981952183,1.5639999999999996,0.027296949501191308,-5.2219999999999995
15038,2,Flex,>>,-260,-14.15,449.0,123.83415461897128,133.81549014265278,-3.6740000000000004,-0.06412339671827168,-5.2379999999999995
15140,2,Flex,>>,-320,-19.34,452.0,123.73899861689247,134.56608633031985,-8.914,-0.15557864952277453,-5.239999999999999
15242,2,Flex,>>,-380,-24.62,455.0,124.48357309717164,134.85175188140568,-14.136000000000001,-0.24671974306191843,-5.222000000000001
15345,2,Flex,>>,-440,-29.89,458.0,124.70557368218137,135.52200176975538,-19.376,-0.3381749958664213,-5.24
15447,2,Flex,>>,-500,-35.25,461.0,125.74792788774064,134.5445369489104,-24.65,-0.4302236606166022,-5.273999999999997
15549,2,Flex,>>,-560,-40.35,464.0,125.78213380545992,135.32964087255615,-29.890000000000004,-0.5216789134211052,-5.2400000000000055
15652,2,Flex,>>,-620,-45.63,467.0,126.4351952595139,135.28925778858792,-35.148,-0.6134483254909671,-5.257999999999999
15754,2,Flex,>>,-680,-50.81,471.0,126.844793087073,136.33633459977898,-40.386,-0.70486867171043,-5.2379999999999995
15857,2,Flex,>>,-740,-56.09,474.0,127.36995390512249,135.9766879895146,-45.626000000000005,-0.7963239245149328,-5.240000000000002
15959,2,Flex,>>,-800,-61.27,477.0,127.55332100832015,136.48889681076355,-50.83,-0.8871508587887177,-5.2039999999999935
16061,2,Flex,>>,-860,-66.37,480.0,127.82421203876652,136.80215750060324,-56.034000000000006,-0.9779777930625028,-5.204000000000008
16164,2,Flex,>>,-920,-71.56,483.0,128.52857832133756,136.52851204771144,-61.220000000000006,-1.0684905680709287,-5.186
16266,2,Flex,>>,-980,-76.75,486.0,128.1928906310115,137.25498746551756,-66.408,-1.1590382496643943,-5.187999999999995
